Hospital,Hospital type,Control type,REIMBURSEMENT SETTLEMENT: Subtotal,IPPS Interim payment,Urban (1) and Rural (2) Indicator,NUMBER OF BEDS: Adults & Pediatrics,Total Costs,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total cost of charity care,Number of Interns & Residents,Cost of Uncompensated Care,Cost To Charge Ratio,NUMBER OF BEDS: Total Hospital,HAC reduction adjustment amount,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,State,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total discharges,REIMBURSEMENT SETTLEMENT: Interim payments,FTE Employees on Payroll,Total Salaries,IPPS Payment amount (unadjusted),Fiscal Year End Date,Net Revenue from Medicaid,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),BALANCE SHEET: Total Assets (G_C1THRU4_36),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Total Bad Debt expense,Total Inpatient Days,HVBP payment adjustment amount,Total Liabilities,"Donations, Land Improvements",BED DAYS: Total Hospital,Total Days Title XVIII,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,2134183.0,,2.0,19.0,30095364.0,,,10248160.0,470852.0,160.6,2825332.0,0.525862,25.0,,273433.0,313968.0,,SC,5020937.0,8759261.0,72136.0,563.0,2322550.0,,15718491.0,,2014-09-30,1674233.0,2013-10-01 00:00:00,6.0,35365259.0,33384865.0,1464702.0,4319680.0,653213.0,57230557.0,2487281.0,4693851.0,2379.0,,11723522.0,,9125.0,1297.0,2013,2014,21661343.0,2640319.972694,2487281.0,0.002039741883411627,-524592.0,-0.014833540452792952,2.02775691717905,2.9649365230757834,1.8132396381213423,0.5758021427513149,0.5412186123455042,0.35116277990041295,0.648837220099587,2.994286041889619,21661343.0,1.059320114069654,3.450888647327911,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,2844565.0,4524393.0,2.0,38.0,34968127.0,4179668.0,14527629.0,4463002.0,1268343.0,319.0,3670031.0,0.366503,44.0,,232613.0,141372.0,,LA,16852197.0,13323600.0,-1608070.0,1251.0,2787378.0,,19463743.0,4406340.0,2014-12-31,7477299.0,2014-01-01 00:00:00,6.0,30922524.0,31053590.0,1924140.0,5935027.0,857216.0,95410094.0,1060615.0,6552984.0,6186.0,13376.0,8285931.0,,16060.0,3207.0,2014,2014,22767659.0,6176380.757091001,5240283.0,-0.052003193529739034,-8419756.0,-0.27228553529459626,2.2449097535697815,0.6655128948865776,2.0612831247439987,0.17870432602918235,0.363934254285871,0.266826830649854,0.733173169350146,-45.94697677050618,22767659.0,0.9957793607760005,6.9286377196335565,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,36553696.0,167652689.0,1.0,517.0,764065714.0,,292054195.0,373063630.0,2720834.0,4975.83,7079013.0,0.269852,579.0,,1956221.0,,,MN,97120183.0,157392332.0,63380360.0,36198.0,35983274.0,45.78,450961516.0,183167646.0,2014-12-31,16450608.0,2014-01-01 00:00:00,62.0,1047796060.0,545445389.0,5861101.0,-274423875.0,18041850.0,2831429055.0,1417453.0,16081000.0,162376.0,257815.0,-206271088.0,,211335.0,57214.0,2014,2014,545445389.0,26208075.622915998,1417453.0,0.060489213902942145,-87445472.0,-0.08345657646393517,inf,inf,inf,inf,0.0,0.0,1.0,,545445389.0,1.9209916907006799,2.8086255955853967,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,9221392.0,17662378.0,2.0,144.0,94680216.0,,37325489.0,38935894.0,1301354.0,686.52,4033484.0,0.109365,180.0,,944889.0,,,TX,81091647.0,32713588.0,17480825.0,6401.0,9160181.0,,47471557.0,20383536.0,2015-08-31,5291202.0,2014-09-01 00:00:00,36.0,161927894.0,132997460.0,5661271.0,78826965.0,3600969.0,865724114.0,-1016184.0,23587554.0,28825.0,-81365.0,84191286.0,,65700.0,10282.0,2014,2014,48806174.0,8868587.974155,0.0,0.10795437752065126,15857778.0,0.09793110753357911,0.4150050430078083,0.71570330026026,0.3573362237148164,0.0,1.725013028064851,0.6330292774012376,0.3669707225987624,,48806174.0,1.2175262144104106,4.158833337690924,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,34199686.0,103811499.0,1.0,473.0,493772766.0,,206761886.0,91165707.0,5730121.0,3454.6,9417776.0,0.17313,571.0,,9918369.0,10365913.0,,PA,254994328.0,250236199.0,28477949.0,26530.0,33450592.0,164.59,275831111.0,120053119.0,2015-06-30,32829238.0,2014-07-01 00:00:00,42.0,697654408.0,765690311.0,52094623.0,134116568.0,,2852034863.0,132684311.0,21167038.0,126745.0,-55534.0,607546292.0,,208415.0,42752.0,2014,2014,158144019.0,44147168.00664,132684311.0,0.040819564347968684,-16114534.0,-0.023098161231714025,1.8658112322110718,1.8814078734851014,,0.9893208048687915,3.841727912580747,0.7934621651494295,0.20653783485057053,3.471000480131369,158144019.0,0.9111443595111653,7.652596913442464,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,3491159.0,,2.0,25.0,33690061.0,7010687.0,,8087908.0,2083176.0,226.98,2621229.0,0.377718,25.0,,176313.0,2407062.0,,IL,16557018.0,31603014.0,7039996.0,1092.0,4129225.0,,13492286.0,,2014-09-30,2807792.0,2013-10-01 00:00:00,,39990652.0,97213455.0,4510859.0,6742006.0,504088.0,89193738.0,16667633.0,1829301.0,4701.0,,48760321.0,,9125.0,2508.0,2013,2014,48453134.0,6253883.724924,23678320.0,0.17604104079123292,1590694.0,0.03977664580212396,4.687479364450284,4.716126476303937,4.58655969751436,2.4722067883060324,1.0063398788610867,0.5015799613335418,0.49842003866645823,2.534854939340989,48453134.0,0.41136951669910304,4.944498874121714,non-profit
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,4587876.0,19667361.0,1.0,168.0,132839195.0,,57304197.0,85387965.0,5499489.0,885.87,11221727.0,0.182596,188.0,,11312.0,,,AZ,216331684.0,43584105.0,5674434.0,10387.0,4570898.0,,55823230.0,21941703.0,2015-04-30,25375070.0,2014-05-01 00:00:00,20.0,146260641.0,149815020.0,8230310.0,13205548.0,2983651.0,727504958.0,159110.0,31082755.0,39745.0,-31353.0,34681378.0,,65092.0,9139.0,2014,2014,115133642.0,39501300.171664,159110.0,0.03879672590796317,3043142.0,0.020806294702345792,3.300438951870835,6.907737490333608,3.073643138474829,0.01204872376367872,0.3012271426278689,0.23149466588864054,0.7685053341113595,,115133642.0,0.9762748821847101,1.7128952657438317,for-profit
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,1128861.0,,2.0,25.0,9295613.0,10345.0,,3095739.0,,103.76,1127806.0,0.713484,25.0,,76339.0,60.0,,LA,1858253.0,28148014.0,1821670.0,328.0,1000017.0,,3995230.0,,2014-09-30,1230444.0,2013-10-01 00:00:00,,7901707.0,30425654.0,229148.0,744300.0,357503.0,13028479.0,24300072.0,1587366.0,1327.0,,744300.0,,9125.0,906.0,2013,2014,29681354.0,1325833.783452,24310417.0,0.23054132480488077,-2511056.0,-0.3177865238485811,37.81810291549107,39.25497245734247,37.23521698239957,32.648222490931076,0.025076349279753208,0.02446290883344693,0.9755370911665531,-38031.8,29681354.0,0.25970541175548767,2.552446120296317,govt
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,216763.0,,1.0,84.0,9053890.0,,,1906881.0,,122.4,,,84.0,,66848.0,,,TX,,2729598.0,1449091.0,1859.0,212433.0,,5297734.0,,2014-12-31,,2014-01-01 00:00:00,,11674690.0,11863479.0,337672.0,467028.0,,29655205.0,-123309.0,,29580.0,,467028.0,,30660.0,3441.0,2014,2014,11396451.0,,0.0,0.12412243922536702,1435896.0,0.12299221649568426,5.844613170944783,7.185804705499456,,0.0,0.04098012618138752,0.03936686700418992,0.9606331329958101,,11396451.0,0.9840865398758661,6.122400925909902,for-profit
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1439065.0,2681052.0,2.0,136.0,10577817.0,,4854804.0,7226635.0,29538.0,167.81,851101.0,0.380158,140.0,,,,,LA,2937126.0,10599555.0,-1896638.0,750.0,1410269.0,,4669445.0,2867052.0,2014-09-30,991725.0,2014-06-01 00:00:00,4.0,9075929.0,11404450.0,299934.0,5624188.0,1323522.0,27824800.0,629080.0,2176329.0,3647.0,-12164.0,6029742.0,,17080.0,1781.0,2014,2014,5374708.0,1116571.945908,629080.0,-0.20897453032080793,-1994947.0,-0.21980636913312124,1.8846373912109624,1.0595444177897324,,0.11185259098735675,1.1218734115416131,0.528718351169938,0.47128164883006196,,5374708.0,0.795823472416469,1.2558997375680383,non-profit
