Hospital,Hospital type,Control type,HAC reduction adjustment amount,Total Liabilities,Total discharges,IPPS Payment amount (unadjusted),Total Inpatient Days,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,Fiscal Year Begin Date,BALANCE SHEET: Total Assets (G_C1THRU4_36),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Net Revenue from Medicaid,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),NUMBER OF BEDS: Adults & Pediatrics,Cost To Charge Ratio,Total Salaries,Total Costs,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Subtotal,BALANCE SHEET: Inventory (G_C1THRU4_7),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Total cost of charity care,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Bad Debt expense,BED DAYS: Total Hospital,NUMBER OF BEDS: Total Hospital,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),State,HVBP payment adjustment amount,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,IPPS Interim payment,Medicaid charges,FTE Employees on Payroll,Cost of Uncompensated Care,Total Days Title XVIII,Fiscal Year End Date,NUMBER OF BEDS: ICU,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
A.G. HOLLEY STATE HOSPITAL (102000),General Long Term,Governmental-State,,11600664.0,27.0,,12659.0,160.0,1.0,2010-07-01 00:00:00,11600664.0,,,,,100.0,,7404989.0,11770055.0,5554148.0,7441.0,,,8801.0,,,,11600664.0,,36500.0,100.0,,322553.0,-5787979.0,,FL,,7983501.0,10842458.0,,,,,443.0,2011-06-30,,2010,2010,0.0,,0.0,-1.042100246518458,-6046516.0,-1.0886487000346408,0.6881934516851794,-0.4989351471605418,,0.0,inf,1.0,0.0,,0.0,0.47877845612975256,inf,govt
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,100073768.0,6292.0,28794651.0,31985.0,642.52,1.0,2010-09-01 00:00:00,126926424.0,35450858.0,26415886.0,7982090.0,,144.0,0.127401,35138664.0,89569526.0,129751663.0,7937067.0,3265712.0,,7975815.0,,1837192.0,460621.0,95263431.0,13765947.0,65700.0,180.0,,5205579.0,9560432.0,-186118.0,TX,,22917870.0,703052492.0,26279358.0,79336944.0,,3552850.0,14665.0,2011-08-31,36.0,2010,2010,26852656.0,10107606.002543999,0.0,0.0736825392365106,8768480.0,0.06757894116547855,0.24057363627812228,0.37765087423735555,0.20145754565568819,0.0,3.726773545231429,0.7884391984446044,0.21156080155539558,,26852656.0,1.022258871801194,4.9118800330982655,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,475345000.0,39847.0,115020504.0,163887.0,3773.93,1.0,2010-07-01 00:00:00,701815000.0,198828029.0,121648560.0,12118426.0,14969532.0,488.0,0.1438,268286490.0,487790918.0,678113450.0,22375319.0,3071000.0,,22321459.0,,2004944.0,3656000.0,77976000.0,20860479.0,209537.0,574.0,,53184959.0,35110908.0,48772732.0,PA,,159862000.0,3392137940.0,105485385.0,115015827.0,159.75,4975462.0,50250.0,2011-06-30,23.0,2010,2010,226470000.0,16539275.922600001,48772732.0,0.05177733607849837,-8728744.0,-0.012872099793920915,2.0501436339386476,3.0723923130193906,1.9638734995383196,0.6254838924797373,2.0989314257959113,0.6773081225109181,0.3226918774890819,2.9697798835661664,226470000.0,0.9662282082885091,5.574364793138529,non-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,33442554.0,1710.0,,21568.0,461.6,1.0,2010-09-26 00:00:00,41514896.0,,8892407.0,,445604.0,68.0,0.502072,25037674.0,36936416.0,47568925.0,1096530.0,210772.0,,1096530.0,7336996.0,,1015820.0,9229007.0,,26250.0,68.0,,1075627.0,2547713.0,4523694.0,ME,,15731484.0,73567996.0,,,,-57915.0,4347.0,2011-09-24,,2010,2010,8072342.0,,11860690.0,0.05355834717728013,-94703.0,-0.00199085852791502,1.7045695165254506,1.729743405764022,1.5716633436294933,0.49016042570993823,4.142856434972651,0.8055555287914006,0.19444447120859945,2.201335715119254,8072342.0,1.1458278734457146,5.34938684205525,non-profit
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,881110.0,121.0,,3652.0,93.22,2.0,2010-07-01 00:00:00,7502943.0,3505675.0,1285776.0,1076326.0,,25.0,0.726471,3525018.0,10860056.0,11820542.0,1850802.0,222720.0,,1821056.0,,,53004.0,881110.0,981449.0,9125.0,25.0,,117023.0,256442.0,1304846.0,LA,,3487834.0,14949062.0,,1235050.0,,233642.0,3467.0,2011-06-30,,2010,2010,6621833.0,897228.00855,1304846.0,0.02169460588186227,-645956.0,-0.05464690197792961,3.9584546764876123,3.241082271226067,3.645526665229086,1.48091157744209,0.13306134419276355,0.11743525174055035,0.8825647482594496,,6621833.0,1.5754540584941137,9.193313609835617,govt
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,11428621.0,383.0,,10429.0,107.27,1.0,2010-06-01 00:00:00,11496877.0,5923127.0,1447190.0,,471544.0,30.0,0.36271,5947529.0,13703605.0,14471634.0,10800.0,186140.0,,10800.0,,,365617.0,4316611.0,,10950.0,30.0,,1568449.0,595665.0,284371.0,TX,,1235052.0,37781116.0,,,,-135778.0,8176.0,2011-05-31,,2010,2010,68256.0,,284371.0,0.04116086683784292,566455.0,0.03914243547065936,0.28611612211524273,0.5391326668073635,0.1582943193167047,0.06587830128774634,167.43760255508673,0.9940630833921247,0.005936916607875339,4.527475696859678,68256.0,1.2587447878236846,9.999816195523739,for-profit
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,1005085.0,1822.0,4564505.0,6330.0,165.97,2.0,2010-07-01 00:00:00,12562806.0,4774062.0,10826866.0,,5028.0,34.0,0.392376,10124879.0,10271163.0,16919279.0,439417.0,608255.0,,462491.0,,,80073.0,945278.0,,12410.0,34.0,,501863.0,-211489.0,1116065.0,OK,,4183512.0,26176827.0,4150786.0,,,-62819.0,3683.0,2011-06-30,,2010,2010,11557721.0,,1116065.0,-0.012499882530455347,-291961.0,-0.017256113573161126,4.425694874946841,12.410573397455563,3.6975196714617287,1.180673833517759,0.08696221339829885,0.0800048173950947,0.9199951826049053,41.74661893396977,11557721.0,1.3467754735685642,1.562712515329921,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,11425367.0,141.0,,759.0,60.17,1.0,2010-07-01 00:00:00,18150253.0,,1569695.0,690244.0,401068.0,25.0,0.946931,3949524.0,8600505.0,8512665.0,1465212.0,200426.0,,1222129.0,1625806.0,48294.0,183615.0,2375241.0,251725.0,9125.0,25.0,,1058219.0,-104864.0,2094830.0,IA,,7198401.0,9082501.0,,794873.0,,286660.0,513.0,2011-06-30,,2010,2010,6724886.0,752689.884763,3720636.0,-0.012318586482611497,-1844455.0,-0.2166718648037953,3.030598158250047,1.604631277415639,2.868913091345257,0.8819441900842904,1.6989681312069826,0.629488029726087,0.37051197027391297,-1.9603558498808182,6724886.0,0.46901081764535185,5.423133156441219,govt
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,,323391854.0,1949.0,407865.0,13799.0,1284.5,1.0,2010-07-01 00:00:00,166113958.0,31145191.0,166974288.0,,,64.0,0.865038,28448053.0,79161528.0,47879018.0,124070.0,2270462.0,,127898.0,,,,115479435.0,,30660.0,84.0,,752526.0,-26249585.0,13867642.0,PR,,110508905.0,91512173.0,349622.0,,,,482.0,2011-06-30,20.0,2010,2010,-157277896.0,,13867642.0,-0.5482481908881256,-38928719.0,-0.813064273791079,0.956957444414237,1.3387002196538285,,0.12008754632372422,-2.056181206798443,1.9468072273613515,-0.9468072273613516,,-157277896.0,0.2882299511519676,0.2867448549922848,govt
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,81134750.0,394.0,,10730.0,127.0,1.0,2010-09-01 00:00:00,82410669.0,,5198542.0,,,40.0,,7255980.0,16026010.0,16321590.0,,105076.0,,,,,24152.0,68934126.0,,14600.0,40.0,,1161631.0,1432092.0,350978.0,MT,,2810767.0,28952684.0,,,,,6225.0,2011-08-31,,2010,2010,1275919.0,,350978.0,0.087742186882528,1261642.0,0.07729896413278363,0.04077468103389024,0.1012794736818742,0.038900021739595274,0.005091498512652499,63.58926389527862,0.9845175507554732,0.015482449244526823,,1275919.0,0.19805190514834917,3.139647616581726,for-profit
AFFINITY MEDICAL CENTER (360151),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,74142644.0,3649.0,15796847.0,19478.0,576.69,1.0,2010-07-01 00:00:00,47361771.0,24702945.0,18896813.0,6858320.0,,87.0,0.237379,30324151.0,72433655.0,88333074.0,3736922.0,2754476.0,,3596459.0,,53582.0,695274.0,74136910.0,7498100.0,39543.0,108.0,,6572480.0,167514.0,-674104.0,OH,,17746409.0,305139398.0,13961442.0,34801103.0,23.98,1778272.0,7097.0,2011-06-30,21.0,2010,2010,-26780873.0,8261051.029037001,0.0,0.0018963904731765589,-632536.0,-0.007160805928705708,0.23937346458059824,0.2571767153500193,0.19284131210755884,0.0,-2.7684924236786457,1.5654533695541073,-0.5654533695541073,,-26780873.0,1.8650711773425872,4.674495852819203,for-profit
ALAMEDA COUNTY MEDICAL CENTER (050320),General Short Term (Acute Care Hospitals),Governmental-County,,301744132.0,10352.0,23959826.0,45623.0,2282.05,1.0,2010-07-01 00:00:00,269431884.0,176584325.0,201787442.0,98570187.0,1205585.0,178.0,0.466175,231548178.0,395090954.0,210397644.0,8896595.0,4093418.0,,9074277.0,,33607443.0,1587341.0,94221474.0,32394236.0,72270.0,198.0,,11208618.0,65435308.0,76616254.0,CA,,232254476.0,847516405.0,22556347.0,398625817.0,125.46,48147188.0,5287.0,2011-06-30,20.0,2010,2010,-32312248.0,185829390.239975,76616254.0,0.3110077981671696,-292545497.0,-1.3904409357359533,2.4649845320823576,3.649263691204831,2.4046929790124065,0.8131506624487747,-9.338382522936813,1.119927335697211,-0.11992733569721095,-233.36129679782016,-32312248.0,0.7808936376661346,1.0426696622676845,govt
ALAMEDA HOSPITAL (050211),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,18860485.0,2527.0,14832166.0,10443.0,437.53,1.0,2010-07-01 00:00:00,28120619.0,29779535.0,7249185.0,39917405.0,253919.0,84.0,0.263951,35233865.0,64453585.0,57757879.0,3376630.0,1183358.0,,3466995.0,,466787.0,262359.0,17750199.0,8020061.0,33580.0,92.0,,390027.0,-1428859.0,2064823.0,CA,,19004112.0,244187944.0,13702897.0,48527704.0,,2480234.0,5453.0,2011-06-30,,2010,2010,9260134.0,12808935.998504,2064823.0,-0.024738772003729568,-9477430.0,-0.16408895485930153,1.0706421939269526,0.44422876611129825,0.989194261991091,0.11632675216767992,2.036739965102017,0.6706994963375451,0.32930050366245495,-35.788590062185186,9260134.0,2.053933414481381,7.967499656857978,govt
ALASKA PSYCHIATRIC INSTITUTE (024002),Psychiatric,Governmental-State,,,1325.0,,25537.0,251.37,1.0,2010-07-01 00:00:00,,15969547.0,,,,80.0,1.055834,16012081.0,31026940.0,,49203.0,,,29241.0,,,,,,29200.0,80.0,,1473917.0,-31700075.0,,AK,,,29386192.0,,,,-21276.0,3936.0,2011-06-30,,2010,2010,,,0.0,,,,,,,,,,,,,,,govt
ALBANY AREA HOSPITAL (241331),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,-3940368.0,261.0,,1162.0,54.26,2.0,2010-07-01 00:00:00,3679938.0,,1736049.0,894779.0,3627.0,17.0,0.672913,4577202.0,9328896.0,10187425.0,861417.0,179233.0,,779509.0,,18964.0,24201.0,-4037671.0,248239.0,6205.0,17.0,,310387.0,-87941.0,33608.0,MN,,1783220.0,13863444.0,,1418942.0,,183044.0,555.0,2011-06-30,,2010,2010,3679938.0,954824.5180459999,33608.0,-0.008632308949513738,-280174.0,-0.027501944799593617,inf,inf,inf,inf,0.0,0.0,1.0,8.33002481389578,3679938.0,2.7683686518631565,5.868166739533273,non-profit
ALBERT EINSTEIN MEDICAL CENTER (390142),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,442636648.0,26471.0,126774589.0,121052.0,3409.2,1.0,2010-07-01 00:00:00,819396869.0,219264322.0,61474857.0,129561765.0,,355.0,0.18832,273810178.0,526804938.0,660036000.0,18112195.0,7444582.0,,18014906.0,1952797.0,12114061.0,1119845.0,127745717.0,27931557.0,159870.0,438.0,,28307801.0,22235723.0,13850703.0,PA,,175067651.0,2797386487.0,116936473.0,848484353.0,341.7,16754145.0,32767.0,2011-06-30,39.0,2010,2010,376760221.0,159786573.35696,15803500.0,0.03368865183111224,-16214573.0,-0.02456619487421898,1.3704385173242246,0.7637147083373449,1.303395745158329,0.1084240108026479,1.1748497408382188,0.540198119795354,0.45980188020464596,,376760221.0,0.805514427710121,10.736682152835265,non-profit
ALEGENT HEALTH COMMUNITY HOSPITAL (161309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,2553000.0,481.0,,2196.0,113.99,2.0,2010-07-01 00:00:00,23611000.0,,4046000.0,1442844.0,11917.0,25.0,0.561272,10636048.0,20437138.0,22939000.0,2644756.0,485000.0,,3154422.0,,351774.0,,2242000.0,968156.0,9125.0,25.0,,311080.0,1633000.0,9528000.0,IA,,12725000.0,36412172.0,,2945239.0,,816198.0,1634.0,2011-06-30,,2010,2010,21058000.0,1653080.184008,9528000.0,0.07118880509176512,931000.0,0.04058590173939579,5.675735950044603,6.782783229259589,,4.249776984834969,0.12123658467090892,0.10812756765914193,0.8918724323408581,104.22757405387262,21058000.0,0.9715386895938334,5.66955017301038,non-profit
ALEGENT HEALTH MEMORIAL HOSPITAL (281323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,2133000.0,251.0,,1012.0,63.85,2.0,2010-07-01 00:00:00,9002000.0,,1086000.0,707161.0,53612.0,25.0,0.801166,5299620.0,11123846.0,11597773.0,1415046.0,234000.0,,1693356.0,,42714.0,,345000.0,903466.0,9125.0,25.0,,332424.0,281151.0,1610000.0,NE,,3914000.0,13884574.0,,1096496.0,,766540.0,593.0,2011-06-30,,2010,2010,6869000.0,878475.314336,1610000.0,0.024241809181814473,116025.0,0.010004075782479964,11.344927536231884,8.629423188405797,,4.666666666666667,0.3105255495705343,0.2369473450344368,0.7630526549655632,8.364713123927478,6869000.0,1.2883551433014886,10.679348987108655,non-profit
ALEGENT HEALTH MERCY HOSPITAL (161304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1318444.0,222.0,,1678.0,95.74,2.0,2010-07-01 00:00:00,17773350.0,,2069440.0,883085.0,15660.0,22.0,0.617464,6555121.0,15810983.0,15538638.0,3028062.0,381327.0,,3116207.0,,215780.0,,973310.0,443455.0,8030.0,22.0,,871961.0,403053.0,989079.0,IA,,8154986.0,25606326.0,,1442339.0,,441367.0,1329.0,2011-06-30,,2010,2010,16454906.0,890592.408296,989079.0,0.025938759883588253,-322897.0,-0.02078026401026911,8.378611131088759,3.5564948474792204,,1.0162014157873647,0.0801246752792146,0.07418095069303199,0.925819049306968,35.061558109833975,16454906.0,0.8742661344091013,7.508619723210144,non-profit
ALEXANDRIA BEHAVORIAL HEALTH HSP (244012),Psychiatric,Governmental-State,,,228.0,,4083.0,34.58,2.0,2010-07-01 00:00:00,,,,,,14.0,,2715177.0,4377189.0,,,,,,,,,,,5110.0,14.0,,356987.0,-4370476.0,,MN,,,24498.0,,,,,1238.0,2011-06-30,,2010,2010,,,0.0,,,,,,,,,,,,,,,govt
ALHAMBRA HOSPITAL (050281),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,27210329.0,3910.0,24744311.0,17589.0,433.11,1.0,2010-07-01 00:00:00,59692805.0,25112209.0,66358780.0,7775198.0,,88.0,0.167355,28381401.0,60746951.0,75476168.0,2911540.0,766978.0,,3180237.0,,1004426.0,6711796.0,27210329.0,7265473.0,36865.0,101.0,,4210075.0,16859096.0,16682245.0,CA,,31858854.0,362983409.0,25225465.0,78580043.0,,2073883.0,9802.0,2011-06-30,13.0,2010,2010,32482476.0,13150763.096265001,16682245.0,0.22336979270065752,9061439.0,0.12005695625670874,1.1708367804005604,3.6714043773597886,0.8959862264068913,0.61308501635537,0.8376925761447496,0.4558393427817641,0.5441606572182359,,32482476.0,1.2644098061734577,1.1373953529585685,for-profit
ALLE-KISKI MEDICAL CENTER (390032),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,94500552.0,8011.0,17830365.0,36589.0,836.57,1.0,2010-07-01 00:00:00,84166278.0,35894833.0,11080766.0,7409114.0,,172.0,0.242165,40999539.0,104253993.0,122298018.0,3249180.0,1480293.0,,3399508.0,,516660.0,710046.0,9367378.0,7708223.0,68620.0,188.0,,7611550.0,8966650.0,16879620.0,PA,,28942919.0,430507875.0,16253253.0,45615649.0,,2372293.0,11344.0,2011-06-30,16.0,2010,2010,-10334274.0,11046513.640084999,16879620.0,0.07331803202239957,2579586.0,0.02109262310367123,3.089756706732663,3.9420888107643357,2.8559304428624532,1.801957815730293,-9.144382275910239,1.1227840204600708,-0.12278402046007073,,-10334274.0,1.4530524683531807,11.036964231534174,non-profit
ALLEGHENY GENERAL HOSPITAL (390050),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,506733635.0,23932.0,116341880.0,132206.0,3658.29,1.0,2010-07-01 00:00:00,429848004.0,147325460.0,78390866.0,47629865.0,,421.0,0.253549,179932698.0,543722187.0,595064564.0,13916502.0,10601914.0,,13845353.0,,1646733.0,3618054.0,56577186.0,,190640.0,521.0,,42677929.0,41609101.0,8170595.0,PA,,106836691.0,2144449950.0,106114688.0,249631332.0,301.47,1537819.0,33099.0,2011-06-30,52.0,2010,2010,-76885631.0,63293774.59726801,8170595.0,0.06992367470229667,-15139934.0,-0.025442506436998993,1.8883351851398193,2.2654106904503877,1.6369976937347148,0.14441501208632046,-6.590745610190804,1.178867018770663,-0.17886701877066294,,-76885631.0,1.3843604215037835,7.590993624180654,non-profit
ALLEGIANCE SPECIALTY HOSPITAL OF KIL (450488),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,4934474.0,41.0,111708.0,120.0,,1.0,2010-09-01 00:00:00,4552230.0,2387972.0,3458883.0,,,48.0,0.264631,3142367.0,7552244.0,8534269.0,2528105.0,118225.0,,2541559.0,,,123684.0,4934474.0,,17472.0,48.0,,58536.0,971481.0,148458.0,TX,,3849250.0,28538753.0,98219.0,,,-57807.0,85.0,2011-08-31,,2010,2010,-382244.0,,148458.0,0.11383294808260673,828033.0,0.09702447860502171,0.7800730128479753,0.9279250432771557,0.7310487399467501,0.03008588149415723,-12.909225520871486,1.0839685165292614,-0.08396851652926149,,-382244.0,1.874744685571687,2.467348273994813,for-profit
ALLEGIANCE SPECIALTY HOSPITAL OF LIT (042010),General Long Term,Proprietary-Corporation,,5859342.0,233.0,,6317.0,59.67,1.0,2010-06-01 00:00:00,1313951.0,2894596.0,1082598.0,,,40.0,0.404486,2894596.0,7857346.0,7239543.0,51470.0,160332.0,,51470.0,,,705.0,5859336.0,,14600.0,40.0,,86341.0,-214084.0,4593.0,AR,,1248228.0,19425513.0,,,,-13396.0,5155.0,2011-05-31,,2010,2010,-4545391.0,,4593.0,-0.029571479857223033,-397082.0,-0.05484904226689447,0.2130323299431881,0.14901125315223432,0.18554849901080941,0.0007838772174867596,-1.2890732612441922,4.459330675192606,-3.4593306751926063,,-4545391.0,5.509751124661422,6.687194138544501,for-profit
ALLEN PARISH HOSPITAL (190133),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,2245751.0,306.0,819830.0,1571.0,91.57,2.0,2010-07-01 00:00:00,3919098.0,3431560.0,4412397.0,4913597.0,62619.0,25.0,0.541759,5841610.0,10768580.0,11606757.0,460789.0,250427.0,,475766.0,166340.0,672692.0,70217.0,1179307.0,2809430.0,9125.0,25.0,,392640.0,-39667.0,320269.0,LA,,2263298.0,19877055.0,840471.0,6145456.0,,2192814.0,1047.0,2011-06-30,,2010,2010,1673347.0,3329356.097104,486609.0,-0.0034175782262004795,-845208.0,-0.07282034077218985,1.9191762619911523,3.9794548832492302,1.6472843797247028,0.2715738989084267,1.3420713097761552,0.5730275180666572,0.4269724819333428,-7.22732716907009,1673347.0,2.9615888656012173,2.6304879184715246,govt
ALLIED SERVICES REHAB HOSPITAL (393030),Rehabilitation,Voluntary Nonprofit-Other,,15643061.0,2097.0,,21325.0,345.0,1.0,2010-07-01 00:00:00,33219692.0,15960462.0,4918334.0,,700361.0,135.0,0.525994,15960462.0,31949329.0,35055785.0,13241.0,233231.0,,13241.0,17986859.0,,102231.0,2844999.0,,49275.0,135.0,,701842.0,4952977.0,4562345.0,PA,,24709212.0,60740872.0,,,,-18272.0,16754.0,2011-06-30,,2010,2010,17576631.0,,22549204.0,0.14128843499011648,1042855.0,0.029748442375488095,8.68513908089247,5.073343083776128,8.567226209921339,1.603636767534892,0.8899920013112865,0.47089723167812636,0.5291027683218736,2.491139569450612,17576631.0,1.0552712228638363,7.127573076574303,non-profit
ALPENA REGIONAL MEDICAL CENTER (230036),General Short Term (Acute Care Hospitals),Governmental-City,,29103182.0,4115.0,24723482.0,17504.0,767.5,1.0,2010-07-01 00:00:00,78114283.0,35994274.0,42626834.0,6416433.0,,87.0,0.329864,48212360.0,87110666.0,123795735.0,14016520.0,3585223.0,,14717657.0,,764784.0,495192.0,14585318.0,5897018.0,33601.0,96.0,,5459025.0,3555102.0,8445331.0,MI,,24907142.0,264080411.0,23148462.0,29407927.0,,2348356.0,11143.0,2011-06-30,9.0,2010,2010,49011101.0,9700616.431928,8445331.0,0.02871748368390882,-790701.0,-0.006387142497275855,1.7076859071567723,3.745360025746439,1.4279240946272134,0.5790296104616985,0.5938079619962017,0.3725718381105796,0.6274281618894204,,49011101.0,1.5848028074455986,2.9041738122047724,govt
ALTA VISTA REGIONAL HOSPITAL (320003),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,-30703144.0,2069.0,6552665.0,7372.0,,2.0,2010-09-01 00:00:00,30319591.0,12929738.0,6038390.0,8627130.0,,38.0,0.197333,13139600.0,29576448.0,45177871.0,2044836.0,1099768.0,,2682519.0,,2632199.0,268938.0,-30703144.0,3001870.0,16790.0,46.0,,1885857.0,8900026.0,-411101.0,NM,,5728707.0,149880943.0,6662241.0,39938293.0,,3177830.0,3396.0,2011-08-31,8.0,2010,2010,30319591.0,7881143.172569,0.0,0.19699967712068592,8892438.0,0.19683171878550895,inf,inf,inf,,0.0,0.0,1.0,,30319591.0,1.4900554232410326,7.481774280892754,for-profit
ALTON MENTAL HEALTH CENTER (144016),Psychiatric,Governmental-State,,,107.0,,45437.0,282.01,1.0,2010-07-01 00:00:00,,8950749.0,,,,24.0,74.986757,18798099.0,34154136.0,,46225.0,,,21899.0,,,,,,8760.0,24.0,,1848080.0,-24078195.0,,IL,,,454370.0,,,,,685.0,2011-06-30,,2010,2010,,,0.0,,,,,,,,,,,,,,,govt
ALTOONA REGIONAL HEALTH SYSTEM (390073),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,152557199.0,18978.0,53923349.0,93199.0,2240.54,1.0,2010-07-01 00:00:00,284587708.0,115838810.0,116243077.0,27934150.0,994625.0,392.0,0.318489,123372079.0,292078947.0,311246124.0,16446612.0,5131842.0,,17096121.0,,2829205.0,3443661.0,32276733.0,20847097.0,159081.0,439.0,,16114534.0,4783644.0,2892750.0,PA,,70898696.0,917076424.0,48414776.0,126804800.0,19.03,9059474.0,31484.0,2011-06-30,40.0,2010,2010,132030509.0,40385933.9472,2892750.0,0.015369328743833609,-6930974.0,-0.02226846686771913,2.1965883597946547,3.839281720364945,1.9309015258762403,0.0896233828869855,1.155469293843289,0.5360639082837689,0.4639360917162311,9.23318838758326,132030509.0,1.0936738139090674,2.677545467933544,non-profit
AMERICAN ONCOLOGIC HOSPITAL (390196),Cancer (Acute Care Hospitals),Voluntary Nonprofit-Other,,65004528.0,4728.0,,22371.0,890.0,1.0,2010-07-01 00:00:00,84245696.0,,29458263.0,1169898.0,,92.0,0.378443,52441061.0,192058710.0,234651656.0,26185599.0,3222485.0,,26998308.0,,,4512522.0,20189972.0,,36500.0,100.0,,13731259.0,22815404.0,4069610.0,PA,,9776982.0,507496639.0,,4142326.0,31.03,-230343.0,7661.0,2011-06-30,8.0,2010,2010,19241168.0,1567634.2784179999,4069610.0,0.09723095242080883,24833226.0,0.10583017577340259,0.4842494085677781,3.1753214912829004,0.1011380798348804,0.2015659060844661,3.37840862883168,0.7716065162545515,0.22839348374544854,,19241168.0,2.7853251518036006,7.96556321056676,non-profit
AMERY REGIONAL MEDICAL CENTER (521308),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,41500415.0,1082.0,,4284.0,40.65,2.0,2010-05-01 00:00:00,60173901.0,,8168184.0,5282279.0,2222038.0,23.0,0.623372,16834481.0,38619441.0,49009324.0,5646228.0,683530.0,,5862449.0,2619146.0,617332.0,95499.0,5275576.0,1814246.0,9125.0,25.0,,2970286.0,-309439.0,7299290.0,WI,,17135314.0,61952462.0,,11132096.0,,1521734.0,2246.0,2011-04-30,2.0,2010,2010,18673486.0,6939436.947712,9918436.0,-0.006313880191450917,-1102522.0,-0.02249616828014196,3.2480460901330965,2.992929113332838,3.100378991791607,1.383600577453533,2.2224246185206127,0.689674664768701,0.310325335231299,0.8405634827127169,18673486.0,0.8144614722585461,6.000026933771325,non-profit
ANAHEIM GENERAL HOSPITAL (050768),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,89047558.0,750.0,2968051.0,3332.0,191.04,1.0,2010-09-07 00:00:00,8595996.0,12250806.0,68755168.0,16918279.0,,100.0,0.401135,15394845.0,34291965.0,12734356.0,488282.0,777564.0,,488282.0,,47476.0,109910.0,11727779.0,6065519.0,40880.0,112.0,,525944.0,-21934026.0,-275747.0,CA,,2848779.0,85487298.0,2326732.0,60596159.0,,2469299.0,2077.0,2011-08-31,12.0,2010,2010,-80451562.0,24307240.240465,0.0,-1.7224291515016543,-22136770.0,-1.738350176483208,0.24290865303652123,3.9923281296484183,0.16723584235344136,0.0,-1.1068468502824096,10.359190255556191,-9.359190255556191,,-80451562.0,1.4814287954531389,0.18521307372850868,for-profit
