Hospital,Hospital type,Control type,HAC reduction adjustment amount,Total Liabilities,Total discharges,IPPS Payment amount (unadjusted),Total Inpatient Days,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,Fiscal Year Begin Date,BALANCE SHEET: Total Assets (G_C1THRU4_36),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Net Revenue from Medicaid,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),NUMBER OF BEDS: Adults & Pediatrics,Cost To Charge Ratio,Total Salaries,Total Costs,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Subtotal,BALANCE SHEET: Inventory (G_C1THRU4_7),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Total cost of charity care,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Bad Debt expense,BED DAYS: Total Hospital,NUMBER OF BEDS: Total Hospital,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),State,HVBP payment adjustment amount,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,IPPS Interim payment,Medicaid charges,FTE Employees on Payroll,Cost of Uncompensated Care,Total Days Title XVIII,Fiscal Year End Date,NUMBER OF BEDS: ICU,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
COMMUNITY HOSPITAL OF SAN BERNARDINO (050089),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,88099865.0,9168.0,17809162.0,40395.0,920.0,1.0,2010-07-01 00:00:00,63903032.0,74041868.0,113407758.0,72629527.0,2612557.0,170.0,0.209884,93293631.0,168437865.0,180924603.0,2828086.0,1955954.0,,3022348.0,,6532307.0,7310023.0,33291735.0,,71540.0,196.0,,4774407.0,-12924980.0,2808143.0,CA,,35219587.0,802528981.0,16765826.0,533727648.0,,6347182.0,6674.0,2011-06-30,19.0,2010,2010,-24196833.0,112020893.672832,2808143.0,-0.07143848755605671,-14772549.0,-0.08165030490629292,1.057907826071546,3.1025995190698232,0.7795811783314988,0.08434955402594668,-3.6409667744534997,1.3786492165191786,-0.3786492165191786,-3.8269565027672123,-24196833.0,2.8312365992274042,1.5953459109913803,non-profit
COMMUNITY MEDICAL CENTER  INC. (281352),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,21049928.0,679.0,,4524.0,130.71,2.0,2010-08-01 00:00:00,33958439.0,,4085347.0,1220595.0,945800.0,24.0,0.709728,6495391.0,16425406.0,17779847.0,2219196.0,48650.0,,2315749.0,1072737.0,284252.0,280321.0,1607475.0,296136.0,8760.0,24.0,,1558401.0,777748.0,6320809.0,NE,,11553397.0,23143232.0,,1766415.0,,485185.0,3396.0,2011-07-31,,2010,2010,12908511.0,1253674.18512,7393546.0,0.04374323356100871,370499.0,0.020838143320355905,7.187294981259429,6.957435729949144,6.982644209085678,3.932135180951492,1.6307014805967939,0.619873251535502,0.380126748464498,2.039437513216325,12908511.0,0.5235766873736452,4.352102036864922,non-profit
COMMUNITY MEDICAL CENTER (270023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,69729886.0,5291.0,15854886.0,23085.0,1006.0,1.0,2010-07-01 00:00:00,150377522.0,44976079.0,17893802.0,12359656.0,703930.0,95.0,0.435096,55817407.0,102184064.0,147187432.0,6061130.0,3336757.0,,6020977.0,13326509.0,2355753.0,803489.0,32511423.0,6880830.0,45260.0,124.0,,6021518.0,8138182.0,23056710.0,MT,,60896290.0,234854131.0,14674218.0,33440791.0,,5309411.0,5756.0,2011-06-30,29.0,2010,2010,80647636.0,14549954.400936,36383219.0,0.055291283293807315,3584766.0,0.024355109341129073,1.8730736578340481,1.5155544868029922,1.7457262328997412,0.709187967564508,0.8646240542004232,0.46369886318515074,0.5363011368148493,13.64664668361911,80647636.0,0.9787861246975462,8.225609739059369,non-profit
COMMUNITY MEDICAL CENTER (390001),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,66943605.0,10595.0,42847887.0,48274.0,1144.8,1.0,2010-07-01 00:00:00,105478228.0,53383751.0,15071872.0,13828796.0,1448710.0,256.0,0.253884,61600987.0,138167013.0,166349870.0,6875481.0,3326607.0,,7075149.0,2025418.0,14831723.0,1546721.0,21352986.0,12637005.0,98525.0,273.0,,6500377.0,7900035.0,1343163.0,PA,,32280306.0,544212579.0,39640762.0,76736749.0,25.06,17770056.0,24712.0,2011-06-30,17.0,2010,2010,38534623.0,19482232.783116,3368581.0,0.047490478952583494,9755796.0,0.058646249618349564,1.5117466943499143,1.7305343149665344,1.2835196913443394,0.06290281836929036,1.7372326440043282,0.6346675164091683,0.36533248359083165,11.221136735440496,38534623.0,1.577101484867569,11.037107401124425,non-profit
COMMUNITY MEMORIAL HOSPITAL (141306),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,2223544.0,273.0,,1491.0,104.0,2.0,2010-07-01 00:00:00,13409508.0,,4093787.0,597005.0,17123.0,21.0,0.499552,5040423.0,11171566.0,14020801.0,2651210.0,254277.0,,2901099.0,,17564.0,178039.0,1337148.0,1225845.0,9125.0,25.0,,585604.0,558822.0,2782641.0,IL,,5112445.0,22363170.0,,2108406.0,,529311.0,1350.0,2011-06-30,4.0,2010,2010,11185964.0,1053258.434112,2782641.0,0.03985663871842985,122502.0,0.008737161307688484,3.823395016856773,5.561276687397356,3.500083012501234,2.0810269319476977,0.1987798280058831,0.16581846254165328,0.8341815374583467,41.354085148630496,11185964.0,1.0455865345693518,3.4248975337505345,non-profit
COMMUNITY MEMORIAL HOSPITAL (281309),Critical Access Hospitals,Governmental-Hospital District,,5076749.0,89.0,,497.0,69.39,2.0,2010-07-01 00:00:00,10464810.0,,2285266.0,177379.0,198529.0,18.0,0.702043,4887222.0,9335214.0,10035641.0,2111725.0,198252.0,,2256265.0,11635.0,63066.0,31850.0,914375.0,314854.0,6570.0,18.0,,725908.0,879731.0,1335899.0,NE,,3448626.0,13297202.0,,,,283626.0,415.0,2011-06-30,,2010,2010,5388061.0,,1347534.0,0.08766066861100352,163095.0,0.016251577751735042,3.771566370471634,4.912157484620643,3.519916883116883,1.460996855775803,0.9422218865005426,0.4851257691252875,0.5148742308747125,4.47795032463771,5388061.0,0.9589893175318042,4.391454211457222,govt
COMMUNITY MEMORIAL HOSPITAL (490098),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,12691966.0,4372.0,14406130.0,19153.0,,2.0,2010-07-01 00:00:00,55688656.0,24140667.0,10800104.0,5354359.0,179164.0,81.0,0.297973,35608723.0,61903891.0,90427623.0,4786030.0,846788.0,,5032375.0,,1485185.0,974532.0,9329300.0,15220624.0,33215.0,91.0,,2907043.0,-781792.0,14963862.0,VA,,28390177.0,207750334.0,12986414.0,21686326.0,,5791485.0,10835.0,2011-06-30,,2010,2010,42996690.0,6461939.617198,14963862.0,-0.008645499838030687,-2564180.0,-0.028356158383152457,3.0431197410309454,2.6778187002240252,2.8478939470271083,1.6039640701874738,0.2951847223588607,0.22790936092980948,0.7720906390701905,1.9136824362037017,42996690.0,1.623806884475718,8.372847428135877,non-profit
COMMUNITY MEMORIAL HOSPITAL (520103),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,161666606.0,8595.0,32004585.0,37493.0,987.16,1.0,2010-07-01 00:00:00,307452790.0,58523006.0,45708847.0,5646477.0,,144.0,0.378041,61734216.0,144844278.0,178627227.0,7684834.0,3880289.0,,7682017.0,13898272.0,1775179.0,2138318.0,70886314.0,3960000.0,63145.0,173.0,,7258418.0,26137741.0,,WI,,104323054.0,383144641.0,29147735.0,18849982.0,,3246815.0,16419.0,2011-06-30,29.0,2010,2010,145786184.0,7126066.0452620005,13898272.0,0.14632562705572313,-5385259.0,-0.03014803000888549,1.4716952838033024,1.0135466770073558,1.3867902201826998,0.0,1.1089295402642545,0.5258257893837945,0.4741742106162055,,145786184.0,0.5809907498318685,3.9079355250417933,non-profit
COMMUNITY MENTAL HEALTH CENTER (154011),Psychiatric,Voluntary Nonprofit-Other,,3912337.0,513.0,,2704.0,212.02,1.0,2010-07-01 00:00:00,12503600.0,,3759127.0,,,16.0,0.7542,8855144.0,5435949.0,8333486.0,302050.0,,,302050.0,463428.0,,163508.0,2846767.0,,5840.0,16.0,,1.0,104159.0,2307648.0,IN,,5101254.0,7207567.0,,,,-46512.0,1054.0,2011-06-30,,2010,2010,8591263.0,,2771076.0,0.012498851021049294,-6694578.0,-0.8033346429093419,1.7919464431054597,2.6700274381429883,,0.8106206092736076,0.4553855469213316,0.31289684570843596,0.687103154291564,,8591263.0,0.666486931763652,2.216867373727996,non-profit
COMMUNITY REGIONAL MEDICAL CENTER (050060),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,343626431.0,34670.0,130898541.0,191391.0,3990.64,1.0,2010-09-01 00:00:00,825395907.0,242240675.0,497360414.0,667023543.0,11763521.0,478.0,0.240281,267297231.0,640428633.0,828174479.0,24698185.0,7244009.0,,23255810.0,39815595.0,9479782.0,26552983.0,63841966.0,4825883.0,235060.0,644.0,,19810120.0,91654884.0,78823915.0,CA,,252173972.0,2665327785.0,128748075.0,1049728520.0,193.38,9847088.0,40437.0,2011-08-31,78.0,2010,2010,481769476.0,252229818.51411998,118639510.0,0.11067098337861242,67013413.0,0.08091702255896248,3.9499719040607237,10.46081840587428,3.420586703109989,1.2346724253447958,0.7132590338703816,0.4163171007825218,0.5836828992174782,7.3807436565973745,481769476.0,1.0033663505918016,1.6651395159084776,non-profit
CONEJOS COUNTY HOSPITAL (061308),General Short Term (Critical Access Hospitals),Governmental-County,,1158134.0,280.0,,966.0,61.97,2.0,2010-07-01 00:00:00,2632310.0,,3656998.0,531646.0,,17.0,0.809555,3371744.0,7728179.0,8277689.0,820368.0,180224.0,,1015461.0,27538.0,,208795.0,1002426.0,652307.0,6205.0,17.0,,192439.0,62111.0,544394.0,CO,,1876188.0,9546203.0,,2264461.0,,406101.0,681.0,2011-06-30,,2010,2010,1474176.0,1833205.7248550002,571932.0,0.007503422754829276,-32172.0,-0.0038865920186177566,1.8716473834477558,4.2531847737389095,1.4835698595208024,0.5430764964196858,0.7856144720847443,0.4399686966960578,0.5600313033039421,,1474176.0,3.1446482367198394,2.2635202425596077,govt
CONEY ISLAND HOSPITAL (330196),General Short Term (Acute Care Hospitals),Governmental-City-County,,-31689000.0,15671.0,92335641.0,98874.0,2589.0,1.0,2010-07-01 00:00:00,860423000.0,147355333.0,34080000.0,118258000.0,,251.0,1.0,163483034.0,344815590.0,441290530.0,5165487.0,1657000.0,,5552143.0,,32836564.0,391000.0,-33581000.0,20736240.0,106580.0,292.0,,16131696.0,50804461.0,173000.0,NY,,715269000.0,344815590.0,93722794.0,159555838.0,109.7,53277203.0,35078.0,2011-06-30,22.0,2010,2010,860423000.0,159555838.0,173000.0,0.11512701394249271,41742349.0,0.09459153587546962,inf,inf,inf,inf,0.0,0.0,1.0,,860423000.0,0.5128762597001707,12.948665786384977,govt
CONNECTICUT MENTAL HEALTH CENTER (074011),Psychiatric,Governmental-State,,,243.0,,9504.0,232.0,1.0,2010-07-01 00:00:00,,17556068.0,,,,33.0,13.916461,17556068.0,36822232.0,,185389.0,,,150870.0,,,,,,12045.0,33.0,,243984.0,-35242316.0,,CT,,,2645948.0,,,15.2,,838.0,2011-06-30,,2010,2010,,,0.0,,,,,,,,,,,,,,,govt
CONNECTICUT VALLEY HOSPITAL (074003),Psychiatric,Governmental-State,,,3407.0,,209290.0,1487.0,1.0,2010-07-01 00:00:00,,129808863.0,,,,626.0,226.568789,131655065.0,237092909.0,,-260753.0,,,972559.0,,,,,,228490.0,626.0,,2578875.0,-160170118.0,,CT,,,1046450.0,,,,,7186.0,2011-06-30,,2010,2010,,,0.0,,,,,,,,,,,,,,,govt
CONTINUING CARE HOSPITAL (182002),General Long Term,Voluntary Nonprofit-Church,,6381166.0,575.0,,14323.0,93.71,1.0,2010-07-01 00:00:00,6790765.0,4901303.0,4966109.0,,11349.0,45.0,0.365632,4901303.0,15925478.0,17926007.0,2109.0,80107.0,,2109.0,,,,6381166.0,,16425.0,45.0,,-338112.0,-350255.0,3387470.0,KY,,6093450.0,43556060.0,,,,-46212.0,10770.0,2011-06-30,,2010,2010,409599.0,,3387470.0,-0.01953893022578871,-409229.0,-0.02282878724748908,0.9549116885534713,1.254210280691648,,0.5308543924417575,15.579056589493627,0.9396829370475933,0.060317062952406686,-36.05859547096661,409599.0,2.639762530436556,3.6096684547197815,non-profit
CONTINUING CARE HOSPITAL AT ST. LUKE (162002),General Long Term,Voluntary Nonprofit-Church,,5392151.0,175.0,,4907.0,35.33,1.0,2010-05-01 00:00:00,2018403.0,,2542659.0,,,28.0,,2178071.0,7108099.0,7460202.0,,54960.0,,,,,16500.0,1272775.0,,10220.0,28.0,,93084.0,-6999.0,552642.0,IA,,1573358.0,16252908.0,,,,,3693.0,2011-04-30,,2010,2010,-3373748.0,,552642.0,-0.0009381783495942871,-9117.0,-0.001222084871160325,1.2361635010115692,2.42643200879967,1.1800184635933295,0.4342024316945257,-1.5982672683318375,2.67149375025701,-1.6714937502570102,,-3373748.0,3.696091414846292,2.934015925847705,non-profit
CONTRA COSTA REGIONAL MEDICAL CENTER (050276),General Short Term (Acute Care Hospitals),Governmental-County,,318566535.0,8079.0,17533462.0,37577.0,1744.97,1.0,2010-07-01 00:00:00,384288445.0,129325259.0,231913556.0,100939129.0,,109.0,0.640438,169983926.0,301420373.0,242128961.0,9945011.0,3273462.0,,9695730.0,,,2865836.0,148984961.0,,44895.0,123.0,,6666929.0,47422733.0,98116855.0,CA,,189386177.0,470647139.0,18379170.0,215963053.0,36.89,-107596.0,5117.0,2011-06-30,8.0,2010,2010,65721910.0,138310945.737214,98116855.0,0.19585733488527216,-164636293.0,-0.6799529156695964,1.2711764712949785,2.5334982904751038,1.2299689698210545,0.6585688538053179,4.84718924023967,0.828977657655046,0.17102234234495392,,65721910.0,0.6300708859461023,1.0440483306633441,govt
COOKEVILLE REGIONAL MEDICAL CENTER (440059),General Short Term (Acute Care Hospitals),Governmental-City,,112144098.0,14127.0,59818933.0,56864.0,1552.78,2.0,2010-07-01 00:00:00,275332732.0,80052479.0,55887857.0,17158263.0,,201.0,0.398588,85177503.0,186321809.0,216621319.0,19269648.0,5648717.0,,20370110.0,,2442055.0,5933252.0,19810261.0,,82855.0,227.0,,16029024.0,15286460.0,66066941.0,TN,,106399412.0,467454104.0,56960483.0,50260330.0,,1731967.0,30507.0,2011-06-30,26.0,2010,2010,163188634.0,20033164.41404,66066941.0,0.07056766190219717,11208042.0,0.05174025369128142,5.370924290194864,6.927786463792678,4.786279342811284,3.3349858944311737,0.6872053233805486,0.40730390893008683,0.5926960910699132,,163188634.0,0.7867619568021429,3.8759997364006997,govt
COON MEMORIAL HOSPITAL (451331),General Short Term (Critical Access Hospitals),Governmental-Hospital District,,8412836.0,525.0,,2551.0,176.84,2.0,2010-08-01 00:00:00,13443617.0,,7746262.0,1038238.0,221182.0,21.0,0.699652,8227716.0,22252660.0,19162121.0,1453768.0,508302.0,,1491373.0,,281377.0,128145.0,5577508.0,2830431.0,7665.0,21.0,,887791.0,-1431524.0,772032.0,TX,,6157004.0,31805325.0,,1635567.0,,2231096.0,1437.0,2011-07-31,,2010,2010,5030781.0,1144327.7226840002,772032.0,-0.0747059263429137,-4947368.0,-0.25818478027562813,1.1038987304007453,1.2705979086000414,0.9897891674920054,0.1384188063916717,1.6722723569163516,0.6257866465550157,0.37421335344498435,-18.354011628432694,5030781.0,1.4253694522835634,2.473724875301145,govt
