Hospital,Hospital type,Control type,FTE Employees on Payroll,Number of Interns & Residents,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Liabilities,Net Revenue from Medicaid,HVBP payment adjustment amount,HAC reduction adjustment amount,BALANCE SHEET: Total Assets (G_C1THRU4_36),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,REIMBURSEMENT SETTLEMENT: Subtotal,Total Costs,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),IPPS Interim payment,Total Bad Debt expense,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Salaries,Cost To Charge Ratio,Total Charges,State,REIMBURSEMENT SETTLEMENT: Interim payments,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Medicaid charges,IPPS Payment amount (unadjusted),Total Inpatient Days,BED DAYS: Total Hospital,BALANCE SHEET: Inventory (G_C1THRU4_7),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Total cost of charity care,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Cost of Uncompensated Care,"ADJUSTED SALARIES, Subtotal Salaries",Fiscal Year Begin Date,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),Total discharges,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"Donations, Land Improvements",NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: ICU,Fiscal Year End Date,NUMBER OF BEDS: Total Hospital,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ALAMANCE REGIONAL MEDICAL CENTER (340070),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,299.78,30845171.0,35559583.0,,40435.0,,775578531.0,,2164882.0,69466268.0,5090.0,5056395.0,,12332113.0,25936230.0,,288488975.0,NC,2188553.0,4989396.0,,5804406.0,13755.0,16192.0,6752891.0,14704037.0,,,2136.0,2.0,,22189580.0,2024-10-01 00:00:00,80915533.0,2567.0,,,144.0,32.0,2024-12-31,176.0,481922769.0,,2024,2025,740018948.0,,5090.0,0.1524072392874184,10019007.0,0.12382056483518436,15.623929236767726,0.875286442730371,,0.00016501772676183251,0.04805226014293894,0.04584910692944388,0.9541508930705561,,740018948.0,0.104329258438434,5.502946775773212,non-profit
ALLIANCE HEALTHCARE SYSTEM (250174),General Short Term,Proprietary-Corporation,,12.72,12574803.0,20060681.0,,,,9774508.0,,198851.0,1204593.0,-731190.0,,,-666812.0,695020.0,,1694386.0,MS,194874.0,45374.0,,,,780.0,17076.0,12635108.0,,,,1.0,,368505.0,2024-10-15 00:00:00,989152.0,,,,10.0,,2024-12-31,10.0,8223079.0,,2024,2025,-10286173.0,,0.0,-0.6741249069910388,-712799.0,-0.7206162450260425,0.6539330278176128,0.9517680714361887,,0.0,-1.9502570100658427,2.052346880272644,-1.052346880272644,,-10286173.0,0.10119711396215543,0.07828599486446812,for-profit
BANDERA FAMILY HOSPITAL LLC (670336),General Short Term,Proprietary-Corporation,,,1780924.0,1780924.0,,,,5728034.0,,89701.0,3701761.0,666437.0,,,1496708.0,1337593.0,,68962961.0,TX,87907.0,43049.0,,,45.0,320.0,374810.0,2391502.0,,,,1.0,,1333640.0,2024-12-24 00:00:00,5789706.0,20.0,,,2.0,,2025-06-01,2.0,3564523.0,,2024,2025,3947110.0,,666437.0,0.2585119175308729,1496708.0,0.2585119175308729,2.0015020292836754,2.5574628675900826,,0.37420855690641486,0.4511969516937709,0.31091365728625214,0.6890863427137479,,3947110.0,1.010766695868076,2.420949679322869,for-profit
BAPTIST HOSPITAL (100093),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,2372.05,187228144.0,974263743.0,,76705.0,,1264477644.0,,58408335.0,593084745.0,442727264.0,75961559.0,,80898229.0,171079800.0,,4676981164.0,FL,57233193.0,41260328.0,,82399926.0,86246.0,106945.0,11745294.0,91743844.0,,,21538.0,2.0,,164609343.0,2024-10-01 00:00:00,654410532.0,19932.0,,,257.0,36.0,2025-09-30,293.0,567102073.0,7552843.0,2024,2025,290213901.0,,442727264.0,0.12361999852410688,-62601892.0,-0.0956614983085266,3.028936039658653,3.2845667102270695,2.9258631971483946,2.364640563867364,3.3570540199588854,0.770487123772352,0.22951287622764804,,290213901.0,0.5175342839038758,7.133018450807446,non-profit
BAYFRONT HEALTH PUNTA GORDA (100047),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,15.35,-239562254.0,-230370786.0,,,,-209692664.0,,646041.0,8623700.0,,38061.0,,4276807.0,927778.0,,12602781.0,FL,633119.0,2158100.0,,1.0,,4200.0,297.0,13983764.0,,,,2.0,,935974.0,2024-10-01 00:00:00,1778807.0,,,,23.0,5.0,2025-02-27,28.0,-251469285.0,238621.0,2024,2025,0.0,,0.0,2.404311991126637,-7415834.0,-4.16899303859272,,inf,-inf,,,,,,0.0,inf,0.12720516450363437,for-profit
BLADEN COUNTY HOSPITAL (341315),General Short Term (Critical Access Hospitals),Governmental-County,,181.67,331644931.0,332768074.0,,,,385450913.0,,-46916.0,9458643.0,5211741.0,,,6122857.0,5759429.0,,34541133.0,NC,231785.0,457495.0,,,1323.0,1932.0,545093.0,20367966.0,,,498.0,2.0,,,2024-10-01 00:00:00,14844542.0,179.0,,,21.0,,2024-12-31,21.0,14902297.0,765673.0,2024,2025,52682839.0,,5211741.0,0.4124652010146221,5125172.0,0.34525632383942867,0.044934493511073745,0.09559188468344176,0.040982176205792815,0.015714821825514348,6.316441564586145,0.8633215353157044,0.13667846468429562,,52682839.0,0.0385121464221308,0.7288180862045822,govt
CAPE CANAVERAL HOSPITAL INC (100177),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,140.31,40038565.0,374324554.0,,36512.0,,513088277.0,,3053726.0,49039664.0,412963197.0,6701203.0,,5014395.0,13988093.0,,234103411.0,FL,2992461.0,3213736.0,,6685886.0,6312.0,13800.0,,37062433.0,3325393.0,,2076.0,1.0,,12149673.0,2024-10-01 00:00:00,46489579.0,1680.0,23241770.0,,138.0,12.0,2024-12-31,150.0,478709907.0,5866307.0,2024,2025,138763723.0,,436204967.0,0.10786062399059368,1150966.0,0.024757505332539148,11.956220384022254,11.365043302625855,,10.314135808813328,2.6975678218146397,0.7295519519343842,0.2704480480656158,1.3125371948518567,138763723.0,0.09060736930460019,1.2543585306447638,non-profit
CAPE FEAR VALLEY HOKE HOSPITAL (340188),General Short Term (Acute Care Hospitals),Governmental-County,,336.49,664617397.0,743891890.0,,12007.0,,844685354.0,,575448.0,11650121.0,7082589.0,547357.0,,8878050.0,6409018.0,,66738578.0,NC,576458.0,652050.0,,712453.0,998.0,3772.0,539986.0,39885385.0,,,170.0,1.0,,4712316.0,2024-10-01 00:00:00,21271554.0,338.0,,,41.0,,2024-12-31,41.0,762585002.0,415913.0,2024,2025,100793464.0,,7082589.0,0.41736725017833676,7141268.0,0.33571914868090974,1.1474045149016765,0.08402732798160563,1.1459662452982704,0.010656640996714685,7.380358412922488,0.8806733613614899,0.11932663863851012,,100793464.0,0.02518281381258565,0.5333170032080673,govt
CAPE FEAR VALLEY MEDICAL CENTER (340028),General Short Term (Acute Care Hospitals),Governmental-County,248.44,5018.82,3746085670.0,4265477319.0,,-168324.0,232707.0,5081572370.0,,7852336.0,200240798.0,28409219.0,21392273.0,,-22425401.0,121605938.0,,776339796.0,NC,7702858.0,16011839.0,,23832398.0,49593.0,67064.0,17021501.0,561008029.0,,,7293.0,2.0,,70321840.0,2024-10-01 00:00:00,282231920.0,9235.0,137085563.0,,657.0,136.0,2024-12-31,793.0,3945166350.0,13907365.0,2024,2025,816095051.0,,165494782.0,-0.07945735195366987,-31376222.0,-0.11117176965667101,1.0531436538129146,0.1518578001447575,1.0448873380944328,0.0075837077692886825,5.226691809701956,0.8394010767576651,0.16059892324233493,,816095051.0,0.05554027364959086,0.5030800013737414,govt
CAPROCK HOSPITAL (670259),General Long Term (Acute Care Hospitals),Proprietary-Corporation,,,,,,,,,,,,,,,,,,,TX,,,,,,,,,,,,,,,2024-10-01 00:00:00,,,,,,,2024-12-12,,,,2024,2025,,,0.0,,,,,,,,,,,,,,,for-profit
