Hospital,Hospital type,Control type,FTE Employees on Payroll,Number of Interns & Residents,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Liabilities,Net Revenue from Medicaid,HVBP payment adjustment amount,HAC reduction adjustment amount,BALANCE SHEET: Total Assets (G_C1THRU4_36),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,REIMBURSEMENT SETTLEMENT: Subtotal,Total Costs,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),IPPS Interim payment,Total Bad Debt expense,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Salaries,Cost To Charge Ratio,Total Charges,State,REIMBURSEMENT SETTLEMENT: Interim payments,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Medicaid charges,IPPS Payment amount (unadjusted),Total Inpatient Days,BED DAYS: Total Hospital,BALANCE SHEET: Inventory (G_C1THRU4_7),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Total cost of charity care,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Cost of Uncompensated Care,"ADJUSTED SALARIES, Subtotal Salaries",Fiscal Year Begin Date,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),Total discharges,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"Donations, Land Improvements",NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: ICU,Fiscal Year End Date,NUMBER OF BEDS: Total Hospital,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
10220 STOCKTON REGIONAL REHABILITATI (053047),Rehabilitation,Proprietary-Corporation,,116.74,133456668.0,174406875.0,,,,155377028.0,,,37472072.0,88649.0,,,-2602038.0,16148742.0,,55603314.0,CA,,1988259.0,,,14196.0,18250.0,138566.0,7138598.0,,,8053.0,1.0,,,2024-05-01 00:00:00,31549468.0,940.0,,,50.0,,2025-04-30,50.0,7152336.0,312578.0,2024,2024,-19029847.0,,88649.0,-0.08247486138276564,-2615928.0,-0.08291512237226947,0.05359294598903069,0.03465700941971667,0.05021249294190381,0.0006642530592776376,-9.1649120983474,1.1224752928084067,-0.12247529280840666,,-19029847.0,0.2030510456153145,4.4195608157232,for-profit
4C HEALTH (154035),Psychiatric,Voluntary Nonprofit-Other,,467.0,3284857.0,3284857.0,,,,68515422.0,,385.0,6951077.0,3131755.0,,,8505077.0,25396019.0,,8400679.0,IN,377.0,991823.0,,,2124.0,5840.0,,2925200.0,,,340.0,2.0,,,2024-07-01 00:00:00,39161783.0,466.0,,,16.0,,2025-06-30,16.0,7038182.0,322358.0,2024,2024,65230565.0,,3131755.0,0.2171779819115999,1089978.0,0.02783269597301022,2.1426144273555896,4.433079430854981,,0.9533915783852995,0.050357635258869826,0.04794332289159658,0.9520566771084035,,65230565.0,0.5715761774042638,13.387728360453986,non-profit
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,145.83,8225409.0,22809315.0,,,,30254986.0,,3363801.0,55009412.0,2716662.0,,,-2255571.0,21056299.0,,100584700.0,SC,2709448.0,947061.0,,,3094.0,9150.0,777940.0,16903252.0,255867.0,,1212.0,2.0,,,2023-10-01 00:00:00,44773471.0,355.0,1278.0,,19.0,6.0,2024-09-30,25.0,12255949.0,450299.0,2023,2024,7445671.0,,2717940.0,-0.05037739870558617,-11532410.0,-0.25757239147262,1.4900108918596024,2.192117376777252,1.340688347533843,0.3302768287874804,3.0634331009253564,0.753902679049331,0.24609732095066908,-41.37051280548097,7445671.0,1.4798708219531154,2.6488081110072783,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,418.3,8472157.0,13185753.0,,-8195.0,9450.0,81456052.0,,2309705.0,63816458.0,18494458.0,3831861.0,,2766462.0,36055290.0,,205680905.0,LA,2263506.0,4125288.0,,3625263.0,6556.0,16104.0,1697497.0,29166708.0,310003.0,,1670.0,2.0,,26634321.0,2024-01-01 00:00:00,72683009.0,1591.0,5353933.0,,38.0,6.0,2024-12-31,44.0,41784609.0,960562.0,2024,2024,68270299.0,,23848391.0,0.03806201804330913,-3696331.0,-0.0508555032442314,4.93199181743209,5.952160116957228,4.618251290668953,2.1829692249565253,0.19314040209491393,0.16187567008526266,0.8381243299147373,1.3837188672367686,68270299.0,0.8922972230473434,2.4919853485007635,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,48.56,5003.65,280599878.0,364227705.0,,962459.0,,1153388299.0,,44906664.0,1234807258.0,7857.0,150260818.0,,-45124371.0,649086850.0,,4279260094.0,MN,44440846.0,35801082.0,,158081566.0,178066.0,221400.0,42310570.0,660462624.0,,,39943.0,1.0,,389864232.0,2024-01-01 00:00:00,1415119286.0,33298.0,,,531.0,74.0,2024-12-31,605.0,258222777.0,2249737.0,2024,2024,789160594.0,,7857.0,-0.0318873267055453,-313902106.0,-0.22182024448785584,0.9202526346073465,2.1929664203203965,0.7614489055479917,2.8000724932603143e-05,0.46153813022245255,0.315789318580559,0.6842106814194411,,789160594.0,1.226923567047562,2.142618271764611,non-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,176.86,3279.12,176871451.0,576738630.0,,-193154.0,,688747354.0,,31764468.0,739720319.0,26581746.0,137323753.0,,-95204234.0,370598730.0,,2945577902.0,PA,29015918.0,44519576.0,,149324612.0,173775.0,223015.0,,120909155.0,,,51895.0,1.0,,312807883.0,2024-07-01 00:00:00,778269676.0,35357.0,19725963.0,,522.0,33.0,2025-06-30,611.0,183712370.0,,2024,2024,112008724.0,,46307709.0,-0.12232807847443358,-137897804.0,-0.1771851175144591,1.0386773499132995,0.2956195966300972,,0.15028850529416418,5.149050979279078,0.8373732786783236,0.16262672132167638,,112008724.0,1.1299784623201616,6.436813457177829,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,229.95,-6445863.0,-6445863.0,,,,203603301.0,,773445.0,41569855.0,268665.0,,,38989301.0,19381821.0,,180071008.0,IL,860231.0,3303288.0,,,6134.0,9150.0,549206.0,11816001.0,,,3189.0,2.0,,,2023-10-01 00:00:00,64880893.0,403.0,,,25.0,,2024-09-30,25.0,10062223.0,447143.0,2023,2024,203603301.0,,268665.0,0.6009365654076309,14337589.0,0.2209832253696015,inf,inf,inf,inf,0.0,0.0,1.0,,203603301.0,0.3186632666628524,5.49093496183692,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,63.01,1205.9,59526613.0,71036836.0,,45793.0,,309812127.0,,28831216.0,345594426.0,316390.0,69050238.0,,72145603.0,120796629.0,,4822950321.0,AZ,28356083.0,11714619.0,,76720426.0,64753.0,102930.0,14434909.0,238460440.0,149222.0,,11670.0,2.0,,116734469.0,2024-04-01 00:00:00,481301935.0,16176.0,,,244.0,38.0,2025-03-31,282.0,147870643.0,-8067392.0,2024,2024,238775291.0,,316390.0,0.14989676490704323,68728136.0,0.1427963010371026,2.4841098048027694,5.223250867641336,2.2416147547316356,0.005315101667215637,0.29750497089751216,0.22929004325256772,0.7707099567474323,539.0810671348729,238775291.0,1.5535283904493513,2.018372250759916,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,17.54,438.7,5978346.0,11814359.0,,-41292.0,,130832828.0,,1621463.0,90210137.0,1200.0,11312734.0,,7975208.0,41074333.0,,1230281542.0,AZ,1660390.0,5949382.0,,12536017.0,23616.0,56210.0,2903973.0,73230935.0,15661.0,,3594.0,2.0,,39766151.0,2024-04-01 00:00:00,110188063.0,5412.0,,,126.0,28.0,2025-03-31,154.0,31029610.0,-2832657.0,2024,2024,119018469.0,,1200.0,0.07237814862032742,5141214.0,0.0466585386839952,5.190333580558904,13.583580307998233,4.704585013982128,0.0002007244144116115,0.0992649216484208,0.09030118190214462,0.9096988180978554,708.1665283187535,119018469.0,0.842205008363803,1.504665521476682,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,375.9,9222236.0,22454493.0,,-80927.0,127777.0,76640179.0,,10471385.0,109086544.0,263502.0,12108847.0,,12767654.0,40173921.0,,1362046508.0,AZ,10324029.0,5008739.0,,13751931.0,18031.0,46848.0,2013514.0,65040418.0,33973.0,,3738.0,1.0,,40171552.0,2023-10-01 00:00:00,129289443.0,4675.0,,,114.0,14.0,2024-09-30,128.0,28414333.0,345011.0,2023,2024,54185686.0,,263502.0,0.09875248669761846,12342132.0,0.09546125123301831,3.0810676499712217,8.46557971407368,2.825324357346743,0.028572463337524653,0.4143989798338993,0.2929859153904116,0.7070140846095884,510.725311276602,54185686.0,1.6869668715152661,1.9878322891467273,for-profit
