Hospital,Hospital type,Control type,FTE Employees on Payroll,Number of Interns & Residents,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Liabilities,Net Revenue from Medicaid,HVBP payment adjustment amount,HAC reduction adjustment amount,BALANCE SHEET: Total Assets (G_C1THRU4_36),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,REIMBURSEMENT SETTLEMENT: Subtotal,Total Costs,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),IPPS Interim payment,Total Bad Debt expense,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Salaries,Cost To Charge Ratio,Total Charges,State,REIMBURSEMENT SETTLEMENT: Interim payments,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Medicaid charges,IPPS Payment amount (unadjusted),Total Inpatient Days,BED DAYS: Total Hospital,BALANCE SHEET: Inventory (G_C1THRU4_7),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Total cost of charity care,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Cost of Uncompensated Care,"ADJUSTED SALARIES, Subtotal Salaries",Fiscal Year Begin Date,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),Total discharges,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"Donations, Land Improvements",NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: ICU,Fiscal Year End Date,NUMBER OF BEDS: Total Hospital,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,169.73,14184937.0,29265507.0,234347.0,,,44498663.0,,2791394.0,44933387.0,14187059.0,,8475831.0,-2733921.0,22446262.0,0.509045,88269904.0,SC,2613331.0,1274261.0,899158.0,,2548.0,9150.0,822198.0,21816071.0,301072.0,,855.0,2.0,4298909.0,,2019-10-01 00:00:00,38881451.0,441.0,,,19.0,6.0,2020-09-30,25.0,22430339.0,448977.0,2019,2020,15233156.0,457711.88411,14187059.0,-0.07031427402233523,-13777455.0,-0.35434518634605483,1.5812787184038957,2.3453899724757323,1.4916642914945621,1.000149595306627,1.9211716206411855,0.6576716024029756,0.34232839759702444,-41.52891667109529,15233156.0,0.8737667241822524,1.7822389283569897,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,363.7,19606590.0,24659926.0,15502628.0,21925.0,60081.0,65644904.0,,2923749.0,49380577.0,19809050.0,5611530.0,5772739.0,3819378.0,27709143.0,0.35064,140829869.0,LA,2902464.0,3000192.0,48297271.0,5014483.0,5802.0,16104.0,1070662.0,21597205.0,185914.0,89731.0,2339.0,2.0,2113847.0,20076631.0,2020-01-01 00:00:00,53698040.0,1464.0,1072676.0,,38.0,6.0,2020-12-31,44.0,37498499.0,464208.0,2020,2020,40984978.0,16934955.10344,20881726.0,0.07112695360947997,-2553782.0,-0.047558197654886475,1.9125456797943956,2.30665470130196,1.8342623067040214,1.0103261199423255,0.6016820601928834,0.37565636473472486,0.6243436352652751,2.401163979044074,40984978.0,0.8180077466485441,2.4863420984335702,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,44.9,5314.27,-380865625.0,-295045786.0,16182706.0,487346.0,,773833689.0,,40937339.0,904422816.0,2569847.0,144154017.0,19233120.0,-19771898.0,583137255.0,0.29876,3027256653.0,MN,41025923.0,9293807.0,87235787.0,153039732.0,147043.0,213378.0,31387642.0,493752998.0,,8263948.0,40005.0,1.0,14056063.0,344710909.0,2020-01-01 00:00:00,1163776956.0,29300.0,,,509.0,74.0,2020-12-31,583.0,210277983.0,746219.0,2020,2020,773833689.0,26062563.724120002,2569847.0,-0.016989422155219234,-289462126.0,-0.24872646301135387,inf,inf,inf,inf,0.0,0.0,1.0,,773833689.0,1.5039109469425025,2.3570023082675036,non-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,160.31,4218.55,194220168.0,815129917.0,45020401.0,196206.0,,1009319677.0,,28886592.0,673514178.0,305745594.0,137250370.0,19545019.0,6815040.0,360868417.0,0.252231,2670227199.0,PA,27235431.0,42608859.0,272992193.0,144853375.0,153831.0,214620.0,9840074.0,65650775.0,9330206.0,9096361.0,49061.0,1.0,14125795.0,295547005.0,2020-07-01 00:00:00,789045199.0,30310.0,63206450.0,,499.0,33.0,2021-06-30,588.0,458024475.0,,2020,2020,194189760.0,68857093.832583,368952044.0,0.008637071752843908,-47715650.0,-0.060472644736287155,2.3582745279058765,1.9473333428483082,,1.5742216534381743,4.197594749589268,0.8076033149604395,0.19239668503956056,-0.547339576425215,194189760.0,0.7817594534025913,12.01882535278525,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,272.2,6044725.0,6044725.0,4612420.0,,,159999888.0,,2538269.0,36449068.0,17364874.0,,4132665.0,20879091.0,17472382.0,0.289401,125946432.0,IL,2278148.0,3945554.0,25786058.0,,4764.0,9150.0,665687.0,9816600.0,,366457.0,2916.0,2.0,1608698.0,,2019-10-01 00:00:00,50893537.0,763.0,1968773.0,,25.0,,2020-09-30,25.0,25703793.0,311954.0,2019,2020,153955163.0,7462510.9712580005,19333647.0,0.41025034278910505,8032673.0,0.15783286981999306,4.252268382763484,7.978987133409708,4.090533812539032,2.872731844707576,0.03926289240458925,0.037779557695690386,0.9622204423043096,,153955163.0,0.3180848289093802,5.18443626102724,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,25.62,1143.0,63842867.0,82910217.0,43787799.0,17769.0,,224915565.0,,21150089.0,273964747.0,491529.0,56439974.0,13962652.0,48120762.0,101392454.0,0.092144,2973225456.0,AZ,20906532.0,8597578.0,550313191.0,63675075.0,66149.0,98550.0,8938056.0,167605962.0,149645.0,3072570.0,15019.0,2.0,4515506.0,99572248.0,2020-04-01 00:00:00,352923029.0,15196.0,,,232.0,38.0,2021-03-31,270.0,75973946.0,417680.0,2020,2020,142005348.0,50708058.671504,491529.0,0.13634916977888684,29756523.0,0.08431448376807398,1.190014633897942,3.3867253016691747,1.0434714656533204,0.007699043340268537,0.5838527785587343,0.3686281872043849,0.631371812795615,256.30058471716393,142005348.0,1.5691356398566725,2.1056710918195143,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,18.25,583.27,25313079.0,31366363.0,31845546.0,-24211.0,,157925066.0,,2840800.0,102416193.0,234569.0,16954098.0,11547473.0,9702558.0,55793897.0,0.083593,1225171069.0,AZ,2995102.0,4524625.0,473622626.0,18101464.0,34457.0,58765.0,4463567.0,83479043.0,112762.0,3576615.0,5548.0,2.0,4708565.0,53625970.0,2020-04-01 00:00:00,128785237.0,6441.0,,,133.0,28.0,2021-03-31,161.0,30988288.0,448259.0,2020,2020,126558703.0,39591536.175218,234569.0,0.07533905458433873,-10676998.0,-0.08290544979157821,1.2242006592718333,3.69043094283394,1.0301576509124,0.009266711489345093,0.24784042706253082,0.1986154813448044,0.8013845186551957,-54.56069420549476,126558703.0,0.8154831925161266,1.5427253640174097,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,378.5,19693995.0,28017350.0,13648936.0,16414.0,158324.0,59120950.0,,10705231.0,97947869.0,900.0,14612218.0,7395143.0,5499374.0,32628626.0,0.10399,941893406.0,AZ,10685827.0,9204754.0,201704338.0,15832689.0,18021.0,43920.0,2609083.0,49772746.0,260815.0,2600261.0,4330.0,1.0,3437066.0,32498834.0,2019-10-01 00:00:00,106822768.0,4742.0,,,106.0,14.0,2020-09-30,120.0,21908189.0,222206.0,2019,2020,31103600.0,20975234.10862,900.0,0.05148129095475227,3033475.0,0.028397270140013597,1.1124299056641378,2.806592567937587,0.968665829355598,4.569920932751329e-05,0.9007751514294166,0.47389884634803736,0.5261011536519626,46.923025899584,31103600.0,1.8068513445741314,2.1462100564031568,for-profit
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,20.55,850.6,34946129.0,41593590.0,39835489.0,44747.0,,164702832.0,,6315762.0,163541083.0,280616.0,30071842.0,22130762.0,49762340.0,74759703.0,0.073704,2218892901.0,AZ,6199569.0,7874779.0,607911343.0,36215603.0,58734.0,69715.0,4847433.0,170353233.0,48609.0,6772626.0,11404.0,1.0,8597824.0,73325579.0,2020-05-01 00:00:00,256817153.0,11803.0,,,171.0,20.0,2021-04-30,191.0,62490440.0,-1170530.0,2020,2020,123109242.0,44805497.624472,280616.0,0.19376563994539725,41698551.0,0.16236668973586824,1.7881934791690375,6.306741127178921,1.6494818925438064,0.008029959484210683,0.33785919988037943,0.252537187703002,0.7474628122969981,1019.8385072723158,123109242.0,1.5592758781464062,1.5075566719652453,for-profit
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,106.6,4939676.0,10303803.0,5571581.0,,,22259674.0,,1806027.0,18059982.0,718.0,,1048280.0,4234237.0,6285351.0,0.592243,30494195.0,LA,1368070.0,62612.0,7564844.0,,2177.0,9150.0,439078.0,2002333.0,210.0,11446.0,1341.0,2.0,612050.0,,2019-10-01 00:00:00,16886373.0,218.0,,,25.0,,2020-09-30,25.0,15141966.0,7193.0,2019,2020,11955871.0,4480225.905092,718.0,0.2507487546319153,-1479869.0,-0.0876368773803587,3.0653763526190785,1.2626917231008674,2.9750321681017136,0.00014535366287181587,0.8618195194645375,0.46289101089261236,0.5371089891073877,-6748.842857142857,11955871.0,0.7586082797079597,8.433348998393374,govt
