Hospital,Hospital type,Control type,REIMBURSEMENT SETTLEMENT: Subtotal,IPPS Interim payment,Urban (1) and Rural (2) Indicator,NUMBER OF BEDS: Adults & Pediatrics,Total Costs,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total cost of charity care,Number of Interns & Residents,Cost of Uncompensated Care,Cost To Charge Ratio,NUMBER OF BEDS: Total Hospital,HAC reduction adjustment amount,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,State,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total discharges,REIMBURSEMENT SETTLEMENT: Interim payments,FTE Employees on Payroll,Total Salaries,IPPS Payment amount (unadjusted),Fiscal Year End Date,Net Revenue from Medicaid,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),BALANCE SHEET: Total Assets (G_C1THRU4_36),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Total Bad Debt expense,Total Inpatient Days,HVBP payment adjustment amount,Total Liabilities,"Donations, Land Improvements",BED DAYS: Total Hospital,Total Days Title XVIII,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
10220 STOCKTON REGIONAL REHABILITATI (053047),Rehabilitation,Proprietary-Corporation,,,1.0,50.0,23938080.0,,,5933429.0,,90.91,,,50.0,,160523.0,,,CA,,5966658.0,-8490276.0,334.0,,,9400566.0,,2024-04-30,,2023-07-14 00:00:00,,12810530.0,119066007.0,1670892.0,91952126.0,102068.0,25475505.0,47505.0,,6590.0,,135493812.0,,15250.0,4178.0,2023,2023,-16427805.0,,47505.0,-0.6627575908256723,-8524801.0,-0.6654526393521579,0.06488874438857455,-0.027289657228806215,0.06203300835045402,0.0005166275328968467,-8.247834205482716,1.1379722509716816,-0.13797225097168161,,-16427805.0,0.10759183349450864,2.1590432783471414,for-profit
4C HEALTH (154035),Psychiatric,Voluntary Nonprofit-Other,11339.0,,2.0,16.0,7470295.0,,,1616985.0,,333.52,,,16.0,,329206.0,,,IN,,5977422.0,5326234.0,313.0,11112.0,,20224202.0,,2024-06-30,,2023-07-01 00:00:00,,25679845.0,61060373.0,605836.0,4334885.0,,8792803.0,1882342.0,,1563.0,,4334885.0,,5856.0,158.0,2023,2023,56725488.0,,1882342.0,0.20740911792886602,-4684346.0,-0.18241332842935773,1.3789113206002004,2.0359389003399166,,0.4342311272386695,0.0764186462353572,0.0709934248190721,0.9290065751809279,,56725488.0,0.42056482360499176,15.881313061036435,non-profit
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,1890706.0,,2.0,19.0,45553078.0,,,12065110.0,,150.91,,,25.0,,328658.0,284238.0,,SC,,7312405.0,-4166743.0,492.0,1555486.0,,20324473.0,,2023-09-30,,2022-10-01 00:00:00,6.0,41364324.0,24735216.0,679209.0,4060290.0,726846.0,90800360.0,2652880.0,,3330.0,,15033974.0,,9125.0,1140.0,2022,2023,9701242.0,,2652880.0,-0.10073277155454058,-11389896.0,-0.27535554551792024,1.8009563356311988,2.7981427434986172,1.5409985493647005,0.6533720497796955,1.549695801836507,0.6077963499489958,0.3922036500510042,-37.68210795178688,9701242.0,1.6722847295936287,3.428424937692238,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,2804458.0,3493929.0,2.0,38.0,60887578.0,2559125.0,24193622.0,24550643.0,,387.9,,,44.0,,965301.0,166242.0,,LA,,36198833.0,6583907.0,1454.0,2748374.0,,33451086.0,3344624.0,2023-12-31,,2023-01-01 00:00:00,6.0,72096452.0,75950615.0,4098565.0,7381774.0,1479115.0,189969205.0,17041431.0,,5936.0,-2408.0,10311082.0,,16060.0,1625.0,2023,2023,65639533.0,,19600556.0,0.09132081839478037,542633.0,0.007526486878993713,4.903812145969248,6.527621409162621,4.572670065488323,2.3085820562916175,0.15708646190398703,0.1357603490109988,0.8642396509890012,27.91832388926986,65639533.0,0.949254354293247,2.936642107499995,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,45483561.0,138299078.0,1.0,535.0,1213868928.0,,375028521.0,599641983.0,,5264.69,,,609.0,,3323185.0,,,MN,,252789808.0,-136213853.0,31277.0,44979915.0,50.98,626049931.0,151521528.0,2023-12-31,,2023-01-01 00:00:00,74.0,1325685865.0,1004550608.0,31091902.0,88013395.0,38193720.0,3865418394.0,7857.0,,174940.0,262761.0,174168438.0,,222285.0,39938.0,2023,2023,830382170.0,,7857.0,-0.10274972117923276,-381015328.0,-0.2874099649542541,2.872174263928803,5.265516538704137,2.4004630545157357,8.927050251839506e-05,0.2097449154044336,0.17337945606021674,0.8266205439397832,,830382170.0,1.3196805162851486,2.2107956123545804,non-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,33175763.0,142105913.0,1.0,522.0,689880158.0,37927200.0,268929112.0,108002717.0,,3310.1,,,611.0,,2226100.0,63532.0,,PA,,178629678.0,-16043431.0,35432.0,30208558.0,167.9,357252235.0,154831013.0,2024-06-30,,2023-07-01 00:00:00,33.0,780713818.0,711040874.0,42733244.0,91980341.0,11171219.0,2749450123.0,1306245.0,,170989.0,205731.0,486784569.0,,223626.0,51886.0,2023,2023,224256305.0,,39233445.0,-0.02054969520214128,-44562973.0,-0.057079780032790454,1.9420419195880128,1.0139724422200174,1.7963877629025098,0.014201349829742423,2.170661685520949,0.6846084195716715,0.3153915804283285,-28.800116476736132,224256305.0,1.0979872557931178,7.228649794060273,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,1554119.0,,2.0,25.0,44446108.0,,,11585017.0,,253.48,,,25.0,,392876.0,,,IL,,10356516.0,26346866.0,536.0,2068709.0,,20731028.0,,2023-09-30,,2022-10-01 00:00:00,,64383318.0,193719917.0,3373199.0,5877272.0,523740.0,172357379.0,656913.0,,5553.0,,5877272.0,,9125.0,2940.0,2022,2023,187842645.0,,656913.0,0.4092188290140623,11179596.0,0.1736411907196209,1.7621297772163684,6.798668157607815,1.6061703456978,0.1117717539702093,0.03128827322464502,0.030339017747978904,0.9696609822520211,,187842645.0,0.3323525995522701,5.5574642661292595,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,27431226.0,65688274.0,2.0,240.0,329021707.0,,112257587.0,558635000.0,,1170.4,,,278.0,,1245068.0,121908.0,,AZ,,114640261.0,66609778.0,15201.0,26834556.0,55.63,116596211.0,74107868.0,2024-03-31,,2023-04-01 00:00:00,38.0,438035011.0,270371631.0,10148247.0,34563121.0,12087885.0,4327567867.0,334854.0,,63098.0,99311.0,47356979.0,,101891.0,12218.0,2023,2023,223014652.0,,334854.0,0.15206496359260196,63891244.0,0.1458587610477556,3.316837649007449,18.099627982091086,2.931081021300131,0.009688187591624032,0.2123491823308542,0.1751551330472242,0.8248448669527758,607.3390671654034,223014652.0,1.6201219387547356,0.7841166611472608,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,1629708.0,10416309.0,2.0,126.0,90413632.0,,39659593.0,162921679.0,,439.2,,,154.0,,295433.0,-33759.0,,AZ,,32093344.0,-3029967.0,5084.0,1646540.0,16.16,41417053.0,11216496.0,2024-03-31,,2023-04-01 00:00:00,28.0,98949959.0,133795632.0,4604582.0,7770457.0,3377159.0,1111366608.0,1200.0,,24601.0,-34178.0,13242919.0,,56371.0,3103.0,2023,2023,120552713.0,,1200.0,-0.03062120520939276,-5794097.0,-0.058555830225255574,4.130174583039325,20.577028095001364,3.657539318472517,0.0001544310714286174,0.10985168786703291,0.09897870955906841,0.9010212904409316,-inf,120552713.0,0.7395604588945026,0.6073467914604538,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,9922791.0,13363078.0,1.0,114.0,112235067.0,,39247430.0,73073794.0,,363.9,,,128.0,,384208.0,78539.0,,AZ,,25450573.0,7160911.0,4701.0,9788030.0,,39193818.0,15162575.0,2023-09-30,,2022-10-01 00:00:00,14.0,125264552.0,77971525.0,4708705.0,9742175.0,1994318.0,1265552366.0,333042.0,,18510.0,,24205912.0,,46720.0,3975.0,2022,2023,53765613.0,,333042.0,0.05716630032732644,6703748.0,0.05351672035676941,2.6124118074249334,8.26999586847906,2.3682644789279603,0.03418558997349155,0.45021177383395594,0.31044553764980226,0.6895544623501977,145.30937496021085,53765613.0,1.606542285789588,1.7142199021443993,for-profit
