Hospital,Hospital type,Control type,REIMBURSEMENT SETTLEMENT: Subtotal,IPPS Interim payment,Urban (1) and Rural (2) Indicator,NUMBER OF BEDS: Adults & Pediatrics,Total Costs,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total cost of charity care,Number of Interns & Residents,Cost of Uncompensated Care,Cost To Charge Ratio,NUMBER OF BEDS: Total Hospital,HAC reduction adjustment amount,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,State,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total discharges,REIMBURSEMENT SETTLEMENT: Interim payments,FTE Employees on Payroll,Total Salaries,IPPS Payment amount (unadjusted),Fiscal Year End Date,Net Revenue from Medicaid,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),BALANCE SHEET: Total Assets (G_C1THRU4_36),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Total Bad Debt expense,Total Inpatient Days,HVBP payment adjustment amount,Total Liabilities,"Donations, Land Improvements",BED DAYS: Total Hospital,Total Days Title XVIII,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
SOUTH FLORIDA STATE HOSPITAL (104001),Psychiatric,Governmental-State,,,1.0,50.0,29980653.0,,8674753.0,2919105.0,,62.61,,1.005553,50.0,,,,,FL,,3313230.0,-29965929.0,76.0,,,18958795.0,,2016-06-30,,2015-07-01 00:00:00,,2115823.0,4296407.0,550782.0,175651.0,366482.0,29815085.0,27643.0,,17597.0,,819329.0,,18300.0,,2015,2015,3477078.0,,27643.0,-14.162776848536007,-29965929.0,-14.162776848536007,18.862574081559455,-153.8230980751604,,0.15737456661220262,0.23563722182821323,0.19070097409300377,0.8092990259069962,,3477078.0,0.49246335368134353,0.7248190798206985,govt
SOUTH GEORGIA MEDICAL CENTER (110122),General Short Term (Acute Care Hospitals),Governmental-City-County,23538384.0,44604889.0,1.0,246.0,280742358.0,18021809.0,107557043.0,105449257.0,19908078.0,2414.89,44859956.0,0.306017,297.0,,,9666947.0,,GA,113114440.0,106966037.0,-2020392.0,13508.0,24120370.0,,112349855.0,49652185.0,2015-09-30,30389180.0,2014-10-01 00:00:00,51.0,310390465.0,560735919.0,30699937.0,65030298.0,6648506.0,917408077.0,26678836.0,81068848.0,65673.0,-77074.0,284070525.0,,108405.0,24493.0,2014,2015,276665394.0,34614941.58548,44700645.0,-0.006509194797591479,-14353136.0,-0.046242193683365886,1.6448646290995006,2.000724354669265,,0.4102524026569892,1.0267656568569612,0.5066030467721829,0.493396953227817,1.6909993403294752,276665394.0,0.5535412562004968,2.943505472020538,govt
SOUTH GRAND REHAB HOSPITAL (193058),Rehabilitation,Proprietary-Other,1046117.0,,1.0,12.0,2909060.0,,,3105171.0,,31.49,,,12.0,,-52000.0,,,LA,,299361.0,-24477.0,156.0,1025180.0,,1217358.0,,2016-05-31,,2015-06-01 00:00:00,,3080111.0,696926.0,49529.0,1225431.0,-2106.0,9413803.0,45915.0,,1719.0,,3169500.0,,4392.0,1442.0,2015,2015,-2472574.0,,45915.0,-0.00794679152796766,-39760.0,-0.012908625695632397,0.24429037620233207,2.551436188573653,0.24429037620233207,0.03746844987600281,-1.281862544862156,4.547828607341382,-3.547828607341382,,-2472574.0,4.419566783273978,0.9919295909951497,for-profit
SOUTH HAVEN COMMUNITY HOSPITAL (230085),General Short Term (Acute Care Hospitals),Governmental-Other,2565114.0,2512856.0,1.0,29.0,29583414.0,,11197065.0,4177303.0,22460.0,242.6,1131840.0,0.414671,29.0,,,104606.0,,MI,16410730.0,8029122.0,-1112831.0,658.0,2511800.0,,19029850.0,2264235.0,2016-06-30,2320285.0,2015-07-01 00:00:00,,39043792.0,31071164.0,2381738.0,6137056.0,,71341963.0,1669129.0,2711111.0,1658.0,26380.0,8583727.0,,10614.0,725.0,2015,2015,22487437.0,6805053.81983,1669129.0,-0.028502123974023835,-4192985.0,-0.10739184861962178,1.3083018958927537,0.7713146173018464,,0.27197552051015994,0.38171210885437945,0.2762602327997754,0.7237397672002246,-17.314943693478387,22487437.0,1.2565925113072687,9.346650697830635,govt
SOUTH LAKE HOSPITAL (100051),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,9984027.0,21801558.0,1.0,124.0,130737372.0,3389759.0,54412203.0,36739047.0,12754501.0,1054.29,15341937.0,0.151977,140.0,252048.0,,,,FL,93971044.0,103339650.0,16833158.0,9492.0,10044869.0,,60799797.0,25374425.0,2015-09-30,7346528.0,2014-10-01 00:00:00,16.0,161834214.0,297884284.0,12128753.0,28242146.0,2731862.0,860242523.0,40184629.0,16832198.0,38147.0,-139471.0,110709842.0,,51100.0,14520.0,2014,2015,187174442.0,14281437.353988,43574388.0,0.10401482840952285,7131449.0,0.04406638635758443,3.659057990848146,3.320961445351922,,1.4228603237161934,0.5914794820117588,0.3716538533466237,0.6283461466533763,,187174442.0,0.5432787921097576,4.404964940979553,non-profit
SOUTH LINCOLN HOSPITAL DISTRICT (531315),General Short Term (Critical Access Hospitals),Governmental-Hospital District,1182581.0,,2.0,14.0,9972960.0,,,1630125.0,212755.0,90.94,943508.0,0.956202,14.0,,160699.0,39295.0,,WY,858038.0,5000796.0,-498862.0,106.0,1181066.0,,7480510.0,,2016-06-30,393099.0,2015-07-01 00:00:00,,11890972.0,12883522.0,689347.0,1231888.0,391262.0,10429761.0,2434994.0,765134.0,656.0,,1242041.0,,5124.0,254.0,2015,2015,11641481.0,820457.651676,2434994.0,-0.04195300434649077,-1866370.0,-0.15695689132898472,4.059456703856195,3.516059089787383,3.6113956788279453,1.9766358630005325,0.10669097857910002,0.09640539287316,0.90359460712684,-29.95350553505535,11641481.0,0.9229597310424897,7.294515451269074,govt
SOUTH LYON MEDICAL CENTER (290002),General Short Term (Acute Care Hospitals),Governmental-City-County,481437.0,326105.0,2.0,14.0,10563490.0,,4296645.0,4931455.0,76159.0,90.19,614079.0,0.585768,14.0,2330.0,127485.0,,,NV,2780442.0,3671422.0,-591238.0,77.0,481050.0,,6412810.0,289285.0,2016-03-31,734129.0,2015-04-01 00:00:00,,9834102.0,3731282.0,517754.0,1008017.0,130271.0,18033571.0,1554779.0,922383.0,272.0,,1008017.0,,5124.0,150.0,2015,2015,2723265.0,1628693.9494559998,1554779.0,-0.06012119866155547,-2417598.0,-0.24583820668119977,3.6422223037905113,5.848111688592554,3.386516298832262,1.5424134712013786,0.3701501690066887,0.2701529929927569,0.729847007007243,,2723265.0,2.635582622808997,1.9941583163589651,govt
SOUTH MIAMI HOSPITAL (100154),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,16480238.0,36954097.0,1.0,287.0,448257002.0,335045.0,151811376.0,95267483.0,19270460.0,2395.26,32255091.0,0.248527,364.0,,,,,FL,253194815.0,80812671.0,40622088.0,15129.0,16305126.0,5.24,154696783.0,39659468.0,2015-09-30,38679382.0,2014-10-01 00:00:00,28.0,495383163.0,330745351.0,32658234.0,76277134.0,,1803652484.0,12745.0,52113509.0,88144.0,177693.0,244196185.0,,132860.0,16180.0,2014,2015,86549166.0,62925747.787505,347790.0,0.08200134973097582,34324782.0,0.0692893593559618,1.0594612928167961,1.7818205125536049,,0.00016708808173102047,2.8214735772266137,0.7383208388619195,0.26167916113808054,,86549166.0,1.4977781592461445,5.199918664797726,non-profit
SOUTH MISSISSIPPI STATE HOSPITAL (254008),Psychiatric,Governmental-State,,,1.0,50.0,7726033.0,,,,,94.46,,,50.0,,,,,MS,,-4609415.0,-1362881.0,698.0,,,3964844.0,,2016-06-30,,2015-07-01 00:00:00,,7203632.0,6621738.0,248594.0,222191.0,,9655921.0,-4609415.0,,16830.0,,222191.0,,18300.0,4126.0,2015,2015,6399547.0,,0.0,-0.18919359012231607,-9805844.0,-1.3612361097846197,0.0,-6.133826302595515,,0.0,0.034719801260933,0.03355478576772442,0.9664452142322756,,6399547.0,1.0878763249165098,inf,govt
SOUTH NASSAU COMMUNITIES HOSPITAL (330198),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,22403234.0,92909036.0,1.0,323.0,365264782.0,129346637.0,168642448.0,91688773.0,3872241.0,2732.0,7841052.0,0.224691,351.0,,,3539033.0,,NY,243114527.0,215816348.0,3012792.0,19298.0,22157834.0,56.97,225040945.0,104800438.0,2015-12-31,53571539.0,2015-01-01 00:00:00,10.0,430672155.0,542235927.0,17412277.0,116840397.0,,1625633444.0,3170788.0,16853097.0,102830.0,-256402.0,296547856.0,,120755.0,47549.0,2015,2015,245688071.0,54625646.186157,132517425.0,0.006995557908776341,-41992009.0,-0.09750342229578321,1.8471038574098648,0.8718431947813392,,0.02713777153632917,1.2070095824880323,0.546898206543957,0.45310179345604296,-6.945324330120686,245688071.0,0.7942523421174931,4.697108936118057,non-profit
