Hospital,Hospital type,Control type,REIMBURSEMENT SETTLEMENT: Subtotal,IPPS Interim payment,Urban (1) and Rural (2) Indicator,NUMBER OF BEDS: Adults & Pediatrics,Total Costs,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total cost of charity care,Number of Interns & Residents,Cost of Uncompensated Care,Cost To Charge Ratio,NUMBER OF BEDS: Total Hospital,HAC reduction adjustment amount,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,State,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total discharges,REIMBURSEMENT SETTLEMENT: Interim payments,FTE Employees on Payroll,Total Salaries,IPPS Payment amount (unadjusted),Fiscal Year End Date,Net Revenue from Medicaid,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),BALANCE SHEET: Total Assets (G_C1THRU4_36),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Total Bad Debt expense,Total Inpatient Days,HVBP payment adjustment amount,Total Liabilities,"Donations, Land Improvements",BED DAYS: Total Hospital,Total Days Title XVIII,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,1842429.0,,2.0,19.0,39500513.0,,,9962646.0,1703999.0,155.52,4860037.0,0.547229,25.0,,490835.0,202692.0,,SC,11693980.0,9989856.0,225670.0,454.0,2384095.0,,21874176.0,,2018-09-30,1457342.0,2017-10-01 00:00:00,6.0,42128843.0,35434680.0,1051063.0,3935576.0,676855.0,72182843.0,3769229.0,5893604.0,2984.0,,15701131.0,,9125.0,1252.0,2017,2018,19733549.0,6399284.981419999,3769229.0,0.005356662655084071,-2186092.0,-0.05189062514724176,2.5383466105088557,3.5465062801480647,2.2416454414804847,0.9577324894754923,0.7956567265219247,0.4431006855430894,0.5568993144569105,-5.599772067965189,19733549.0,1.1889155764917307,4.228680111689203,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,4081693.0,5445143.0,2.0,38.0,46028947.0,1211869.0,17884471.0,25891328.0,163650.0,357.97,1839310.0,0.324996,44.0,59294.0,329104.0,118923.0,,LA,46193797.0,16784932.0,-138326.0,1240.0,4000051.0,,24629781.0,5025357.0,2018-12-31,15002348.0,2018-01-01 00:00:00,6.0,38424937.0,45420906.0,2564805.0,5107700.0,937118.0,141629402.0,3117731.0,5152010.0,5661.0,18099.0,11655181.0,,16060.0,2997.0,2018,2018,33765725.0,15012799.249812,4329600.0,-0.0035999018033523386,-13428041.0,-0.34946162696376054,3.286201617166239,5.654337177203046,3.03829708087789,0.6103982222918339,0.34517786897808356,0.25660388632494474,0.7433961136750553,-91.34680423467286,33765725.0,0.8459746927989503,1.4840852118516286,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,56826230.0,209171294.0,1.0,537.0,855771624.0,,325143405.0,448676325.0,6832416.0,5332.27,11906643.0,0.264796,599.0,,1503250.0,,,MN,96409744.0,190960486.0,80750336.0,34032.0,55897301.0,42.5,544885976.0,227510042.0,2018-12-31,20325974.0,2018-01-01 00:00:00,62.0,1223795603.0,667163847.0,7453605.0,-388863260.0,26265866.0,3231810651.0,1364008.0,18836283.0,165376.0,229171.0,-310865081.0,,218635.0,60675.0,2018,2018,667163847.0,25528914.572224,1364008.0,0.06598351538610651,-111923401.0,-0.0914559594148174,inf,inf,inf,inf,0.0,0.0,1.0,,667163847.0,1.834325418715322,2.727568928447473,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,8703953.0,19107992.0,1.0,160.0,96532749.0,,35714472.0,42072651.0,3023715.0,587.43,5437600.0,0.099864,196.0,,843470.0,,,TX,85351945.0,23925106.0,-331710.0,5844.0,8815860.0,,43697617.0,21614379.0,2019-08-31,7707314.0,2018-09-01 00:00:00,36.0,121114970.0,107787974.0,5688530.0,47588520.0,3652216.0,966638736.0,25018.0,21966384.0,23960.0,-121031.0,50499370.0,,71540.0,9110.0,2018,2018,57288604.0,8523586.63548,25018.0,-0.0027388026434717358,-568809.0,-0.004696438433663485,0.5027495286678384,0.8776477814397253,0.4082795598602352,0.000525715025388476,0.8814906713384044,0.4685065330200937,0.5314934669799063,,57288604.0,1.1236408432725529,2.8787102101077493,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,32364097.0,126060033.0,1.0,503.0,615873796.0,51631234.0,249735669.0,123414217.0,14094276.0,3871.62,16364064.0,0.226118,592.0,,5319724.0,10838408.0,,PA,282566795.0,314338747.0,-16092823.0,27052.0,29905660.0,158.82,337168333.0,136417392.0,2019-06-30,46072570.0,2018-07-01 00:00:00,33.0,752589200.0,938397085.0,41886126.0,118639294.0,4809202.0,2723681150.0,128774475.0,9415729.0,134266.0,212966.0,745286889.0,,212193.0,47401.0,2018,2018,193110196.0,63893438.551810004,180405709.0,-0.021383276560439615,-16245159.0,-0.021585692433534788,2.6495331892315543,1.9900309673117238,2.5641573777402957,1.0854285343269154,3.859386528715449,0.7942127068734447,0.20578729312655528,2.365750302073884,193110196.0,0.8019943923845415,6.098075394344559,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2909311.0,,2.0,25.0,37328808.0,23971059.0,,7305504.0,392834.0,272.75,1073445.0,0.317732,25.0,,252816.0,2382218.0,,IL,21191782.0,44858491.0,12534371.0,890.0,3623861.0,,16455522.0,,2018-09-30,2540308.0,2017-10-01 00:00:00,,48023868.0,142977703.0,4368399.0,4689122.0,602753.0,117485118.0,15064202.0,2064357.0,4272.0,,46210148.0,,9125.0,2214.0,2017,2018,96767555.0,6733307.278424,39035261.0,0.2610029454520406,3734390.0,0.07776112494728663,9.566501148829142,7.569881312535695,9.384042897582958,3.2125847866615542,0.47753762095156793,0.32319828218250224,0.6768017178174978,3.4013633512969847,96767555.0,0.33588361676225836,6.573655698498009,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,22448912.0,56582702.0,1.0,224.0,276760050.0,45000.0,98445305.0,153512595.0,3812700.0,1142.7,5713105.0,0.109124,262.0,,659253.0,186179.0,,AZ,462857387.0,71207204.0,29110473.0,15927.0,22142000.0,,98832937.0,61147358.0,2019-03-31,40490630.0,2018-04-01 00:00:00,38.0,323480302.0,194773587.0,8467484.0,32006695.0,9817753.0,2536192341.0,290183.0,15738535.0,63445.0,-285976.0,37616479.0,,95630.0,15627.0,2018,2018,157157108.0,50508849.498988,335183.0,0.0899914857875952,27494430.0,0.08499568545598798,2.224759663564139,5.714843441348755,1.8974217113013387,0.009066321905463842,0.23935588710375097,0.19312926141263703,0.806870738587363,193.1577352977511,157157108.0,1.660801687653881,2.107190631491833,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,3056926.0,19332400.0,1.0,116.0,117170986.0,,51177870.0,71983169.0,4949675.0,604.0,6447014.0,0.108848,144.0,,318029.0,43952.0,,AZ,435194193.0,30073251.0,3214151.0,7687.0,3094218.0,17.92,54170658.0,21074724.0,2019-03-31,34892034.0,2018-04-01 00:00:00,28.0,126513110.0,149109214.0,6305158.0,14803597.0,3300413.0,1076464179.0,226003.0,11823158.0,32962.0,-3352.0,22122260.0,,52440.0,6183.0,2018,2018,126986954.0,47370017.519664,226003.0,0.025405675348586402,2096760.0,0.01657346025245921,2.0314826862687494,5.094932197897578,1.7870527683238067,0.015266762530755195,0.17420891913038564,0.14836279668136404,0.851637203318636,191.16122133236257,126986954.0,0.8484593715315272,1.7575373765497877,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,3720757.0,10153839.0,1.0,113.0,85446391.0,,34665702.0,41858122.0,2689150.0,420.9,3738632.0,0.124966,127.0,113597.0,257841.0,41517.0,,AZ,189739171.0,18234033.0,4141391.0,5521.0,3643971.0,,34821258.0,11392737.0,2018-09-30,15318184.0,2017-10-01 00:00:00,14.0,87232179.0,49085425.0,8959665.0,9206149.0,2080449.0,683756689.0,900.0,7546828.0,21159.0,-10611.0,11027567.0,,46355.0,4229.0,2017,2018,38057858.0,23710945.243185997,900.0,0.047475496399098316,4094157.0,0.04693402190492112,1.9806363116651708,4.996705245591832,1.7266441157969528,9.776074664878876e-05,0.289757952221063,0.22466072158894418,0.7753392784110559,314.42112869426984,38057858.0,1.7771503251729002,2.0839964822119827,for-profit
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,7892333.0,28738651.0,1.0,159.0,171802098.0,,72690849.0,133244791.0,5428109.0,851.8,7470561.0,0.092467,179.0,,-174791.0,107085.0,,AZ,503583350.0,53840118.0,34364512.0,12134.0,7939165.0,,72678725.0,30841897.0,2019-04-30,38418511.0,2018-05-01 00:00:00,20.0,223410342.0,149554019.0,7552374.0,17839661.0,3456634.0,1857987067.0,195657.0,19545068.0,51137.0,-13024.0,19877305.0,,65335.0,11235.0,2018,2018,129676714.0,46564841.62445,195657.0,0.1538179105423866,33448458.0,0.14971759006572757,3.0180011828700106,9.406286363849627,2.824239989762137,0.010967529035445235,0.15328353400441655,0.13291053716182646,0.8670894628381736,382.8811878414344,129676714.0,1.4938437863043987,1.6766910010013074,for-profit
