Hospital,Hospital type,Control type,FTE Employees on Payroll,Number of Interns & Residents,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Liabilities,Net Revenue from Medicaid,HVBP payment adjustment amount,HAC reduction adjustment amount,BALANCE SHEET: Total Assets (G_C1THRU4_36),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,REIMBURSEMENT SETTLEMENT: Subtotal,Total Costs,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),IPPS Interim payment,Total Bad Debt expense,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Salaries,Cost To Charge Ratio,Total Charges,State,REIMBURSEMENT SETTLEMENT: Interim payments,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Medicaid charges,IPPS Payment amount (unadjusted),Total Inpatient Days,BED DAYS: Total Hospital,BALANCE SHEET: Inventory (G_C1THRU4_7),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Total cost of charity care,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Cost of Uncompensated Care,"ADJUSTED SALARIES, Subtotal Salaries",Fiscal Year Begin Date,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),Total discharges,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"Donations, Land Improvements",NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: ICU,Fiscal Year End Date,NUMBER OF BEDS: Total Hospital,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
HOSPITAL SAN JUAN CAPESTRANO (404005),Psychiatric,Proprietary-Corporation,,321.89,3282115.0,18790643.0,,,,68617913.0,,28891.0,22613724.0,18717539.0,,,3623389.0,10025837.0,,86208730.0,PR,28891.0,1315840.0,,,47244.0,62780.0,,5339985.0,,,1428.0,1.0,,,2021-01-01 00:00:00,34017536.0,6974.0,,,172.0,,2021-12-31,172.0,23555469.0,321660.0,2021,2021,49827270.0,,18717539.0,0.10651532785913713,3328588.0,0.09784917990532883,7.176917627810116,8.433864444116065,,5.70288944781033,0.3771156437027355,0.2738445717519855,0.7261554282480145,,49827270.0,0.49575299674299333,6.370342987854835,for-profit
HOSPITAL SAN PABLO HUMACAO (400005),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,192.16,8792258.0,8792258.0,2826181.0,,,18810105.0,,109663.0,14953227.0,316791.0,1495252.0,498494.0,-1406890.0,6483362.0,0.542388,27569248.0,PR,109531.0,518700.0,7516590.0,2358444.0,10257.0,20805.0,270660.0,2319397.0,,,733.0,1.0,250059.0,6483362.0,2021-01-01 00:00:00,13987626.0,1527.0,,,51.0,6.0,2021-12-31,57.0,3106652.0,199804.0,2021,2021,10017847.0,4076908.21692,316791.0,-0.10058104212966518,-2064705.0,-0.1476093941888352,0.3533394948146426,0.13981596081461667,0.29983060096735104,0.03603067607888667,0.8776594411952987,0.46742205851588814,0.5325779414841119,,10017847.0,0.7436229622322682,6.030716604358806,for-profit
HOSPITAL UPR (400112),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,65.61,583.98,21584248.0,23295159.0,,,,49957101.0,,143636.0,44926438.0,19133946.0,9491510.0,485889.0,6012122.0,17134846.0,0.391841,114654893.0,PR,60264.0,3178948.0,,10963475.0,49126.0,74460.0,1523047.0,48066750.0,252265.0,,3740.0,1.0,170131.0,17661677.0,2021-07-01 00:00:00,52874221.0,8045.0,,,181.0,23.0,2022-06-30,204.0,31082135.0,641398.0,2021,2021,26661942.0,,19133946.0,0.11370611020444159,-773798.0,-0.014634693152264126,1.4400378924482335,3.391955930083828,1.3397589760829287,0.8864773051162125,0.8737232644193735,0.4663032588700453,0.5336967411299547,9.53421996709809,26661942.0,1.0583924995968041,1.1000165603041603,non-profit
HOSPITAL WILMA N VAZQUEZ (400115),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,267.58,9260018.0,15923061.0,,,,18763909.0,,203094.0,28508765.0,99535.0,2466286.0,149444.0,1628248.0,8946081.0,0.342371,83268568.0,PR,203095.0,784541.0,,2870146.0,14825.0,32850.0,649359.0,13538927.0,105844.0,,1196.0,1.0,52212.0,8345520.0,2021-01-01 00:00:00,30870358.0,2005.0,,,84.0,6.0,2021-12-31,90.0,14024152.0,1059355.0,2021,2021,2840848.0,,99535.0,0.052744707398599,-3061648.0,-0.09917759943049576,1.5144843130974475,1.6486695814198202,1.3299583218952706,0.010748899192204594,5.605038002737211,0.8486004168960742,0.15139958310392573,-21.513803333207363,2840848.0,1.6451986630291162,2.280118505698421,for-profit
HOSPITALS OF PROV TRANSMOUNTAIN CAMP (670120),General Short Term (Acute Care Hospitals),Proprietary-Corporation,5.98,388.9,24129492.0,28354764.0,10430218.0,44552.0,,193741368.0,,2749904.0,118819931.0,33301.0,13472642.0,9341377.0,6393651.0,34123486.0,0.092482,1284784685.0,TX,2761916.0,11355601.0,200901488.0,13678763.0,28284.0,39420.0,2139575.0,85928800.0,144118.0,6484015.0,5082.0,1.0,7435930.0,34999598.0,2021-01-01 00:00:00,142772762.0,5445.0,,,90.0,12.0,2021-12-31,108.0,41687080.0,6198479.0,2021,2021,165386604.0,18579771.413216,33301.0,0.04478200820966117,5746947.0,0.040252404726890414,1.7276401840536055,3.827505029944269,1.3820857065702006,0.001380095362140239,0.17144534874178807,0.14635368941959778,0.8536463105804022,118.67045060297812,165386604.0,0.7369245064894968,1.6615239826460977,for-profit
HOSPITALS OF PROVIDENCE EAST CAMPUS (670047),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,758.0,33481606.0,39552246.0,24779939.0,66310.0,,219841578.0,,3556445.0,199806308.0,900.0,17924089.0,23512934.0,76335279.0,63584842.0,0.0756,2642945516.0,TX,3563825.0,10120055.0,398986763.0,20363524.0,66944.0,66430.0,3934769.0,169233726.0,85047.0,12211569.0,7857.0,1.0,14224565.0,65753492.0,2021-01-01 00:00:00,300416331.0,12672.0,,,146.0,24.0,2021-12-31,182.0,67441405.0,4459105.0,2021,2021,180289332.0,30163399.2828,900.0,0.25409830000220596,75910390.0,0.2526839661056908,2.0142822599369934,7.334472097903547,1.7635812033628255,2.6880431004414782e-05,0.21938206526828777,0.17991249134865653,0.8200875086513435,1011.5635472150693,180289332.0,1.36651280314227,1.7751563952447635,for-profit
HOT SPRINGS COUNTY MEMORIAL (531304),Critical Access Hospitals,Voluntary Nonprofit-Other,,101.18,4545802.0,30308507.0,566895.0,,,50611148.0,,5592664.0,29019025.0,8144572.0,,1623900.0,2701716.0,13268190.0,0.704745,41176650.0,WY,5625047.0,2454134.0,2788470.0,,1684.0,5475.0,937221.0,4746931.0,723710.0,360116.0,1114.0,2.0,1412543.0,,2021-07-01 00:00:00,29430217.0,393.0,627545.0,,15.0,,2022-06-30,15.0,14973199.0,126819.0,2021,2021,20302641.0,1965160.2901499998,8772117.0,0.09180075022892288,-3536954.0,-0.12018103706133054,3.2938519979532765,3.4302459719979006,3.059781090333455,1.7916688848304436,1.4928356857612761,0.598850415327469,0.40114958467253103,-1.496207044258059,20302641.0,0.581496728744426,6.199840907735966,non-profit
HOULTON REGIONAL HOSPITAL (201308),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,281.2,14838608.0,24214875.0,6987119.0,,,35852334.0,,4653157.0,40629833.0,9945461.0,,2685000.0,7401843.0,21672512.0,0.51698,78590793.0,ME,5256304.0,1022043.0,14414517.0,,4984.0,9125.0,999115.0,15573662.0,232984.0,68630.0,2015.0,2.0,1404226.0,,2020-10-01 00:00:00,43860208.0,889.0,,,25.0,,2021-09-30,25.0,18087078.0,529849.0,2020,2021,11637459.0,7452016.99866,9945461.0,0.1687598699942326,-3583591.0,-0.08170483368432727,1.21892013051359,2.218602041377466,1.1158805462075687,0.6702421817464279,2.080769951584792,0.675405818767615,0.32459418123238504,-10.99452322906294,11637459.0,1.223357118116773,2.8163066592815484,non-profit
HOUMA - AMG SPECIALTY HOSPITAL (192037),General Long Term,Proprietary-Corporation,,76.0,915312.0,1246141.0,,,,6468275.0,,,10368599.0,-57136.0,,,3114090.0,4145255.0,,30670842.0,LA,,595145.0,,,7940.0,14600.0,193951.0,2658670.0,,,5239.0,1.0,,4145255.0,2021-06-01 00:00:00,13414051.0,336.0,,,40.0,,2022-05-31,40.0,2816405.0,20920.0,2021,2021,5222134.0,,0.0,0.23215134637552817,2324964.0,0.17332303269161567,3.0769890485430103,5.4526325449682735,2.842237401017358,0.0,0.23862677595021498,0.19265430118540106,0.8073456988145989,,5222134.0,2.0738220004560723,5.045399015297122,for-profit
HOUSTON BEHAVIORAL HEALTHCARE (454135),Psychiatric,Proprietary-Corporation,,253.72,18464472.0,18558270.0,,,,10507261.0,,70475.0,25153393.0,428380.0,,,4911176.0,14988254.0,,95660714.0,TX,70475.0,203663.0,,,45154.0,59495.0,80510.0,7925052.0,,,2346.0,1.0,,,2021-01-01 00:00:00,33411809.0,5783.0,,,163.0,,2021-12-31,163.0,8623144.0,189202.0,2021,2021,-8051009.0,,428380.0,0.14698922767097106,4751124.0,0.14219894528907429,0.46701275833936656,0.7183785163204234,0.45240567940420934,0.023200230150095816,-2.3050862320486787,1.7662328936151868,-0.7662328936151866,,-8051009.0,3.17987808621105,4.2159734724769,for-profit
