Hospital,Hospital type,Control type,Fiscal Year Begin Date,HVBP payment adjustment amount,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Bad Debt expense,IPPS Payment amount (unadjusted),Fiscal Year End Date,IPPS Interim payment,State,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),"ADJUSTED SALARIES, Subtotal Salaries",Urban (1) and Rural (2) Indicator,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total Days Title XVIII,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Cost of Uncompensated Care,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total cost of charity care,Medicaid charges,Net Revenue from Medicaid,Total Salaries,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),HAC reduction adjustment amount,NUMBER OF BEDS: Adults & Pediatrics,BED DAYS: Total Hospital,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Costs,Number of Interns & Residents,Cost To Charge Ratio,Total Liabilities,Total discharges,FTE Employees on Payroll,"Donations, Land Improvements",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),NUMBER OF BEDS: ICU,BALANCE SHEET: Total Assets (G_C1THRU4_36),Total Inpatient Days,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
MUSC HEALTH FLORENCE MEDICAL CENTER (420091),General Short Term (Acute Care Hospitals),Governmental-State,2019-07-01 00:00:00,125507.0,9708031.0,24584380.0,37404321.0,2020-06-30,32651994.0,SC,,59180963.0,2.0,373827131.0,21665.0,,10146769.0,,7481645.0,,7439861.0,58574204.0,14241373.0,170.0,1985178560.0,-21927624.0,,133.0,70275.0,,8218778.0,196110189.0,14147663.0,36880948.0,7424818.0,179854308.0,910.27,0.090599,124660860.0,8653.0,,,49577830.0,37.0,127489802.0,57293.0,2019,2019,2828942.0,,0.0,0.049502940410709614,-10862612.0,-0.05539034996289764,0.7439000053047905,7.736021564477509,,0.0,44.066248088508,0.9778104447914979,0.02218955520850209,,2828942.0,1.5382421646556483,0.524601273522868,govt
MUSC HEALTH LANCASTER MEDICAL CENTER (420036),General Short Term (Acute Care Hospitals),Governmental-State,2019-03-01 00:00:00,-9264.0,515460.0,112304.0,5143765.0,2019-06-30,4560171.0,SC,,10122626.0,1.0,132734004.0,3302.0,,1649433.0,,1610127.0,66731033.0,2153669.0,11161163.0,1774910.0,166.0,334293996.0,11356335.0,,146.0,20252.0,,1580420.0,31972769.0,1812800.0,30733534.0,,25801755.0,397.97,0.077183,72465981.0,1465.0,,,37295434.0,20.0,72981441.0,6168.0,2019,2019,515460.0,5150501.320039,11356335.0,0.01612184418559431,-1640041.0,-0.0512949316338538,0.8240562102052492,3.8310195022800912,,0.30449665768737266,140.58507158654405,0.9929371084903627,0.007062891509637361,,515460.0,0.4380945150151256,0.24087850917237455,govt
MUSC HEALTH LANCASTER MEDICAL CENTER (420036),General Short Term (Acute Care Hospitals),Governmental-State,2019-07-01 00:00:00,-12059.0,6614753.0,25487490.0,13552256.0,2020-06-30,11681193.0,SC,,32387704.0,1.0,179344013.0,6712.0,,5800359.0,,3710138.0,38210890.0,2549294.0,33623147.0,4332863.0,107.0,954190061.0,-1794905.0,,77.0,31108.0,,6538330.0,86781789.0,4325733.0,18988769.0,,71607210.0,484.27,0.075045,52992757.0,5174.0,,,16098192.0,30.0,60444185.0,16899.0,2019,2019,7451428.0,2867536.24005,0.0,0.07622282366177079,-3858471.0,-0.0444617591370466,1.1795591082526535,11.551531128464612,,0.0,7.111758578355719,0.8767221693865175,0.1232778306134825,,7451428.0,1.4357342894109666,0.48388450524969573,govt
MUSC HEALTH MARION  MEDICAL CENTER (420055),General Short Term (Acute Care Hospitals),Governmental-State,2019-03-01 00:00:00,13668.0,-477801.0,141070.0,2360055.0,2019-06-30,2336459.0,SC,,4855624.0,2.0,38877467.0,1211.0,,522720.0,,473346.0,14265627.0,856757.0,4481800.0,846336.0,94.0,82616609.0,5012910.0,,84.0,11468.0,,897697.0,11277393.0,862126.0,10304411.0,,10729755.0,172.8,0.129874,25327986.0,666.0,,,12992958.0,10.0,24850185.0,2719.0,2019,2019,-477801.0,1852734.040998,5012910.0,-0.04236803665528017,-1692397.0,-0.15006987873881844,0.7930766034955242,3.264262533597045,,0.3858174558864887,-53.00948721329591,1.0192272612859823,-0.01922726128598238,,-477801.0,0.45381525328684674,0.2900753024881997,govt
MUSC HEALTH MARION  MEDICAL CENTER (420055),General Short Term (Acute Care Hospitals),Governmental-State,2019-07-01 00:00:00,33857.0,2662086.0,6227669.0,6344414.0,2020-06-30,6221977.0,SC,,12359147.0,2.0,43329882.0,3166.0,,2922801.0,,2090307.0,7996850.0,1224874.0,11694164.0,2227872.0,54.0,235651417.0,-3774804.0,,44.0,17351.0,,1361578.0,30006568.0,2201313.0,3915067.0,532069.0,28036255.0,202.86,0.118973,18810416.0,1624.0,,,5870314.0,10.0,20994701.0,7623.0,2019,2019,2184285.0,951409.23505,0.0,0.08871677694030188,-3868719.0,-0.12892907312825647,0.6669263347752777,7.8346691505769535,,0.0,8.611704058765225,0.8959601758558029,0.10403982414419714,,2184285.0,1.4292448365899566,0.6925144176483102,govt
MUSCOGEE CREEK NATION LONG TERM CARE (372023),General Long Term,Governmental-Other,2018-10-01 00:00:00,,918515.0,,,2019-09-30,,OK,,,1.0,918517.0,188.0,,,,,,,1713934.0,54883.0,4.0,7243175.0,,,4.0,1460.0,,,4350093.0,53784.0,918517.0,,3743800.0,33.95,,1.0,38.0,,,1.0,,918517.0,1019.0,2018,2019,918516.0,,0.0,0.2111483593569149,888493.0,0.20424689771000298,918517.0,1837032.0,,0.0,1.0887126625992362e-06,1.0887114773052648e-06,0.9999989112885227,,918516.0,4.735996176445291,4.735996176445291,govt
MUSCOGEE CREEK NATION MED CENTER (370057),General Short Term (Acute Care Hospitals),Governmental-Other,2018-10-01 00:00:00,,-4240001.0,2428961.0,1539607.0,2019-09-30,1643092.0,OK,,6277315.0,1.0,,960.0,,962463.0,,,7744112.0,5251826.0,7559815.0,1595501.0,50.0,52677436.0,1.0,,50.0,18250.0,,1135761.0,13284312.0,1565690.0,1.0,,20965393.0,124.59,0.397996,4240001.0,548.0,,,4240001.0,,1.0,1938.0,2018,2019,-4240000.0,3082125.599552,1.0,-0.31917354846829854,-8790466.0,-0.6617178217434219,2.3584900097900921e-07,-0.999999764150999,,2.3584900097900921e-07,-1.0000002358490565,4240001.0,-4240000.0,,-4240000.0,13284312.0,inf,govt
MYRTUE MEDICAL CENTER (161374),General Short Term (Critical Access Hospitals),Governmental-County,2019-07-01 00:00:00,,213079.0,1003126.0,,2020-06-30,,IA,914118.0,,2.0,10161392.0,2241.0,10447779.0,675020.0,,87544.0,7876389.0,6376892.0,16717909.0,6289386.0,25.0,63850025.0,3057671.0,,25.0,9150.0,159736.0,1533450.0,41939594.0,5172783.0,27012208.0,940543.0,38437239.0,222.41,0.601993,30586396.0,597.0,,,6311407.0,,68680137.0,3009.0,2019,2019,38093741.0,4741531.043277,13505450.0,0.005080616660237579,-2659146.0,-0.06340419032191871,4.279902722166389,2.147377438976761,3.9860441578240793,0.48446740956493534,0.8029244489271873,0.44534558805553925,0.5546544119444607,-7.047227926078029,38093741.0,0.6106509950613523,4.1273473161944745,govt
N. OAKS REHABILITATION HOSPITAL (193044),Rehabilitation,Governmental-Hospital District,2019-07-01 00:00:00,,4228087.0,,,2020-06-30,,LA,17918.0,2699500.0,1.0,956932.0,3119.0,,,,,,,2699500.0,,27.0,39817126.0,,,27.0,9882.0,,480407.0,6648028.0,,8031414.0,1866.0,10635537.0,40.66,,923621.0,457.0,,,923621.0,,8059674.0,5740.0,2019,2019,7136053.0,,0.0,0.6359911540685448,3227689.0,0.48551074092949065,8.69557318423899,5.61379505229959,8.674153142901687,0.0,0.12943023265101872,0.11459781127623772,0.8854021887237623,,7136053.0,0.824850732176016,6.947231360222043,govt
N.W. MO PSYCHIATRIC REHAB CTR (264007),Psychiatric,Governmental-State,2019-07-01 00:00:00,,-5430682.0,,,2020-06-30,,MO,,11963160.0,1.0,,381.0,,,,,,,12276133.0,377.0,108.0,27853378.0,,,20.0,39528.0,,789325.0,20657698.0,369.0,,,23908061.0,207.23,,,11.0,,,,,,39462.0,2019,2019,,,0.0,-0.2628890208386239,-5435403.0,-0.2631175554991655,,,,,,,,,,,inf,govt
NACOGDOCHES MEDICAL CENTER (450656),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2019-01-01 00:00:00,10948.0,8154575.0,13482924.0,17162819.0,2019-12-31,15616483.0,TX,248471.0,26917569.0,2.0,44064045.0,6934.0,,6125833.0,,4755649.0,98089865.0,10015472.0,25994106.0,7657040.0,155.0,862077498.0,6323.0,,136.0,56575.0,176238.0,4592938.0,100123452.0,7501435.0,17754634.0,1457124.0,76677813.0,334.0,0.088945,10888173.0,5073.0,,,8697001.0,11.0,95576787.0,18661.0,2019,2019,84688614.0,8724603.042425,6323.0,0.08144520426642901,7373253.0,0.0736416179498086,2.0414662479629473,6.004936989198921,1.8453532430317072,0.0007270322263962025,0.12856714126883692,0.11392068452771906,0.8860793154722809,67.89790510559584,84688614.0,1.0475708081712352,2.2722256206846194,for-profit
NACOGDOCHES MEMORIAL HOSPITAL (450508),General Short Term (Acute Care Hospitals),Governmental-Hospital District,2019-07-01 00:00:00,-53202.0,5080388.0,8629261.0,11861354.0,2020-06-30,9697461.0,TX,1134641.0,27661033.0,2.0,43666546.0,4644.0,,11045915.0,,8890657.0,37257015.0,9258859.0,33460777.0,2377901.0,121.0,259182919.0,19328274.0,117726.0,98.0,44286.0,2886839.0,8997344.0,46969561.0,2336455.0,34624843.0,1109643.0,64574160.0,523.24,0.249145,91460098.0,3460.0,,,32262223.0,23.0,79464177.0,13024.0,2019,2019,-11995921.0,9282399.002175,19328274.0,0.1081634124704721,-26979249.0,-0.5743985769847838,1.073231779471613,2.116053162238696,1.0036679431544442,0.599099262316797,-7.62426644857031,1.1509601112461028,-0.15096011124610276,-6.2289254786983275,-11995921.0,0.5910784302214569,1.0756417739108561,govt
NANTICOKE MEMORIAL HOSPITAL (080006),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2019-07-01 00:00:00,29666.0,93662724.0,1656569.0,25343969.0,2020-06-30,23631112.0,DE,1617836.0,49645753.0,1.0,151897.0,8361.0,,3822433.0,,3199419.0,67002113.0,12920176.0,49531806.0,15764779.0,94.0,327414210.0,8228921.0,,85.0,34404.0,2016352.0,8860143.0,124276465.0,15488768.0,-7794197.0,4584412.0,129446687.0,756.09,0.395361,48903893.0,5703.0,,,45933450.0,9.0,142069592.0,19165.0,2019,2019,93165699.0,26490022.397793002,8228921.0,0.7536642114820372,-20137805.0,-0.16204037506216482,0.0,2.22155187559393,-0.13502682685493905,0.17914876849006553,0.524913069132879,0.3442249133790713,0.6557750866209288,-5.593101799685769,93165699.0,0.8747576680589045,818.1627352745611,non-profit
NANTUCKET COTTAGE HOSPITAL (220177),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2018-10-01 00:00:00,,75094952.0,2082667.0,2002725.0,2019-09-30,2308343.0,MA,589228.0,17616184.0,2.0,5183454.0,1108.0,,2366517.0,,1231617.0,9773094.0,2979022.0,24748504.0,3098708.0,19.0,71497674.0,1943413.0,,19.0,6935.0,,3176094.0,47892759.0,3037331.0,8723556.0,938202.0,39184416.0,227.85,0.548052,10345327.0,444.0,,,6021690.0,,105966333.0,2159.0,2018,2019,95621006.0,5356163.712888,1943413.0,1.5679813309565231,-12020622.0,-0.2509903845798485,1.4486889893036672,13.654276291207285,1.1950342843952446,0.32273547791400753,0.10819094498963962,0.09762843260793029,0.9023715673920697,,95621006.0,0.4519620302421902,9.239545484535988,non-profit
