Hospital,Hospital type,Control type,Fiscal Year Begin Date,HVBP payment adjustment amount,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Bad Debt expense,IPPS Payment amount (unadjusted),Fiscal Year End Date,IPPS Interim payment,State,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),"ADJUSTED SALARIES, Subtotal Salaries",Urban (1) and Rural (2) Indicator,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total Days Title XVIII,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Cost of Uncompensated Care,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total cost of charity care,Medicaid charges,Net Revenue from Medicaid,Total Salaries,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),HAC reduction adjustment amount,NUMBER OF BEDS: Adults & Pediatrics,BED DAYS: Total Hospital,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Costs,Number of Interns & Residents,Cost To Charge Ratio,Total Liabilities,Total discharges,FTE Employees on Payroll,"Donations, Land Improvements",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),NUMBER OF BEDS: ICU,BALANCE SHEET: Total Assets (G_C1THRU4_36),Total Inpatient Days,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,2018-10-01 00:00:00,,-797432.0,8709657.0,,2019-09-30,,SC,344401.0,,2.0,17907124.0,1373.0,,4521668.0,,,747699.0,234123.0,22153706.0,1911461.0,25.0,77595760.0,787768.0,,19.0,9125.0,262811.0,1146804.0,41118595.0,2234053.0,11082126.0,701972.0,40791538.0,161.75,0.525693,16640784.0,465.0,,,4301085.0,6.0,35333259.0,2903.0,2018,2019,18692475.0,393060.13040699996,787768.0,-0.01939346419788906,-6000221.0,-0.1459247573999063,2.5765884654685967,4.161790338949358,2.3333072933922487,0.1831556456103518,0.8902397355085402,0.47096657571270173,0.5290334242872983,-18.467328232075523,18692475.0,1.1637362689923394,2.2962143446373635,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,2019-01-01 00:00:00,2114.0,1796757.0,5164265.0,4958955.0,2019-12-31,5108204.0,LA,526252.0,19099900.0,2.0,22749580.0,2604.0,731371.0,1684120.0,,86723.0,48820318.0,15429157.0,26428790.0,3953306.0,44.0,153246531.0,4958101.0,58800.0,38.0,16060.0,219507.0,2897590.0,52909903.0,3874343.0,19582786.0,986300.0,47302947.0,368.17,0.308672,10960226.0,1317.0,,,5147933.0,6.0,48125826.0,5349.0,2019,2019,37165600.0,15069465.197696,5689472.0,0.033958803515478,-1897650.0,-0.035865686618249897,3.8040094927420385,5.731317404480595,3.5101921489654195,0.963124617200729,0.29490243666185934,0.2277410469796404,0.7722589530203596,4.555390033119672,37165600.0,1.0994076860104178,2.325752958955726,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2019-01-01 00:00:00,588915.0,50563800.0,21749652.0,181729191.0,2019-12-31,169230981.0,MN,1362000.0,340713994.0,1.0,487573239.0,50164.0,,15078964.0,,9105417.0,96455651.0,20419284.0,579069446.0,47221082.0,608.0,3298391060.0,1600167.0,,545.0,221920.0,,7938370.0,1262603036.0,46542892.0,196435127.0,29976386.0,885096555.0,5579.76,0.268342,-326782463.0,34207.0,42.85,,-439563296.0,63.0,754499553.0,166470.0,2019,2019,754499553.0,25883102.300642002,1600167.0,0.040047266289006456,-179388418.0,-0.14207824065457103,inf,inf,inf,inf,0.0,0.0,1.0,,754499553.0,1.6734311252799376,2.589565905195219,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2019-09-01 00:00:00,24893.0,3386811.0,23592905.0,23909356.0,2020-10-26,21356280.0,TX,1324366.0,40004725.0,1.0,32642473.0,9638.0,,6492723.0,,3876550.0,98054270.0,7349497.0,56617109.0,9946215.0,196.0,1106967606.0,79760.0,,160.0,82712.0,,9056417.0,136084555.0,10131461.0,18776629.0,3510251.0,110984461.0,475.1,0.10026,30064220.0,6168.0,,,27240468.0,36.0,93867946.0,26012.0,2019,2019,63803726.0,9830921.1102,79760.0,0.024887548774363114,-7140506.0,-0.05247109784060359,0.689291718482957,1.3255662127390764,0.51181249896294,0.0029279966849321383,0.47119850022551973,0.32028206945105625,0.6797179305489437,,63803726.0,1.4497446764202127,4.16894133603174,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2019-07-01 00:00:00,172304.0,-28744233.0,32663377.0,141703912.0,2020-06-30,128891562.0,PA,,295483865.0,1.0,58005395.0,45487.0,54211569.0,20487511.0,,12031954.0,295312849.0,50565133.0,365090894.0,28824458.0,588.0,2638911475.0,352605230.0,,499.0,215208.0,10358692.0,41803643.0,721594149.0,26673831.0,490938069.0,11997184.0,670021014.0,4087.0,0.253901,949106943.0,28794.0,137.77,,191018469.0,33.0,1082045787.0,134974.0,2019,2019,132938844.0,74980227.673949,406816799.0,-0.03983434876770321,-121098820.0,-0.16782123326224477,2.570107862187923,1.9991071753381082,,1.8459221867179765,7.139425275880991,0.8771412027132638,0.12285879728673627,-7.654941087156564,132938844.0,0.6668794959228468,12.440121285270102,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2018-10-01 00:00:00,,12965343.0,2665786.0,,2019-09-30,,IL,226070.0,,2.0,7166037.0,2651.0,7062825.0,1494123.0,,662840.0,29277560.0,2526220.0,17625087.0,2347397.0,25.0,126895235.0,21173101.0,,25.0,9125.0,1119801.0,4124278.0,56116636.0,3520982.0,34216866.0,631981.0,36475288.0,288.08,0.287444,4566975.0,759.0,,,4124345.0,,138857686.0,4691.0,2018,2019,134290711.0,8415658.95664,28235926.0,0.23104276956302228,11395557.0,0.2030691397823633,8.29631517246981,10.2072923094455,8.088269773745893,5.133688137146626,0.03400812287009189,0.03288960900587094,0.9671103909941291,13.859458064423947,134290711.0,0.4041305714974971,7.830916307018788,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2019-04-01 00:00:00,-164196.0,25393847.0,16389931.0,67089492.0,2020-03-31,61610975.0,AZ,716945.0,101046149.0,1.0,139953504.0,16166.0,,5933339.0,,4085749.0,515355986.0,42938003.0,101811700.0,23530546.0,262.0,2931985383.0,338926.0,,224.0,95892.0,233761.0,7765616.0,345109599.0,23395162.0,70893522.0,10320953.0,298415413.0,1180.5,0.101779,30363540.0,16457.0,10.34,,26415407.0,38.0,197490512.0,66238.0,2019,2019,167126972.0,52452416.899094,338926.0,0.0735819782283135,23682961.0,0.06862446326797186,2.6837944234590063,6.272334815814119,2.265936087980776,0.012830618131304962,0.1816794718209817,0.1537468291134918,0.8462531708865082,134.5330358785255,167126972.0,1.7474743242348776,2.4658875207583226,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2019-04-01 00:00:00,27606.0,-13212656.0,12026007.0,20347518.0,2020-03-31,19015820.0,AZ,339827.0,54239901.0,1.0,75263496.0,5894.0,,6632256.0,,5261494.0,457716522.0,32625531.0,56653390.0,3368867.0,140.0,1181539235.0,157794.0,,112.0,51240.0,150883.0,3636330.0,124630223.0,3462357.0,29024063.0,3538975.0,116954088.0,633.0,0.098985,20361443.0,7185.0,20.26,,14134764.0,28.0,151293492.0,31196.0,2019,2019,130932049.0,45307069.93017,157794.0,-0.1060148628635608,-14231106.0,-0.11418663673577796,2.053381506758797,4.401108783988187,1.7789657471465388,0.011163539766210458,0.15551152796822112,0.13458241151575773,0.8654175884842422,-70.21848717217976,130932049.0,0.8237646005288846,1.655918600964271,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2018-10-01 00:00:00,-6394.0,6007648.0,7974043.0,16900135.0,2019-09-30,15862406.0,AZ,296141.0,33961161.0,1.0,50646165.0,4893.0,,3120087.0,,2116959.0,189738102.0,13400246.0,34007441.0,6179315.0,120.0,846636537.0,900.0,168719.0,106.0,43800.0,230858.0,9090159.0,101924685.0,6159447.0,19648547.0,2289721.0,95888337.0,411.1,0.113258,15582860.0,5653.0,,,10690108.0,14.0,56353719.0,19065.0,2018,2019,40770859.0,21489357.956315998,900.0,0.05894203155987188,5280282.0,0.05180572301989454,1.8380120200843622,5.299732519072773,1.5961190476279565,8.41899819908274e-05,0.382205829904148,0.27651875114045266,0.7234812488595473,62.24796628230341,40770859.0,1.808659424944075,2.0124857429975203,for-profit
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2019-05-01 00:00:00,-26530.0,23078981.0,21670629.0,29621906.0,2020-04-30,27188297.0,AZ,-154674.0,74965126.0,1.0,135075006.0,10445.0,,8671121.0,,6564233.0,554915220.0,39234500.0,75018945.0,7288733.0,191.0,2020520215.0,237309.0,,171.0,69906.0,195557.0,7056333.0,222651545.0,7341104.0,50597359.0,4164108.0,177089574.0,878.6,0.087646,43523730.0,11966.0,3.19,,37069555.0,20.0,153105840.0,53345.0,2019,2019,109582110.0,48636099.37212,237309.0,0.10365515765902275,22230207.0,0.09984303949024921,1.3649303046664574,4.272813525816536,1.2525980147320355,0.006401722383772884,0.3971791563422168,0.284272174072524,0.7157278259274761,149.7596097301554,109582110.0,1.4542328692360789,1.648354877733635,for-profit
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,2018-10-01 00:00:00,,849167.0,971603.0,,2019-09-30,,LA,54097.0,,2.0,1870533.0,1904.0,,512686.0,,11555.0,7238376.0,4790632.0,5931614.0,1437273.0,25.0,31959317.0,2849.0,,25.0,9125.0,,31865.0,15997259.0,1654089.0,8105234.0,413357.0,16550595.0,102.57,0.517864,1584224.0,220.0,,,1584224.0,,8663502.0,2853.0,2018,2019,7079278.0,3748494.348864,2849.0,0.053082031115455466,-1298406.0,-0.08116427945562424,5.116217151109944,1.7185379087805766,4.821149029430182,0.0017983567980285617,0.22378327281397906,0.18286184963078442,0.8171381503692156,,7079278.0,1.8465118378226264,8.552246338343135,govt
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2018-10-01 00:00:00,8808.0,528657.0,4976316.0,8459869.0,2019-09-30,8273895.0,LA,1018708.0,14347546.0,1.0,6253098.0,4754.0,,1154597.0,,50858.0,44342364.0,7836349.0,14236085.0,6609827.0,129.0,196043220.0,5610.0,93538.0,125.0,46994.0,76430.0,2047561.0,39925001.0,6475071.0,9321346.0,1496043.0,40284622.0,248.66,0.205488,6065294.0,1700.0,,,6065294.0,4.0,11198975.0,7889.0,2018,2019,5133681.0,9111823.693632001,5610.0,0.013241252016499637,-61911.0,-0.0015506824909033816,1.5368333340477807,1.1190496289215328,1.1222201265099432,0.0009249345538732335,1.1814707614283007,0.5415936726352188,0.45840632736478115,25.97998168258537,5133681.0,3.565058498657243,6.38483532482619,non-profit
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,2019-01-01 00:00:00,,5039302.0,,,2019-12-31,,GA,53979.0,,1.0,3721815.0,13342.0,,,,,,,9167471.0,382787.0,113.0,64012287.0,-10741.0,,113.0,41245.0,,984447.0,22810675.0,399525.0,3339719.0,,16535861.0,198.3,,-10158964.0,3739.0,,,747981.0,,19635214.0,33713.0,2019,2019,19635214.0,,0.0,0.22091858307568715,4844449.0,0.21237639833104457,4.464978388488477,11.713020785287327,,0.0,0.0,0.0,1.0,,19635214.0,1.1617227599352877,6.128911565996698,for-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,2018-10-01 00:00:00,,9901462.0,,,2019-09-30,,ME,136626.0,,1.0,13939450.0,4155.0,442563.0,,,,,,30754962.0,1290321.0,68.0,96467873.0,21097376.0,,68.0,24820.0,107114.0,737599.0,61999409.0,1368908.0,26997778.0,95897.0,45682888.0,486.27,,19830641.0,1693.0,,,7669441.0,,36247693.0,23941.0,2018,2019,16417052.0,,21539939.0,0.15970252232565635,8097028.0,0.1305984707047772,3.5201754599846327,5.859395489188847,3.4898573442314764,2.7508362082712416,1.2079294747924292,0.5470869828874351,0.45291301711256493,82.47873293873816,16417052.0,1.7104373787319376,4.4477658013766685,non-profit
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,2019-01-01 00:00:00,,4615742.0,,,2019-12-31,,AZ,349628.0,,1.0,12395968.0,2841.0,,,,,,,17546612.0,308113.0,140.0,73965639.0,-133159.0,,140.0,51100.0,,1054762.0,36290732.0,301946.0,11075814.0,,26322741.0,244.27,,2753409.0,4502.0,,,6547559.0,,35254603.0,38196.0,2019,2019,32501194.0,,0.0,0.12718790020548498,4561016.0,0.12567991188494076,1.6915943789128132,2.598175900362257,,0.0,0.08471716454478564,0.07810069510639504,0.9218993048936049,,32501194.0,1.0293898927184062,2.9276238854440413,for-profit
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,2019-07-01 00:00:00,,-344007.0,1227904.0,,2020-06-30,,LA,137357.0,,2.0,2042084.0,3646.0,5513.0,721124.0,,,1589964.0,1707379.0,5021251.0,2757352.0,15.0,17042903.0,11325250.0,,15.0,5490.0,3652.0,163919.0,16186294.0,3064561.0,14895796.0,340033.0,14894389.0,103.79,0.873935,9916008.0,90.0,,,9916008.0,,16670616.0,3733.0,2019,2019,6754608.0,1389525.18834,11330763.0,-0.021252981071516432,-814506.0,-0.05032072196390353,1.5021968517976185,1.3133639061202855,1.4540534860399468,1.1421178764680302,1.4680360429502348,0.5948195315638006,0.40518046843619937,-178.14539978094194,6754608.0,0.9709475642651717,7.926360521898218,govt
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,2019-01-01 00:00:00,,2696544.0,,,2019-12-31,,LA,126005.0,,1.0,1975695.0,1159.0,,,,,,,7077158.0,111757.0,78.0,58805906.0,-85369.0,,78.0,28470.0,,647785.0,16977690.0,109523.0,1500249.0,,13342166.0,138.1,,13289346.0,2953.0,,,1137569.0,,10714546.0,25810.0,2019,2019,-2574800.0,,0.0,0.15882867457233582,2644123.0,0.1557410342632007,1.3188202210151647,4.107213716266881,,0.0,-5.161311946558956,1.2403088287641866,-0.24030882876418655,,-2574800.0,1.5845459060981213,8.59327477166263,for-profit
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,2019-01-01 00:00:00,,1162628.0,,,2019-12-31,,TX,47568.0,2556894.0,1.0,2255679.0,5221.0,210653.0,,,,,,2828709.0,133484.0,149.0,16608255.0,1000.0,,149.0,54385.0,,58840.0,10483948.0,126399.0,2442368.0,,8301173.0,62.01,,4934633.0,514.0,,,2927292.0,,2621861.0,6206.0,2019,2019,-2312772.0,,211653.0,0.11089600978562655,1097524.0,0.10468613541387271,0.8343438235748262,1.1680785517809635,,0.0003416126577054834,-2.133644388638396,1.8821108365393895,-0.8821108365393894,,-2312772.0,3.998666595978963,4.647801393726678,for-profit
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,2019-01-01 00:00:00,,463389.0,,,2019-12-31,,OH,,,1.0,,3091.0,,,,,,,4813001.0,,52.0,23323950.0,-55165.0,,52.0,18980.0,,96006.0,7456470.0,,2445815.0,,6620684.0,65.18,,6788465.0,1733.0,,,5315923.0,,7015317.0,10537.0,2019,2019,226852.0,,0.0,0.06214589477326402,463389.0,0.06214589477326402,0.460092254910389,0.08716999851201758,,0.0,29.924642498192654,0.9676633286849333,0.032336671315066734,,226852.0,1.0628842574041915,inf,for-profit
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,2019-09-01 00:00:00,,8570977.0,,,2020-08-31,,NJ,186223.0,,1.0,4950742.0,7800.0,,,,,,,13456180.0,4972.0,50.0,150562804.0,12579873.0,,50.0,18300.0,28441.0,156930.0,32913897.0,4905.0,22408201.0,250504.0,22804385.0,119.01,,10826277.0,277.0,,,10826277.0,,27962876.0,10258.0,2019,2019,17136599.0,,12579873.0,0.2604060224166102,7326467.0,0.22259494219113585,2.069797493635162,2.410948103396948,2.0294579567842206,1.1619759036278121,0.6317634555141309,0.38716607690854116,0.6128339230914588,263.12003797334836,17136599.0,1.1770569307677794,6.648275551422393,for-profit
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,2018-10-01 00:00:00,,-28733393.0,,341476.0,2019-09-30,345414.0,NM,,6188974.0,2.0,,154.0,,,,,,,9492500.0,1844332.0,6.0,159118.0,,,6.0,2190.0,,782713.0,,1787487.0,,,13856424.0,158.0,,,149.0,,,,,,465.0,2018,2019,,,0.0,,,,,,,,,,,,,,,govt
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,2019-09-01 00:00:00,,2969747.0,,,2020-08-31,,NJ,95490.0,,1.0,5196216.0,6645.0,,,,,,,9303015.0,1121.0,30.0,138141029.0,2293819.0,,30.0,10980.0,,311468.0,22111354.0,1105.0,6651702.0,242334.0,20076162.0,110.79,,3687340.0,280.0,,,3687340.0,,10111804.0,9125.0,2019,2019,6424464.0,,2293819.0,0.13430869045830482,1830352.0,0.08277882937426627,1.8039296620327934,2.8366741336573247,1.7123123986396698,0.6220796020979893,0.5739529398872809,0.36465698900018234,0.6353430109998176,,6424464.0,2.1866873606331767,4.25527999605867,for-profit
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,2019-09-01 00:00:00,,1756052.0,,,2020-07-14,,OH,20849.0,,1.0,249880.0,6940.0,,,,,,,8902506.0,,72.0,85246703.0,2597672.0,,72.0,22896.0,78137.0,460264.0,21532314.0,,6214516.0,332175.0,20629415.0,145.13,,5977717.0,388.0,,,3994262.0,,8006543.0,12686.0,2019,2019,2028826.0,,2597672.0,0.08155426304855112,1090099.0,0.050626189084926033,1.5558608824358542,1.1525543391995818,1.4674780973306207,0.6503509284067995,2.9463921499428736,0.7466039962565617,0.25339600374343835,19.841598730435006,2028826.0,2.68933970628772,86.17061789659036,for-profit
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2019-07-01 00:00:00,62094.0,-2673013.0,333321.0,3045650.0,2020-06-30,3263240.0,OK,50000.0,5427168.0,2.0,8990888.0,2832.0,402435.0,125459.0,,2743.0,5642175.0,1364034.0,10443383.0,480463.0,30.0,25074645.0,3768102.0,,30.0,10980.0,149334.0,848400.0,15534631.0,471930.0,6292258.0,350594.0,14822086.0,154.74,0.591118,6232196.0,915.0,,,192000.0,,14033577.0,4257.0,2019,2019,7801381.0,3335191.20165,4170537.0,-0.1720680072799927,-3421156.0,-0.2202276964287082,32.77217708333333,52.53113020833333,30.68575,19.62553125,0.798858048337852,0.4440917664826295,0.5559082335173705,-17.228199874107705,7801381.0,1.1069616107140752,1.7278194322963427,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,2019-07-01 00:00:00,,208922.0,506499.0,,2020-06-30,,IA,311038.0,,2.0,1946418.0,259.0,10291493.0,428731.0,,56375.0,2018547.0,922570.0,4489784.0,3249399.0,25.0,17706226.0,563969.0,,25.0,9150.0,316530.0,1134057.0,12283891.0,3133473.0,14999697.0,270471.0,13485735.0,67.0,0.761638,18889914.0,43.0,,,6489463.0,,25205107.0,322.0,2019,2019,6315193.0,1537402.099986,10855462.0,0.01700780314641346,-2508583.0,-0.20421729564353835,2.3113926375726312,0.42301497057614784,2.2217844527351494,0.08690534178251728,2.9911855425479477,0.7494478797491317,0.2505521202508682,-4.342482545098411,6315193.0,0.4873572248671668,6.311024147947666,govt
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,2019-01-01 00:00:00,,1367640.0,3270876.0,,2019-09-30,,OH,142189.0,,2.0,12530639.0,2257.0,58224.0,1215083.0,,227577.0,17096618.0,2623465.0,7452051.0,1470849.0,25.0,65984001.0,2592549.0,,25.0,6825.0,1276429.0,914195.0,19892244.0,2711180.0,10712461.0,319816.0,17541405.0,207.57,0.265843,49928161.0,690.0,,,24728396.0,,34576599.0,3460.0,2019,2019,-15351562.0,4545016.218974,2650773.0,0.06875242431170661,-229663.0,-0.011545354058596908,0.4332048467680637,0.6668781913715713,0.4145216697435612,0.1048409690624495,-3.25231797259458,1.4439870445326333,-0.44398704453263316,0.5362867813250874,-15351562.0,0.5753094455588301,1.587488395444159,govt
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,2019-01-01 00:00:00,,-6691192.0,4691952.0,,2019-12-31,,IN,90610.0,,1.0,28643635.0,2382.0,,2647072.0,,208762.0,10153281.0,2396472.0,30275203.0,4594666.0,25.0,95990043.0,1856550.0,,21.0,9125.0,,1380212.0,58484303.0,4908137.0,14347086.0,647942.0,51025367.0,440.34,0.531569,35920466.0,1285.0,,,8719630.0,4.0,56606789.0,5810.0,2019,2019,20686323.0,5397169.427889,1856550.0,-0.1144100494794304,-5565471.0,-0.09516179067740621,1.645377842867186,3.268595685826119,1.5606779186731548,0.21291614437768575,1.7364355182890647,0.6345610947831717,0.3654389052168283,,20686323.0,1.0331676470820488,2.0417905409002732,govt
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2018-10-01 00:00:00,,4800180.0,2043917.0,25067504.0,2019-09-30,23823287.0,MA,296053.0,19153123.0,1.0,5932453.0,19113.0,,774747.0,,,24777167.0,6739809.0,18816057.0,1670551.0,114.0,75140652.0,402078.0,,114.0,41610.0,1331.0,384210.0,44015864.0,1632102.0,5470226.0,104922.0,41378647.0,342.98,0.550683,6446058.0,6037.0,,,3611170.0,,8599446.0,37647.0,2018,2019,2153388.0,13644364.655061001,402078.0,0.10905568047011414,5434279.0,0.12346182730844497,1.5148071123763212,3.41014435764586,1.4037696923711707,0.11134286117795618,2.993449392306449,0.7495899154433902,0.2504100845566098,4371.516904583021,2153388.0,5.118453444559103,7.419504882718835,for-profit
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2019-01-01 00:00:00,78067.0,106143839.0,14218994.0,53697881.0,2019-12-31,48527674.0,OH,5841026.0,101183693.0,2.0,200764447.0,15601.0,,6815017.0,,3257570.0,289856984.0,45053792.0,102962441.0,38773028.0,189.0,1439465024.0,41551027.0,133763.0,177.0,68985.0,,24939042.0,432874400.0,38702118.0,118426836.0,7375260.0,326698130.0,1836.34,0.226958,390866002.0,10403.0,58.16,,88405247.0,12.0,727294875.0,40961.0,2019,2019,336428873.0,65785361.374671996,41551027.0,0.2452070138589854,50719316.0,0.11716866601489948,1.339590578826164,3.9416134768561872,1.1900939544911853,0.47000634475915215,1.1618087309646576,0.53742438649798,0.4625756135020201,,336428873.0,0.5951841747819273,2.1561307615386704,non-profit
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2019-01-01 00:00:00,106701.0,767368.0,2201062.0,11238513.0,2019-12-31,11855461.0,NY,4272924.0,43107455.0,2.0,19907568.0,3833.0,,1163434.0,,330754.0,38251210.0,9144534.0,57003615.0,9345309.0,48.0,263797744.0,5275767.0,127348.0,40.0,17520.0,733241.0,4759111.0,113223787.0,9350973.0,36368100.0,2853480.0,101222287.0,654.4,0.383712,52410083.0,2127.0,,,20846063.0,8.0,126128314.0,8706.0,2019,2019,73718231.0,14677448.29152,5275767.0,0.006777445096408937,-8153050.0,-0.07200827861375102,1.7446028058151797,1.0443305289828588,1.4027442975683226,0.25308217671605426,0.7109514470036591,0.4155298785647765,0.5844701214352235,-4.628681429434525,73718231.0,0.8976873107175602,5.687474582530624,non-profit
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,2019-07-01 00:00:00,,3.0,,2730187.0,2020-06-30,2449477.0,PR,530273.0,45719121.0,1.0,379561015.0,295.0,,,,,,,65527425.0,99163.0,68.0,140840471.0,57394671.0,,,24888.0,,2230282.0,173215788.0,97463.0,200169999.0,3761875.0,137432943.0,1216.26,0.975806,1168231944.0,1443.0,,,883429550.0,68.0,290552581.0,19581.0,2019,2019,-877679363.0,,57394671.0,1.731943741756381e-08,-96082003.0,-0.5546954126375594,0.22658286560597843,0.494612942254422,0.22172435934478307,0.0649680226340629,-1.331046385785876,4.0207247169489095,-3.020724716948909,,-877679363.0,0.5961598668435164,0.4563582168732476,govt
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,2019-03-01 00:00:00,,-350156.0,,,2020-02-29,,NM,122669.0,,1.0,3606761.0,2231.0,,,,,,,3746995.0,1424.0,20.0,20672052.0,344368.0,,20.0,7320.0,,487745.0,8602926.0,1395.0,-9427309.0,59637.0,8788293.0,47.1,,124973779.0,217.0,,,124733278.0,,126329653.0,5301.0,2019,2019,1355874.0,,344368.0,-0.040701965819536286,-421954.0,-0.04904773096967241,0.0,0.028869384800421904,-0.0014615666558526587,0.002760835003470365,92.17211850068664,0.9892671754587975,0.010732824541202531,,1355874.0,0.06809902343355602,2.385222087074802,for-profit
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,2019-09-01 00:00:00,,4599062.0,,,2020-08-31,,MT,205746.0,,1.0,7555202.0,6314.0,,,,,,,10121329.0,150.0,40.0,38617045.0,54220.0,,40.0,14640.0,,696713.0,23206953.0,147.0,3890389.0,147610.0,20324369.0,123.56,,281192201.0,495.0,,,280602241.0,,288954576.0,12598.0,2019,2019,7762375.0,,54220.0,0.19817603801757172,3099234.0,0.13354764841381805,0.013864425979406202,0.043508148603845255,0.012605148794944942,0.000193227252237091,36.22502146572408,0.9731363486003419,0.026863651399658055,,7762375.0,0.08031349882481183,3.0716522205494967,for-profit
