Hospital,Hospital type,Control type,HAC reduction adjustment amount,Total Liabilities,Total discharges,IPPS Payment amount (unadjusted),Total Inpatient Days,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,Fiscal Year Begin Date,BALANCE SHEET: Total Assets (G_C1THRU4_36),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Net Revenue from Medicaid,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),NUMBER OF BEDS: Adults & Pediatrics,Cost To Charge Ratio,Total Salaries,Total Costs,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Subtotal,BALANCE SHEET: Inventory (G_C1THRU4_7),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Total cost of charity care,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Bad Debt expense,BED DAYS: Total Hospital,NUMBER OF BEDS: Total Hospital,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),State,HVBP payment adjustment amount,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,IPPS Interim payment,Medicaid charges,FTE Employees on Payroll,Cost of Uncompensated Care,Total Days Title XVIII,Fiscal Year End Date,NUMBER OF BEDS: ICU,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
A.G. HOLLEY STATE HOSPITAL (102000),General Long Term,Governmental-State,,11600664.0,95.0,,14241.0,148.0,1.0,2011-07-01 00:00:00,11600664.0,,,,,100.0,,7626819.0,12197699.0,5363759.0,,,,,,,,11600664.0,,39700.0,100.0,,322553.0,-6173123.0,,FL,,7983501.0,2207569.0,,,,,1546.0,2012-07-31,,2011,2011,0.0,,0.0,-1.150894922758461,-6584425.0,-1.227576593206369,0.6881934516851794,-0.5321353157026184,,0.0,inf,1.0,0.0,,0.0,0.46236655074226785,inf,govt
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,12623663.0,723.0,,2640.0,179.7,2.0,2010-10-01 00:00:00,35745036.0,,9293602.0,2268050.0,398324.0,19.0,0.497588,12469298.0,22846155.0,29453196.0,1809665.0,542870.0,,2318923.0,,,202247.0,3518632.0,5700820.0,9125.0,25.0,,1948979.0,447137.0,1424787.0,SC,,7546881.0,45913823.0,,4973856.0,,2646374.0,1460.0,2011-09-30,6.0,2010,2011,23121373.0,2474931.059328,1424787.0,0.015181272687690667,-378086.0,-0.012836841203922318,2.1448338445168464,3.1732576751419304,1.9330705797025662,0.4049264032157952,0.5459737620252915,0.3531584917133669,0.6468415082866331,3.943756841164479,23121373.0,0.8239800345983705,3.1691905893968775,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,6687642.0,1606.0,5546253.0,7751.0,305.7,2.0,2011-01-01 00:00:00,26645802.0,13030531.0,4811566.0,9286631.0,97448.0,36.0,0.414161,16997019.0,28823892.0,27916426.0,2081833.0,733401.0,,2269401.0,5196795.0,756440.0,157738.0,4807649.0,5211785.0,16060.0,44.0,,1618104.0,7253723.0,935269.0,LA,,12705192.0,69595814.0,5299275.0,14349385.0,,2914958.0,4578.0,2011-12-31,8.0,2011,2011,19958160.0,5942955.640985,6132064.0,0.2598370937597814,-4033118.0,-0.14447114397810093,2.6427037414753034,2.7041404228969292,2.457345159765199,0.1945377043956412,0.3350830938322972,0.2509829503349158,0.7490170496650842,-24.782591741236352,19958160.0,1.0476857104920316,5.801941821020433,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,-106810002.0,37343.0,170244108.0,172390.0,4400.68,1.0,2011-01-01 00:00:00,485311264.0,253690433.0,382852432.0,17387217.0,,543.0,0.245132,387736036.0,686176376.0,919335040.0,24830051.0,16921023.0,,24783902.0,6999991.0,7528939.0,359135.0,-215661645.0,11653047.0,220825.0,605.0,,4904731.0,33349332.0,1601806.0,MN,,144455735.0,2799212847.0,152855994.0,128770014.0,48.02,10354831.0,59387.0,2011-12-31,62.0,2011,2011,485311264.0,31565651.071847998,8601797.0,0.03627549320865655,-57422885.0,-0.06246132530747441,inf,inf,inf,inf,0.0,0.0,1.0,,485311264.0,1.8943204252518648,2.401277785274719,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,95277396.0,7103.0,28388293.0,32090.0,640.39,1.0,2011-09-01 00:00:00,130354750.0,36373000.0,28057523.0,7982090.0,,144.0,0.121378,35905299.0,88832937.0,131877777.0,8031897.0,3851465.0,,8213576.0,,4303217.0,603046.0,90524796.0,22723072.0,65880.0,180.0,,5858147.0,8224700.0,-926023.0,TX,,24796616.0,731868086.0,26053191.0,79336944.0,,7037547.0,13425.0,2012-08-31,36.0,2011,2011,35077354.0,9629759.588832,0.0,0.062366080071246575,6685608.0,0.05069548601808779,0.2739207056594748,0.40079872701397745,0.2247130719852713,0.0,2.716208183775777,0.7309085092794854,0.2690914907205146,,35077354.0,1.0116837092626083,4.700264417496869,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,616805973.0,29265.0,116287065.0,145756.0,3957.97,1.0,2011-07-01 00:00:00,740826359.0,206833240.0,102049655.0,25966611.0,14659776.0,490.0,0.149903,272704400.0,486583638.0,678807278.0,25012333.0,,,24972603.0,,7988168.0,8204662.0,89208072.0,22589097.0,204457.0,588.0,,51209927.0,-100139789.0,62775182.0,PA,,178149820.0,3245982506.0,103979498.0,218933532.0,156.41,11357456.0,47492.0,2012-06-30,42.0,2011,2011,124020386.0,32818793.247396003,62775182.0,-0.14752315163008609,-7713864.0,-0.011363849873159432,1.9970145750936081,0.7251030825999693,,0.7036939661693394,4.9734240707813955,0.8325918287148851,0.16740817128511487,2.967034625904243,124020386.0,0.9162839169441593,6.651735157752371,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,47185366.0,1046.0,,4393.0,253.65,2.0,2010-10-01 00:00:00,78531386.0,,6366154.0,1885150.0,1540134.0,25.0,0.490667,13085777.0,32461158.0,35945230.0,5003504.0,438825.0,,5282925.0,6050939.0,970934.0,189698.0,4603557.0,1547119.0,9125.0,25.0,,3495028.0,107693.0,148417.0,IL,,15206136.0,66157243.0,,9833989.0,,1472610.0,2524.0,2011-09-30,,2010,2011,31346020.0,4825213.880663,6199356.0,0.002996030349506736,-1532224.0,-0.04262662945820628,3.303127559841227,1.829555276495979,3.1665976982581077,0.03223963556875694,1.5053064471980813,0.6008472332323282,0.3991527667676717,1.2744371593640553,31346020.0,0.4577180135341047,5.646302304342622,non-profit
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,536853.0,505.0,,2022.0,96.04,2.0,2010-10-01 00:00:00,22321620.0,3444516.0,3602649.0,2259427.0,1908.0,25.0,0.696042,3655154.0,9505296.0,8021390.0,1157786.0,300978.0,,1062502.0,10138.0,,51261.0,536853.0,1746510.0,9125.0,25.0,,588658.0,1222062.0,17889855.0,LA,,20341982.0,13656213.0,,2117225.0,,1210107.0,1506.0,2011-09-30,,2010,2011,21784767.0,1473677.5234500002,17899993.0,0.15235040310968548,-2314913.0,-0.28859250080098336,37.8911582872779,42.31061575515085,37.23504013202869,33.32356343356561,0.024643504334932755,0.02405080814026939,0.9759491918597306,-904.7458071278826,21784767.0,0.3593551901698891,2.226525537181113,govt
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,,,1680.0,,17970.0,102.4,1.0,2011-01-01 00:00:00,,,,,98356.0,60.0,,4146836.0,8396131.0,,395682.0,,,395681.0,,,,,,21900.0,60.0,,254261.0,-9673567.0,,TX,,,27950205.0,,,,,4843.0,2011-12-31,,2011,2011,,,0.0,,,,,,,,,,,,,,,for-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,36411137.0,1450.0,,20222.0,457.0,1.0,2011-09-25 00:00:00,47183304.0,,7799164.0,,430599.0,68.0,0.564263,25247122.0,36484169.0,44899726.0,1111733.0,146188.0,,1111711.0,7570047.0,,526851.0,13360761.0,,25228.0,68.0,,1026778.0,2500286.0,6265870.0,ME,,16896372.0,64658135.0,,,,-81609.0,3570.0,2012-09-29,,2011,2011,10772167.0,,13835917.0,0.05568599683659539,-831993.0,-0.018530023991683155,1.2646264685072954,1.2398485385675262,1.2142521672231095,0.46897553215718774,3.380112562309886,0.7716953649536709,0.2283046350463291,0.4523582265634616,10772167.0,0.9516019903989767,5.756992159672499,non-profit
