Hospital,Hospital type,Control type,FTE Employees on Payroll,Number of Interns & Residents,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Liabilities,Net Revenue from Medicaid,HVBP payment adjustment amount,HAC reduction adjustment amount,BALANCE SHEET: Total Assets (G_C1THRU4_36),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,REIMBURSEMENT SETTLEMENT: Subtotal,Total Costs,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),IPPS Interim payment,Total Bad Debt expense,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Salaries,Cost To Charge Ratio,Total Charges,State,REIMBURSEMENT SETTLEMENT: Interim payments,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Medicaid charges,IPPS Payment amount (unadjusted),Total Inpatient Days,BED DAYS: Total Hospital,BALANCE SHEET: Inventory (G_C1THRU4_7),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Total cost of charity care,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Cost of Uncompensated Care,"ADJUSTED SALARIES, Subtotal Salaries",Fiscal Year Begin Date,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),Total discharges,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"Donations, Land Improvements",NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: ICU,Fiscal Year End Date,NUMBER OF BEDS: Total Hospital,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,175.58,3471814.0,11936224.0,2123259.0,,,34998482.0,,1690083.0,24128233.0,1760874.0,,4623521.0,-59115.0,13360573.0,0.489073,49334629.0,SC,2210209.0,1688172.0,6065885.0,,2710.0,9150.0,575179.0,9525877.0,374538.0,406164.0,1280.0,2.0,2503646.0,,2011-10-01 00:00:00,30035575.0,649.0,,,19.0,6.0,2012-09-30,25.0,7737797.0,304787.0,2011,2012,23062258.0,2966660.5746049997,1760874.0,-0.0019681660830531793,-1358271.0,-0.04522207415706209,2.228747565393768,3.2339393757845323,1.9752875586076903,0.5071913414716341,0.5175652791673738,0.34104976324401726,0.6589502367559827,0.880821171683514,23062258.0,0.8581965069227859,3.1530508949464706,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,300.63,3275269.0,5755405.0,6387241.0,788.0,,29202161.0,,2438269.0,30995009.0,85345.0,4505015.0,5321114.0,4391832.0,17687845.0,0.425748,72801250.0,LA,2706974.0,1712816.0,12145066.0,4677878.0,6317.0,16104.0,847101.0,3543914.0,99725.0,1052289.0,3692.0,2.0,3317743.0,13306976.0,2012-01-01 00:00:00,25654392.0,1375.0,9665731.0,,36.0,8.0,2012-12-31,44.0,14373750.0,185905.0,2012,2012,23446756.0,5170737.559368,9751076.0,0.17119220755650727,-8377710.0,-0.3265604579519951,4.388570831891976,2.4489869381721014,4.073175058292922,0.026057401697387298,0.2454670061820066,0.19708832507292867,0.8029116749270713,-66.83273000752068,23446756.0,0.8785100527320564,7.238999591976555,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,47.02,4700.11,-230853987.0,-113316908.0,13800493.0,-54203.0,,519695648.0,,27181101.0,714438257.0,858319.0,157693300.0,13087400.0,40788536.0,407967130.0,0.26267,2719910686.0,MN,27129839.0,5839057.0,105481166.0,175154320.0,165966.0,221430.0,20609447.0,383260241.0,,7156815.0,58743.0,1.0,10557848.0,263339115.0,2012-01-01 00:00:00,947041611.0,37437.0,,,543.0,62.0,2012-12-31,605.0,144663105.0,549200.0,2012,2012,519695648.0,27706737.87322,858319.0,0.04306942327162434,-77495847.0,-0.08182940020784367,inf,inf,inf,inf,0.0,0.0,1.0,,519695648.0,1.8223004457408887,2.4710144953439093,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,612.54,82085488.0,86873030.0,6281031.0,9892.0,,129583873.0,,8098555.0,93027426.0,-893071.0,23416647.0,23343332.0,7632154.0,35040936.0,0.128007,726739172.0,TX,8135026.0,6551496.0,80805368.0,25597696.0,29835.0,69350.0,4066614.0,28219986.0,,813401.0,12643.0,1.0,3758096.0,36869371.0,2012-09-01 00:00:00,134083559.0,6699.0,,,144.0,36.0,2013-08-31,180.0,25313256.0,580986.0,2012,2012,42710843.0,10343652.741576001,0.0,0.056920878718620525,6232201.0,0.04647997895103605,0.30837674985863517,0.4367658751081555,0.2517577284793629,0.0,2.0339806919755716,0.6704000118903685,0.32959998810963154,,42710843.0,1.0347241203386475,4.751368728531616,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,157.67,3889.55,94375571.0,574922123.0,25381206.0,-198491.0,,751979616.0,,28116556.0,508788088.0,64582216.0,103978265.0,22608700.0,51170745.0,290022512.0,0.164407,3094681337.0,PA,27816333.0,47171800.0,197052902.0,117179755.0,137266.0,213890.0,,97255153.0,11219789.0,4924102.0,46323.0,1.0,8630632.0,217506813.0,2012-07-01 00:00:00,693563552.0,29497.0,,,490.0,40.0,2013-06-30,586.0,178608521.0,8609774.0,2012,2012,177057493.0,32396876.459114,64582216.0,0.07377946094837463,-16624096.0,-0.023969102690102148,1.8925291694394093,2.257025962788612,,0.684310731216662,3.2470928694330943,0.7645448237788403,0.2354551762211597,2.72266296629999,177057493.0,0.9223169581235032,7.131381017929199,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,249.0,6498407.0,48878717.0,2423873.0,,,83837565.0,,4460145.0,32053497.0,11870920.0,,782308.0,3607807.0,12962957.0,0.442166,72491964.0,IL,5847845.0,4434123.0,12498457.0,,4715.0,9150.0,461762.0,8446774.0,2289828.0,1872849.0,3035.0,2.0,1851277.0,,2011-10-01 00:00:00,35165247.0,1082.0,2809564.0,,25.0,,2012-09-30,25.0,23859067.0,180546.0,2011,2012,34958848.0,5526392.737862,14680484.0,0.10259581000525889,-819437.0,-0.02330246677920391,3.671525498479858,3.690156987704833,3.5726846594865482,1.826743077187994,1.3981787100078356,0.5830168970198503,0.4169831029801498,1.5785840683230357,34958848.0,0.4194449946154805,4.163157082218608,non-profit
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,86.94,531753.0,531753.0,1691167.0,,,26317265.0,,1054511.0,9174540.0,21042855.0,,1828483.0,2505533.0,3722137.0,0.662178,13855105.0,LA,1065898.0,439947.0,1965256.0,,1912.0,9150.0,317821.0,3205640.0,930.0,,1379.0,2.0,1184952.0,,2011-10-01 00:00:00,8715164.0,449.0,10220.0,,25.0,,2012-09-30,25.0,24723762.0,98327.0,2011,2012,25785512.0,1301349.2875680001,21053075.0,0.28749120498478287,-1310895.0,-0.15041541386943494,46.4948237245488,50.31287646708152,45.71222729349905,39.57261172010313,0.02062216177828852,0.020205481078675917,0.9797945189213241,-936.5032258064516,25785512.0,0.3311576639897801,2.718697046455622,govt
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,,116.0,917320.0,917320.0,,,,8730108.0,,502323.0,8574204.0,-109113.0,,,2388091.0,4768585.0,,31943780.0,TX,502323.0,290352.0,,,19756.0,21960.0,48260.0,2938268.0,,,5366.0,1.0,,,2012-01-01 00:00:00,13373570.0,2055.0,,,60.0,,2012-12-31,60.0,3573884.0,31266.0,2012,2012,7812788.0,,0.0,0.17856795156416724,2360364.0,0.17649468316986414,3.896005755897615,5.8064350499280515,3.809311908603323,0.0,0.11741263170074498,0.10507544694750626,0.8949245530524937,,7812788.0,1.531890556222214,4.551514701858374,for-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,474.5,7277885.0,28114230.0,,,,44241670.0,,967719.0,35700262.0,2229696.0,,,5183297.0,24932315.0,,64158666.0,ME,990540.0,980145.0,,,19911.0,24752.0,138513.0,9116985.0,390088.0,,3658.0,1.0,,,2012-09-30 00:00:00,47458224.0,1389.0,14582567.0,,68.0,,2013-09-28,68.0,20158973.0,517832.0,2012,2012,16127440.0,,16812263.0,0.1092180988483682,2067596.0,0.04356665348454675,2.7698944130059764,2.271261224930045,2.6797109325030557,0.30636592911264743,1.7432543540698338,0.6354694567361494,0.3645305432638506,7.812957589056828,16127440.0,1.0727041723334585,5.205473520028825,non-profit
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,115.7,940325.0,7638814.0,,,,9215507.0,,64572.0,9421657.0,55142.0,,,1576692.0,7013548.0,,25380822.0,AZ,64572.0,207502.0,,,17796.0,21960.0,58554.0,2654999.0,,,2002.0,1.0,,,2012-01-01 00:00:00,12833917.0,2459.0,,,60.0,,2012-12-31,60.0,1718495.0,13758.0,2012,2012,1576693.0,,55142.0,0.1228535294407779,462449.0,0.036033348197592366,1.8275543030335257,4.558884428256188,1.750653231595459,0.05864142716613937,4.844832824145221,0.8289087078985453,0.17109129210145466,,1576693.0,1.3926436168948708,4.83386886398074,for-profit
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,100.93,1045319.0,1045319.0,759593.0,,,8819421.0,,2099251.0,11598940.0,3075234.0,,982153.0,487122.0,3789350.0,0.761196,15237777.0,LA,2827305.0,164754.0,795158.0,,3418.0,9125.0,265194.0,3528269.0,,,3270.0,2.0,551414.0,3940423.0,2012-07-01 00:00:00,12833840.0,91.0,,,25.0,,2013-06-30,25.0,6330464.0,45031.0,2012,2012,7774102.0,605271.088968,3075234.0,0.0379560599165955,-231255.0,-0.0180191587241231,6.056011609853069,6.857072338683215,5.759236175751134,2.941909598887995,0.1344617037440466,0.11852467412543295,0.881475325874567,,7774102.0,1.4551794273116114,3.6374324066560684,govt
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,113.26,5564363.0,5564363.0,,,,1797714.0,,166321.0,9271402.0,-31529.0,,,129731.0,5686944.0,,22885940.0,LA,166320.0,126572.0,,,17193.0,19764.0,47495.0,1676176.0,,,4377.0,1.0,,,2011-12-01 00:00:00,11386047.0,2254.0,,,54.0,,2012-11-30,54.0,1263095.0,56252.0,2011,2012,-3766649.0,,0.0,0.011393857762926852,-695613.0,-0.061093459389373675,0.22699723220789153,0.32454873990068583,0.20835233071602266,0.0,-1.4772714420695956,3.0952437373241795,-2.0952437373241795,,-3766649.0,6.333625370887694,6.79287079638415,for-profit
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,,,,2011-10-01 00:00:00,,,,,,,2012-09-30,,,,2011,2012,,,0.0,,,,,,,,,,,,,,,govt
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,142.44,3795658.0,9596038.0,,,,12294741.0,,2348.0,15052302.0,378060.0,,,-676415.0,6435759.0,,45399355.0,TX,2305.0,655708.0,,,8423.0,10950.0,281299.0,2181887.0,,,6637.0,1.0,,,2012-06-01 00:00:00,14496551.0,314.0,,,30.0,,2013-05-31,30.0,2849521.0,105612.0,2012,2012,2698703.0,,378060.0,-0.04666040908627162,-706431.0,-0.048730970559824886,0.7507317571814953,0.49623332766018435,0.6487965986398142,0.09960328354135173,3.5557962473084292,0.7804994021427536,0.21950059785724643,,2698703.0,1.179085513066115,6.644042977477752,for-profit
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,86.05,2650592.0,4706886.0,,,,8774653.0,,3571.0,15229711.0,1815447.0,,,2636418.0,6644823.0,,105081217.0,NJ,3558.0,309713.0,,,7475.0,10950.0,198812.0,2992577.0,167107.0,,5082.0,1.0,,,2012-09-01 00:00:00,18218965.0,277.0,,,30.0,,2013-08-31,30.0,5345975.0,250152.0,2012,2012,4067767.0,,1815447.0,0.14470734204714703,2617072.0,0.14364548150786832,2.016898489092248,2.8085959664859774,1.8475159511535537,0.6849213307819536,1.1571178978540315,0.5364184771751088,0.4635815228248912,17.514436857821636,4067767.0,2.0763174338631964,6.088052203836359,for-profit
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,171.89,3391129.0,5241485.0,,,,8122940.0,,20704.0,25310866.0,1236005.0,,,3438284.0,10687728.0,,121210366.0,OH,20704.0,454644.0,,,19698.0,26352.0,311082.0,17873139.0,155893.0,,13230.0,1.0,,,2012-01-01 00:00:00,28853787.0,772.0,,,72.0,,2012-12-31,72.0,5888575.0,184807.0,2012,2012,2881455.0,,1236005.0,0.1191623130786957,3338632.0,0.11570862431333537,1.7364644636048938,6.648944348622538,1.5902332232126823,0.3644818584017299,1.8190410747348127,0.6452694467766596,0.3547305532233403,24.33256143636982,2881455.0,3.5521359261548158,1.6143659488129085,for-profit
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,,55.4,3100417.0,3100417.0,,,,5736726.0,,,7338154.0,4024311.0,,,657735.0,3601806.0,,14442928.0,OH,,,,,5047.0,10980.0,,1692275.0,,,2112.0,1.0,,3601806.0,2011-10-01 00:00:00,7962341.0,187.0,,,30.0,,2012-09-30,30.0,5736726.0,20140.0,2011,2012,2636309.0,,4024311.0,0.0826057311536896,654048.0,0.08214267638123009,1.85030787794029,2.055956021399702,,1.2979902380873283,1.1760446138901017,0.54045059847725,0.4595494015227501,,2636309.0,1.3879590902546155,4.705110575999764,non-profit
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,163.79,898477.0,898477.0,,-4231.0,,15020156.0,,530442.0,10700505.0,1919780.0,4108920.0,956229.0,-99233.0,9771664.0,0.450174,23769734.0,OK,548210.0,777700.0,7623571.0,4335642.0,5017.0,10950.0,543862.0,11855419.0,,412463.0,3008.0,2.0,744849.0,4889721.0,2012-07-01 00:00:00,17559241.0,1370.0,,,30.0,,2013-06-30,30.0,4694807.0,-144468.0,2012,2012,14121679.0,3431933.4513540003,1919780.0,-0.005651326273157251,-99233.0,-0.005651326273157251,5.225294581831254,15.221275558528488,4.619979142482222,2.136704668010422,0.06362395009828506,0.05981808710908196,0.940181912890918,,14121679.0,1.16904518168786,1.4811151761063865,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,60.55,2727747.0,11203223.0,1094755.0,,,18625718.0,,1777615.0,9269306.0,3956099.0,,343931.0,341572.0,4045732.0,0.84738,10938784.0,IA,1781925.0,956946.0,1416721.0,,810.0,9125.0,180603.0,1631512.0,387885.0,67958.0,624.0,1.0,359398.0,,2012-07-01 00:00:00,9589328.0,122.0,1598265.0,,25.0,,2013-06-30,25.0,8854392.0,197405.0,2012,2012,7422495.0,1200501.04098,5554364.0,0.035620014249173666,-1292645.0,-0.1348003739156696,3.246045912615796,2.299741874887957,3.1074670781417777,1.4503174231334504,1.5093608011861241,0.6014921411351767,0.39850785886482337,-0.8654601234902097,7422495.0,0.5148434009362753,5.877571234535817,govt
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,,209.17,6099969.0,33244478.0,2806095.0,,,29839840.0,,3161310.0,22401724.0,-890098.0,,3221015.0,-1415999.0,9353336.0,0.468764,47788968.0,OH,3403431.0,2273739.0,11618115.0,,2705.0,9150.0,366383.0,3758193.0,1744199.0,1375299.0,1396.0,2.0,2744258.0,,2012-01-01 00:00:00,26419075.0,676.0,,,25.0,,2012-12-31,25.0,3295265.0,61785.0,2012,2012,-3404638.0,5446154.05986,0.0,-0.05359759946175254,-3366458.0,-0.12742527889413235,0.5402101223793104,0.38396818082190254,0.4700182902568849,0.0,-9.76446776426745,1.1140970595016595,-0.11409705950165952,-0.6264875739522842,-3404638.0,0.8853624885388125,7.02972811667735,govt
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,303.32,6241075.0,43030837.0,1920223.0,,,65341330.0,,2012705.0,35004955.0,912049.0,,7233935.0,-602690.0,18306914.0,0.429465,81508206.0,IN,1711435.0,2741105.0,6000375.0,,6488.0,9150.0,654127.0,14241358.0,,157086.0,2949.0,1.0,3187960.0,,2012-01-01 00:00:00,40778805.0,1627.0,,,21.0,4.0,2012-12-31,25.0,26252101.0,163747.0,2012,2012,22310493.0,2576951.049375,912049.0,-0.014779491453955063,-4209255.0,-0.10322163682824938,4.206342817543452,2.331444022063507,4.075295842463037,0.1461365229547794,1.9287264068974181,0.658554654458365,0.34144534554163497,,22310493.0,0.6240889954336711,2.8634070571078967,govt
