Hospital,Hospital type,Control type,Fiscal Year Begin Date,HVBP payment adjustment amount,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Bad Debt expense,IPPS Payment amount (unadjusted),Fiscal Year End Date,IPPS Interim payment,State,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),"ADJUSTED SALARIES, Subtotal Salaries",Urban (1) and Rural (2) Indicator,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total Days Title XVIII,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Cost of Uncompensated Care,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total cost of charity care,Medicaid charges,Net Revenue from Medicaid,Total Salaries,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),HAC reduction adjustment amount,NUMBER OF BEDS: Adults & Pediatrics,BED DAYS: Total Hospital,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Costs,Number of Interns & Residents,Cost To Charge Ratio,Total Liabilities,Total discharges,FTE Employees on Payroll,"Donations, Land Improvements",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),NUMBER OF BEDS: ICU,BALANCE SHEET: Total Assets (G_C1THRU4_36),Total Inpatient Days,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
4C HEALTH (154035),Psychiatric,Voluntary Nonprofit-Other,2022-07-01 00:00:00,,6078279.0,,,2023-06-30,,IN,286595.0,,2.0,1593973.0,167.0,,,,,,,19353840.0,137835.0,16.0,11623710.0,1807401.0,,16.0,5840.0,,909527.0,27772148.0,135078.0,5096764.0,,7981727.0,410.98,,5225152.0,418.0,,,5225152.0,,56624405.0,1546.0,2022,2022,51399253.0,,1807401.0,0.21886240128059234,-1743170.0,-0.06276684108121561,0.9754288487684186,1.8142348777604937,,0.345904004323702,0.10165813110163294,0.09227738463653613,0.9077226153634639,,51399253.0,0.49046251346923647,17.423223605418663,non-profit
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,2021-10-01 00:00:00,,-1498213.0,6734697.0,,2022-09-30,,SC,330497.0,,2.0,13728515.0,1393.0,,3220730.0,,,1035133.0,240769.0,20576692.0,1663920.0,25.0,91198882.0,5423563.0,,19.0,9125.0,281115.0,881740.0,43037055.0,2163928.0,9671515.0,724031.0,43873254.0,153.34,0.481072,14646874.0,503.0,,,3112960.0,6.0,29047883.0,2907.0,2021,2022,14401009.0,497973.502576,5423563.0,-0.03481216361110211,-7491392.0,-0.17406841615905178,3.1068548905222038,5.727151007401316,2.7681007786800986,1.742252711245888,1.0170727620543811,0.5042320640027365,0.49576793599726354,-23.512270778862742,14401009.0,1.48159006974794,3.134866006993473,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,2022-01-01 00:00:00,,8818394.0,4622685.0,4202684.0,2022-12-31,4568074.0,LA,543143.0,22575006.0,2.0,23380801.0,2090.0,1766064.0,1563964.0,,54057.0,60604341.0,20790807.0,31790359.0,3449445.0,44.0,176630490.0,14998902.0,,38.0,16060.0,188765.0,3634714.0,68481522.0,3403710.0,32366787.0,1394035.0,57661718.0,405.0,0.326454,10593420.0,1442.0,,,6766406.0,6.0,69649045.0,6577.0,2022,2022,59055625.0,19784529.536814,16764966.0,0.12877041488651494,2329902.0,0.03402234547298759,4.7834532837668915,7.014529870066916,4.497159792066867,2.2166718934689995,0.17938037231847093,0.1520971321286602,0.8479028678713398,31.59810346197653,59055625.0,0.9832370565885002,2.9289638964892606,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2022-01-01 00:00:00,,-89599051.0,20405421.0,145867102.0,2022-12-31,135976933.0,MN,3141982.0,365446202.0,1.0,588304242.0,38042.0,,15860830.0,,9538339.0,70379317.0,12250069.0,593882723.0,44698362.0,586.0,3520469884.0,9255.0,,512.0,214012.0,,27758853.0,1240356877.0,44505583.0,249490980.0,43513248.0,1083541157.0,5260.55,0.307783,-53053782.0,30158.0,50.38,,-123407707.0,74.0,899939353.0,169064.0,2022,2022,899939353.0,21661557.324210998,9255.0,-0.07223650923491433,-333983863.0,-0.2692643296401863,inf,inf,inf,inf,0.0,0.0,1.0,,899939353.0,1.3782671830776134,2.108359567123434,non-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2022-07-01 00:00:00,,-120078084.0,11809729.0,151123549.0,2023-06-30,139341797.0,PA,2169693.0,306664911.0,1.0,99273533.0,49918.0,43099758.0,14234186.0,,11045958.0,373369178.0,63939322.0,363646128.0,36600519.0,588.0,2692817418.0,-26204120.0,,499.0,214620.0,79586.0,48296848.0,763018691.0,33603641.0,146445454.0,9201858.0,712753267.0,3309.01,0.264687,620946778.0,30683.0,167.54,,113220733.0,33.0,701082079.0,159061.0,2022,2022,80135301.0,98825967.617286,43099758.0,-0.15737240177252748,-149061243.0,-0.19535726287994692,1.293450855860472,-0.1837521313344615,1.1930138537435542,0.0,7.748729589223107,0.8856976901844328,0.11430230981556726,-1266.1070414394492,80135301.0,1.0883443092545517,7.686023333127471,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2021-10-01 00:00:00,,-18477569.0,2189614.0,,2022-09-30,,IL,376776.0,,2.0,11747617.0,2964.0,,1165992.0,,436198.0,38213731.0,9889342.0,20973858.0,2229591.0,25.0,159018623.0,2360265.0,,25.0,9125.0,,3180878.0,61503178.0,2842334.0,11876283.0,680972.0,45321670.0,277.43,0.285009,23058237.0,600.0,,,23058237.0,,188400858.0,6063.0,2021,2022,165342621.0,10891257.258579,2360265.0,-0.3004327516213878,9084843.0,0.14771339133076994,0.5150559862837736,1.5100016102705511,0.46918309496081595,0.10236103480070918,0.13945730907459125,0.1223892356159015,0.8776107643840985,,165342621.0,0.3264485026920631,5.235374799842385,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2022-04-01 00:00:00,,52306039.0,19274202.0,68334843.0,2023-03-31,59894073.0,AZ,1074736.0,111968282.0,2.0,206212707.0,13081.0,,6197835.0,,4424715.0,710662631.0,44989551.0,114700671.0,25120229.0,270.0,3905304565.0,549331.0,,232.0,98550.0,66962.0,9277474.0,406369703.0,24777094.0,92094278.0,10878599.0,329462659.0,1129.4,0.084363,52734805.0,14966.0,44.79,,37385157.0,38.0,242281911.0,64869.0,2022,2022,189547106.0,59953631.53905299,549331.0,0.12871540032107168,47584609.0,0.11709684223186294,2.4633915005358946,6.929704133648549,2.1436567191626343,0.014693826215575342,0.27821477263810085,0.21765886187021202,0.782341138129788,849.1694244496879,189547106.0,1.6772597728106908,1.9706336671095637,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2022-04-01 00:00:00,,-10427333.0,9593258.0,12439055.0,2023-03-31,10777067.0,AZ,605982.0,43614522.0,2.0,65045906.0,3422.0,,5381129.0,,4375538.0,479485481.0,25650669.0,46198972.0,1762801.0,153.0,1180425449.0,1500.0,,125.0,55989.0,48459.0,4241542.0,108441592.0,1854890.0,26903969.0,3649869.0,107967483.0,431.01,0.091465,17276339.0,5047.0,15.02,,11730425.0,28.0,131782938.0,26829.0,2022,2022,114506599.0,43856139.519665,1500.0,-0.09615621467453189,-11497337.0,-0.10602331437553959,2.2935203967460684,4.656274005417536,1.930715894777896,0.00012787260478627158,0.15087636128289864,0.1310969330491023,0.8689030669508977,-149.73059699952537,114506599.0,0.8228803640726238,1.6671547629761665,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2021-10-01 00:00:00,,3922639.0,7681181.0,11701222.0,2022-09-30,10197143.0,AZ,229009.0,35818476.0,1.0,63603944.0,3769.0,,3839915.0,,3088307.0,239763402.0,12434269.0,35871163.0,10523044.0,128.0,1166521554.0,404966.0,,114.0,46720.0,43534.0,4156161.0,117362131.0,10532839.0,21155494.0,2142319.0,104769983.0,337.9,0.089814,27598183.0,4105.0,,,11686430.0,14.0,74903650.0,18415.0,2021,2022,47305467.0,21534110.187228,404966.0,0.03342337913070103,2845863.0,0.02424856276680934,1.810261474205553,5.812857219869541,1.6073485230305578,0.0346526698059202,0.5834036687556641,0.3684491076202562,0.6315508923797438,160.84035466531907,47305467.0,1.566841282100405,1.8452020994169795,for-profit
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2022-05-01 00:00:00,,71525057.0,22301364.0,39520788.0,2023-04-30,33071541.0,AZ,-1098260.0,84168540.0,1.0,225396974.0,10577.0,,7850942.0,,6118777.0,810400621.0,43537722.0,86227161.0,8874851.0,207.0,2913179956.0,310103.0,,187.0,75555.0,120534.0,7408096.0,303286992.0,8766839.0,80633101.0,5275931.0,203266559.0,873.4,0.069775,27558853.0,12364.0,37.15,,23328015.0,20.0,208291521.0,57256.0,2022,2022,180732668.0,56545703.33027501,310103.0,0.2358329202592375,67361252.0,0.22210399317093033,3.456492161892043,12.741424163178907,3.230329284339023,0.0132931584620466,0.1524840711143599,0.13230904872023092,0.8676909512797691,620.3174871820399,180732668.0,1.4560697936427283,1.3455681618866808,for-profit
