Hospital,Hospital type,Control type,FTE Employees on Payroll,Number of Interns & Residents,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Liabilities,Net Revenue from Medicaid,HVBP payment adjustment amount,HAC reduction adjustment amount,BALANCE SHEET: Total Assets (G_C1THRU4_36),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,REIMBURSEMENT SETTLEMENT: Subtotal,Total Costs,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),IPPS Interim payment,Total Bad Debt expense,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Salaries,Cost To Charge Ratio,Total Charges,State,REIMBURSEMENT SETTLEMENT: Interim payments,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Medicaid charges,IPPS Payment amount (unadjusted),Total Inpatient Days,BED DAYS: Total Hospital,BALANCE SHEET: Inventory (G_C1THRU4_7),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Total cost of charity care,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Cost of Uncompensated Care,"ADJUSTED SALARIES, Subtotal Salaries",Fiscal Year Begin Date,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),Total discharges,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"Donations, Land Improvements",NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: ICU,Fiscal Year End Date,NUMBER OF BEDS: Total Hospital,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,162.01,5801229.0,17627122.0,1527643.0,,,38072182.0,,2309624.0,35587147.0,781071.0,,5412617.0,-1162918.0,19734022.0,0.552522,64408513.0,SC,2139066.0,1385139.0,11517367.0,,2973.0,9150.0,686503.0,11955886.0,224590.0,617929.0,1542.0,2.0,3530747.0,,2015-10-01 00:00:00,39737221.0,586.0,,,19.0,6.0,2016-09-30,25.0,8267124.0,370890.0,2015,2016,20445060.0,6363598.649573999,781071.0,-0.029265207046058908,-2997917.0,-0.07544354951243319,1.4250642406979626,1.9951012104504062,1.24279372526063,0.134638884277797,0.8621702259616748,0.4629921657760514,0.5370078342239486,-7.1809875773631955,20445060.0,1.0437337423949067,3.323653387126642,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,332.8,3457959.0,10232801.0,9035194.0,13188.0,,38715927.0,,3203968.0,37930613.0,433262.0,5304569.0,5846742.0,1719970.0,21157779.0,0.323341,117308444.0,LA,3138380.0,1850391.0,27284802.0,5114872.0,6026.0,16104.0,885334.0,7196947.0,138837.0,866642.0,3283.0,2.0,2757133.0,15640719.0,2016-01-01 00:00:00,34456512.0,1262.0,7044056.0,,38.0,6.0,2016-12-31,44.0,19084521.0,244325.0,2016,2016,28483126.0,8822295.163482,7477318.0,0.04991712451916201,-9209642.0,-0.26728306103647403,5.519013094140214,2.703958895984597,5.192329348034491,0.12529414027176147,0.3592583552802456,0.2643046878355773,0.7356953121644226,-53.00641039492354,28483126.0,0.8899828744898708,4.78765676612597,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,42.35,5191.98,-307111061.0,-235258807.0,20007081.0,616185.0,1483660.0,585874926.0,,47519944.0,870048520.0,924789.0,186209097.0,18135688.0,-5489613.0,512509728.0,0.306395,2839627925.0,MN,46701811.0,5331887.0,97652795.0,205304861.0,163699.0,211182.0,21608832.0,403526845.0,,2057724.0,60432.0,1.0,7651142.0,289025666.0,2016-01-01 00:00:00,1107208693.0,34785.0,,,515.0,62.0,2016-12-31,577.0,174790599.0,1319100.0,2016,2016,585874926.0,29920328.124025,924789.0,-0.00495806529943854,-198732378.0,-0.1794895391053437,inf,inf,inf,inf,0.0,0.0,1.0,,585874926.0,1.8898379907796226,2.743829082796214,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,659.71,59715719.0,64823909.0,5318816.0,-121236.0,,124494245.0,,9937037.0,99924238.0,39691.0,20824355.0,21711618.0,3502201.0,45661381.0,0.107601,928653585.0,TX,9962352.0,5746151.0,87036217.0,23392976.0,28413.0,67160.0,3954678.0,54107372.0,,1687390.0,10583.0,1.0,4219788.0,37284659.0,2016-09-01 00:00:00,127168319.0,6133.0,,,148.0,36.0,2017-08-31,184.0,26085168.0,734918.0,2016,2016,59670336.0,9365183.985417001,39691.0,0.02753988593652795,2766128.0,0.021751706885423248,0.4368224721534375,0.9653951248581634,0.3582904528035575,0.0006646658646109577,1.0863674204884652,0.5206980370859713,0.47930196291402866,,59670336.0,1.021479498911777,2.3502956122134337,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,156.88,3589.0,115209170.0,710300041.0,42249564.0,-483960.0,,836655071.0,,36021985.0,539019916.0,66084386.0,116074117.0,9746361.0,32674313.0,317650968.0,0.200586,2687224934.0,PA,33386873.0,44591292.0,277261625.0,128352393.0,132316.0,207412.0,3606158.0,93202294.0,8431140.0,6968231.0,46208.0,1.0,9027789.0,236447256.0,2016-07-01 00:00:00,797118535.0,27295.0,86100013.0,,483.0,33.0,2017-06-30,567.0,262759113.0,6670994.0,2016,2016,126355030.0,55614800.312249996,152184399.0,0.04099053222993993,-2765770.0,-0.0034697098092192776,2.2807135317440443,1.6661954339224907,2.191509243578441,0.5736035247888688,5.6214623272219555,0.8489759586958865,0.15102404130411348,4.960838273353307,126355030.0,0.9527445211648039,8.55256347016523,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,259.98,5322349.0,47212816.0,3463936.0,,,118463000.0,,2928254.0,35796818.0,24258138.0,,1168621.0,13592479.0,14795479.0,0.333057,107479591.0,IL,3756516.0,4256100.0,24260829.0,,4012.0,9150.0,611603.0,10507223.0,2393790.0,2757897.0,1892.0,2.0,3156299.0,,2015-10-01 00:00:00,47916988.0,915.0,11890134.0,,25.0,,2016-09-30,25.0,48198933.0,255427.0,2015,2016,71250184.0,8080238.924253,36148272.0,0.28366722465944644,6378815.0,0.13312220292310525,9.055951235065569,8.535714024014585,8.89304759984736,4.557787924091412,0.6626343028110636,0.39854482834302696,0.601455171656973,4.442710095705973,71250184.0,0.40448906409596247,4.560385555726761,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,1164.6,22858777.0,23596488.0,40520584.0,-184422.0,,173548386.0,,19287847.0,271905196.0,159363.0,58950281.0,13225316.0,25918892.0,92716128.0,0.171159,1588610370.0,AZ,18915534.0,9109208.0,301156044.0,62071250.0,65550.0,95630.0,8591186.0,111907346.0,47276.0,3161990.0,16348.0,1.0,5473229.0,92278906.0,2016-04-01 00:00:00,309880653.0,15821.0,,,224.0,38.0,2017-03-31,262.0,60553414.0,199983.0,2016,2016,149951898.0,51545567.334996,159363.0,0.0836415302119555,23891350.0,0.07709855316459527,2.649022473949503,6.036438476126698,2.264436325705439,0.006971632821825944,0.15736038232740476,0.1359648945395551,0.8640351054604449,698.0404010491582,149951898.0,1.7855576772693236,2.769082317437856,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,16.82,577.59,9472647.0,13503040.0,30655519.0,-68298.0,,128803717.0,,2839158.0,112776306.0,165664.0,15009386.0,9077486.0,-20061256.0,48576631.0,0.185179,609011932.0,AZ,2878025.0,7398603.0,266311484.0,18281914.0,29967.0,45625.0,2518356.0,48014999.0,46149.0,3871868.0,4901.0,1.0,5601593.0,45830897.0,2016-04-01 00:00:00,107854079.0,7265.0,74014026.0,,97.0,28.0,2017-03-31,125.0,99912110.0,650593.0,2016,2016,115300677.0,49315294.295636006,74179690.0,-0.1860036837364306,-21550415.0,-0.1998108481367682,10.547433045905754,2.968484627369731,10.212896247479717,0.017488670273472662,0.1171115413311927,0.10483424170127016,0.8951657582987298,-306.6547920865024,115300677.0,0.8373522248585419,2.2462580703167356,for-profit
ABRAZO MARYVALE CAMPUS (030001),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,307.6,4044631.0,5316307.0,17549959.0,904.0,,22610073.0,,795265.0,47189643.0,1250.0,5155283.0,6145630.0,-6468407.0,23328253.0,0.148203,318412083.0,AZ,819348.0,2373876.0,171706184.0,6077259.0,13736.0,83448.0,637400.0,21122617.0,29844.0,2829264.0,2212.0,1.0,3787447.0,23183771.0,2016-01-01 00:00:00,45846647.0,3263.0,,,212.0,16.0,2016-12-31,228.0,11441596.0,70384.0,2016,2016,17293766.0,25447371.587352,1250.0,-0.14108789678774109,-7097054.0,-0.15479984828552457,2.8288355600300745,3.623435611307929,2.653842093382561,0.0003090516786327356,0.3074117575084571,0.23513002368457633,0.7648699763154236,-158.2622302640397,17293766.0,2.0277089330936704,2.1705003220008203,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,440.4,6154161.0,5920469.0,15071348.0,17264.0,,43030950.0,,2956567.0,83497015.0,900.0,9483063.0,7766310.0,-7440946.0,35313777.0,0.199126,419317541.0,AZ,2925227.0,8633678.0,120197308.0,10582781.0,22055.0,46482.0,1869103.0,30140441.0,16869.0,2539557.0,4067.0,1.0,4104172.0,35405799.0,2015-10-01 00:00:00,76350059.0,5863.0,,,113.0,14.0,2016-09-30,127.0,17131501.0,182407.0,2015,2016,37110481.0,23934409.152808,900.0,-0.09745828749130371,-8523312.0,-0.11163464850760627,2.7837264900934504,3.6886254681994832,2.4503731702826754,0.00014624251786717963,0.1595363045819859,0.1375862954454875,0.8624137045545125,6.542533641591084,37110481.0,1.7743056799815018,2.533143393621878,for-profit
