Hospital,Hospital type,Control type,HAC reduction adjustment amount,Total Liabilities,Total discharges,IPPS Payment amount (unadjusted),Total Inpatient Days,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,Fiscal Year Begin Date,BALANCE SHEET: Total Assets (G_C1THRU4_36),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Net Revenue from Medicaid,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),NUMBER OF BEDS: Adults & Pediatrics,Cost To Charge Ratio,Total Salaries,Total Costs,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Subtotal,BALANCE SHEET: Inventory (G_C1THRU4_7),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Total cost of charity care,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Bad Debt expense,BED DAYS: Total Hospital,NUMBER OF BEDS: Total Hospital,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),State,HVBP payment adjustment amount,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,IPPS Interim payment,Medicaid charges,FTE Employees on Payroll,Cost of Uncompensated Care,Total Days Title XVIII,Fiscal Year End Date,NUMBER OF BEDS: ICU,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,11865332.0,549.0,,2307.0,177.36,2.0,2012-10-01 00:00:00,33547052.0,,9775798.0,2151889.0,353349.0,1.0,0.494786,14239745.0,26164657.0,31442398.0,1942525.0,641340.0,,2240167.0,,434627.0,244044.0,3913242.0,4653241.0,9125.0,7.0,,1501514.0,-1380538.0,1769835.0,SC,,7880000.0,52880739.0,,6971954.0,,2556015.0,1175.0,2013-09-30,6.0,2012,2013,21681720.0,3449625.231844,1769835.0,-0.043906892852129155,-1663242.0,-0.05289806458146099,2.01367561730146,2.6507923609120008,1.787422295886633,0.4522682215922246,0.547250494886937,0.35369224097545143,0.6463077590245485,-0.4577004604512819,21681720.0,0.9372626244475968,3.21635103343993,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,6415179.0,1198.0,4736280.0,5782.0,303.36,2.0,2013-01-01 00:00:00,30778235.0,13590950.0,3124767.0,6895212.0,100892.0,36.0,0.401356,18077538.0,33260201.0,26721177.0,2480405.0,823868.0,,2439632.0,2882515.0,899721.0,154402.0,3998329.0,6059557.0,16060.0,44.0,,1759981.0,798338.0,598983.0,LA,6895.0,13509323.0,82869626.0,4836730.0,14956318.0,,3331761.0,3308.0,2013-12-31,8.0,2013,2013,24363056.0,6002807.967208,3481498.0,0.029876603115199605,-9778640.0,-0.36595094594822675,3.378742219562222,1.130994472941071,3.134072508790547,0.149808332430873,0.26331585824044407,0.2084323223862577,0.7915676776137424,-79.47764936764065,24363056.0,0.8681841892493185,8.551414233445247,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,-138123183.0,38359.0,177630095.0,165487.0,4932.38,1.0,2013-01-01 00:00:00,550150986.0,279991663.0,405851624.0,13922399.0,,521.0,0.282036,437106309.0,744765305.0,989197744.0,31047250.0,18758803.0,,30413790.0,,4903090.0,1817730.0,-199669244.0,16379027.0,212795.0,583.0,,6034742.0,55153359.0,5694864.0,MN,-91186.0,161511575.0,2640672755.0,160815550.0,97900739.0,49.03,9421630.0,58041.0,2013-12-31,62.0,2013,2013,550150986.0,27611532.824604,5694864.0,0.05575564575893331,-86748962.0,-0.08769627966316915,inf,inf,inf,inf,0.0,0.0,1.0,,550150986.0,1.798047752658213,2.437338390445864,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,104938788.0,5852.0,23427510.0,27590.0,570.26,1.0,2013-09-01 00:00:00,136264128.0,33698489.0,41111855.0,5246785.0,,144.0,0.111386,44056732.0,86022765.0,153448500.0,9225660.0,3867806.0,,9138102.0,,349052.0,816796.0,100115762.0,18349225.0,65700.0,180.0,,5829127.0,3052701.0,-749947.0,TX,-23937.0,33773675.0,772291358.0,20624477.0,76670676.0,,2367073.0,11405.0,2014-08-31,36.0,2013,2013,31325340.0,8540039.916936,0.0,0.019893977458235172,830147.0,0.005409938839415178,0.3373462312557737,0.4411348934246737,0.2905543784404298,0.0,3.349964852735836,0.7701130850813502,0.22988691491864977,,31325340.0,1.1261107545486952,3.7324635436664195,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,598689643.0,26308.0,112309079.0,127392.0,3805.24,1.0,2013-07-01 00:00:00,742288604.0,200653682.0,98215927.0,33353994.0,10747472.0,457.0,0.178496,277297742.0,508207084.0,664726966.0,32528686.0,,,31460592.0,,5292154.0,10054445.0,106511789.0,21857000.0,202486.0,553.0,,50532552.0,-3230179.0,60370398.0,PA,-184460.0,173813157.0,2847165095.0,96959251.0,253557514.0,157.94,9178646.0,42371.0,2014-06-30,40.0,2013,2013,143598961.0,45259002.018943995,60370398.0,-0.004859407193057969,-31543937.0,-0.047453975261175126,1.6318677831990973,1.4585816974682493,,0.5667954558532483,4.169178097326205,0.8065456478434633,0.19345435215653667,1.7667982759108374,143598961.0,0.8955101323366134,6.768016006202334,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,50383790.0,1114.0,,5213.0,249.37,2.0,2012-10-01 00:00:00,91796928.0,,8229424.0,2250668.0,2414848.0,25.0,0.402506,13149801.0,32693503.0,38222312.0,4023786.0,514498.0,,5362061.0,1789999.0,1076736.0,172530.0,8191658.0,1621751.0,9125.0,25.0,,4515165.0,6459315.0,17784018.0,IL,,29388450.0,81224795.0,,13448347.0,,1471800.0,3412.0,2013-09-30,,2012,2013,41413138.0,5413040.357582,19574017.0,0.16899330945757546,823847.0,0.021554086000867764,3.5876070509779585,3.9735725051021418,3.5037378269454122,2.1709912694109055,1.2166136746266365,0.548861395448876,0.451138604551124,2.210910169087247,41413138.0,0.41637898819446334,4.644591407612489,non-profit
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,455589.0,394.0,,1776.0,85.5,2.0,2012-10-01 00:00:00,28556933.0,,2879312.0,1580709.0,172.0,25.0,0.636662,3760057.0,8907586.0,8923689.0,1045610.0,332932.0,,1097609.0,10297.0,,215944.0,455589.0,,9125.0,25.0,,313981.0,2596924.0,23854804.0,LA,,27200042.0,13991075.0,,2218690.0,,-2753.0,1308.0,2013-09-30,,2012,2013,28101344.0,1412555.6127799999,23865101.0,0.29101462410893075,-1006332.0,-0.11277085070983536,59.703026192467334,64.38050743103982,58.4982648834805,52.36035988577424,0.01621235624886838,0.015953709034510113,0.9840462909654899,-4025.296511627907,28101344.0,0.31248765404884343,3.099243499836072,govt
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,,719673.0,1902.0,,22591.0,122.2,1.0,2013-01-01 00:00:00,11167095.0,,1575016.0,,,92.0,,5315948.0,9199862.0,14383530.0,535531.0,50738.0,,527376.0,,,16656.0,719673.0,,33580.0,92.0,,327954.0,2634635.0,-99539.0,TX,,2023957.0,35210450.0,,,,,4407.0,2013-12-31,,2013,2013,10447422.0,,0.0,0.18317026487934465,2598352.0,0.18064772694880882,2.8123286548196194,5.849394099820335,2.7186833464642968,0.0,0.06888522355084345,0.06444585633058553,0.9355541436694145,,10447422.0,1.2880279069892393,9.13230722735515,for-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,33100044.0,1485.0,,20396.0,468.9,1.0,2013-09-29 00:00:00,48952839.0,,9432544.0,,351634.0,68.0,,24989935.0,36359348.0,46716618.0,1253337.0,154746.0,,1295398.0,14740013.0,,174913.0,14130495.0,,24752.0,68.0,,977524.0,1625293.0,3935568.0,ME,,24410671.0,67202918.0,,,,,4442.0,2014-09-27,,2013,2013,15852795.0,,18675581.0,0.03479046792299905,-1846580.0,-0.039527262011988966,1.7275170473504289,1.0610672166827844,1.7041874329243243,0.278515933093639,2.0879626589506772,0.676161887158373,0.323838112841627,-2.471478867231269,15852795.0,0.9543188700455146,4.952706078020945,non-profit
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,688754.0,2557.0,,21413.0,164.94,1.0,2013-01-01 00:00:00,10086325.0,,4199152.0,,,72.0,,9506689.0,12100675.0,14955292.0,59335.0,48873.0,,58444.0,,,26530.0,749736.0,,25794.0,72.0,,362510.0,2040658.0,-135861.0,AZ,,2547606.0,30880630.0,,,,,1923.0,2013-12-31,,2013,2013,9397571.0,,0.0,0.13645056211540368,-2283994.0,-0.1527214580631391,3.3980040974423,8.322672247297715,3.297431362506269,0.0,0.07329064074110214,0.06828592178023214,0.9317140782197678,,9397571.0,1.4827295372695208,3.561502893917629,for-profit
