Hospital,Hospital type,Control type,HAC reduction adjustment amount,Total Liabilities,Total discharges,IPPS Payment amount (unadjusted),Total Inpatient Days,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,Fiscal Year Begin Date,BALANCE SHEET: Total Assets (G_C1THRU4_36),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Net Revenue from Medicaid,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),NUMBER OF BEDS: Adults & Pediatrics,Cost To Charge Ratio,Total Salaries,Total Costs,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Subtotal,BALANCE SHEET: Inventory (G_C1THRU4_7),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Total cost of charity care,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Bad Debt expense,BED DAYS: Total Hospital,NUMBER OF BEDS: Total Hospital,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),State,HVBP payment adjustment amount,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,IPPS Interim payment,Medicaid charges,FTE Employees on Payroll,Cost of Uncompensated Care,Total Days Title XVIII,Fiscal Year End Date,NUMBER OF BEDS: ICU,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,17402461.0,419.0,,2679.0,156.24,2.0,2016-10-01 00:00:00,36910340.0,,10386766.0,1531139.0,227313.0,19.0,0.532982,20984111.0,38006225.0,41286748.0,1909584.0,660605.0,,2487583.0,,714619.0,359788.0,5445549.0,5893604.0,9125.0,25.0,,1129382.0,-937181.0,2263416.0,SC,,10263173.0,71308600.0,,12106951.0,,3781992.0,1242.0,2017-09-30,6.0,2016,2017,19507879.0,6452786.957881999,2263416.0,-0.02269931746622427,-2823849.0,-0.06839601413993662,1.884690230498339,2.1509311549671115,1.697309123469461,0.4156451443187822,0.8920734540131195,0.47147929279437684,0.5285207072056232,-7.454333892034332,19507879.0,1.118568617899483,3.974937723637945,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,18435.0,12503045.0,1396.0,5640925.0,6161.0,350.58,2.0,2017-01-01 00:00:00,46801852.0,17045265.0,29328839.0,15146444.0,114947.0,38.0,0.300391,23399009.0,41427498.0,40824910.0,3560266.0,977875.0,,3486922.0,1486383.0,156003.0,421523.0,5242653.0,4718475.0,16060.0,44.0,,1948297.0,5840649.0,6823995.0,LA,12823.0,23164356.0,137911705.0,5756252.0,44856354.0,,1573390.0,3082.0,2017-12-31,6.0,2017,2017,34298807.0,13474445.034414,8310378.0,0.14306581447454508,-6158936.0,-0.1508622064322983,4.418441579101268,8.009968044804797,4.1515160358696255,1.3016301097936485,0.3645329413352482,0.26714850942223395,0.732851490577766,-36.63113434887383,34298807.0,0.8722926178220469,1.3919715676437108,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,-247163298.0,34712.0,218336385.0,163573.0,5237.67,1.0,2017-01-01 00:00:00,651101437.0,313100603.0,431607173.0,18244951.0,,530.0,0.274916,524871619.0,818094604.0,1173529859.0,49723920.0,23745912.0,,48896034.0,,6021312.0,1324472.0,-331366810.0,19218204.0,216080.0,592.0,,6542626.0,78345366.0,778718.0,MN,584388.0,199858216.0,2975800257.0,201126022.0,88310834.0,42.08,11361624.0,60724.0,2017-12-31,62.0,2017,2017,651101437.0,24278061.239944,778718.0,0.06676043681305258,-137689051.0,-0.11732897117532994,inf,inf,inf,inf,0.0,0.0,1.0,,651101437.0,1.8023763922364067,2.7189767279423784,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,44537826.0,5700.0,22395982.0,24140.0,602.63,1.0,2017-09-01 00:00:00,105159650.0,35863743.0,43358762.0,5080818.0,,160.0,0.106262,43097104.0,100877332.0,118297956.0,9577070.0,3522686.0,,9671968.0,,2072818.0,1182692.0,42090613.0,20543554.0,70810.0,196.0,,5529902.0,951488.0,35513.0,TX,-51905.0,22285416.0,949330350.0,20151417.0,77566606.0,,4456411.0,9845.0,2018-08-31,36.0,2017,2017,60621824.0,8242382.686772,35513.0,0.008043148268766368,681947.0,0.005764655815354916,0.5294628519665419,1.0535784546544855,0.41767122754900243,0.0008437273175375231,0.7346830408797993,0.4235258105176272,0.5764741894823727,,60621824.0,1.1249367604399596,2.728351791963064,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,638727119.0,26471.0,131799593.0,129884.0,3719.07,1.0,2017-07-01 00:00:00,861216106.0,237078826.0,104770101.0,46935951.0,8412455.0,478.0,0.220388,325337574.0,588802789.0,829713968.0,40335813.0,4794896.0,,37176533.0,,7545392.0,6675965.0,122126483.0,18122494.0,210071.0,565.0,,43160476.0,25459396.0,167537899.0,PA,-255157.0,293472422.0,2671661982.0,120557309.0,270706241.0,159.63,11663221.0,45051.0,2018-06-30,31.0,2017,2017,222488987.0,59660407.041508,167537899.0,0.030684545496286016,-7434444.0,-0.008960249298828243,2.4030203342546104,2.4381885786394095,2.309094260906539,1.3718392185256003,2.870825777097902,0.7416571921380207,0.25834280786197933,4.246802152284916,222488987.0,0.9634213320204673,7.919377380384505,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,46292739.0,896.0,,3744.0,266.7,2.0,2016-10-01 00:00:00,130525923.0,,9715082.0,3423452.0,2391232.0,25.0,0.331436,15557883.0,36530095.0,45460599.0,3143839.0,620058.0,,3418849.0,18111350.0,627368.0,276855.0,4537735.0,988515.0,9125.0,25.0,,4286617.0,12982911.0,27385651.0,IL,,54659775.0,110217653.0,,23316996.0,,967524.0,1669.0,2017-09-30,,2016,2017,84233184.0,7728091.886256,45497001.0,0.2855860082265964,2627104.0,0.05778859183091714,12.045607555311184,11.155910602977036,11.84795101520913,6.035092617792798,0.5495784060590657,0.35466318058520835,0.6453368194147916,2.891279892540749,84233184.0,0.3482878952711945,4.679383972260862,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,26691803.0,15644.0,62402956.0,64013.0,1201.5,1.0,2017-04-01 00:00:00,178395561.0,96541534.0,135068627.0,39492703.0,88360.0,224.0,0.134816,96985606.0,270765627.0,317387074.0,21149826.0,9276300.0,,20747018.0,45000.0,3557940.0,645875.0,24280940.0,14318640.0,95630.0,262.0,,8738244.0,32421085.0,327215.0,AZ,-232119.0,61275498.0,2008406723.0,58770861.0,367910975.0,,5617548.0,16217.0,2018-03-31,38.0,2017,2017,151703758.0,49600286.0056,372215.0,0.10214998547798453,31702073.0,0.09988457500950401,2.5236048522009447,6.911467472017146,2.1149643712310975,0.013476208087495788,0.17594688063034009,0.14962145274455568,0.8503785472554444,457.67674287007696,151703758.0,1.77911979547518,2.349820835892557,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,14050891.0,7851.0,19447397.0,32546.0,610.0,1.0,2017-04-01 00:00:00,122284461.0,49595072.0,62565089.0,35900838.0,28686.0,101.0,0.133814,52413136.0,111658475.0,119926296.0,2969973.0,3130606.0,,3016514.0,74014026.0,4063250.0,213301.0,9996299.0,9826572.0,44086.0,129.0,,7043660.0,-12746021.0,240734.0,AZ,-69027.0,100177749.0,834433057.0,16568745.0,360500610.0,17.07,5502644.0,5664.0,2018-03-31,28.0,2017,2017,108233570.0,48240028.62654,74254760.0,-0.10628212014485965,-13103276.0,-0.10926107481882039,10.021483851173318,5.007833599215069,9.686969347355456,0.024082312863990964,0.12982008262316397,0.11490332365287197,0.8850966763471281,-211.23948964651746,108233570.0,0.9807157427794526,1.9168245089525886,for-profit
ABRAZO MARYVALE CAMPUS (030001),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,4963242.0,1197.0,2015217.0,4982.0,304.3,1.0,2017-01-01 00:00:00,22500962.0,7525611.0,21445857.0,6052724.0,6229.0,212.0,0.138428,7586247.0,15340063.0,14071323.0,273738.0,626927.0,,277606.0,,23227.0,-76170.0,3776036.0,1739185.0,27360.0,228.0,,762533.0,-1588276.0,1250.0,AZ,-4235.0,11715213.0,110816518.0,1821637.0,62040991.0,,269042.0,731.0,2017-04-30,16.0,2017,2017,17537720.0,8588210.302148,1250.0,-0.11287325292724786,-1703441.0,-0.1210576290516535,3.1025162366036763,5.259174171008963,2.9364884233095236,0.00033103497953939,0.2830038340217543,0.22057910235126835,0.7794208976487317,-151.05281746668808,17537720.0,0.625365395488424,0.6561324641864393,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,5703361.0,6274.0,11664151.0,22779.0,433.1,1.0,2016-10-01 00:00:00,41477823.0,35928845.0,33500121.0,16089522.0,16906.0,113.0,0.171058,36090542.0,87593757.0,83845605.0,3183564.0,1897389.0,,3119378.0,,2901823.0,105876.0,6090945.0,7236091.0,46355.0,127.0,,8753395.0,-4129999.0,900.0,AZ,-3646.0,16834044.0,512072002.0,10462618.0,150539571.0,,4164579.0,4400.0,2017-09-30,14.0,2016,2017,35774462.0,25750997.936118,900.0,-0.049257191238586684,-5041466.0,-0.06012796973675603,2.7637819747182086,4.822079660873641,2.4348896599788703,0.000147760322905559,0.1594254862588849,0.1375038656199483,0.8624961343800517,219.56281793446115,35774462.0,2.021456261096442,2.5028448404708747,for-profit
